timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
55825.09,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
57831.33,2,253952,62,39404,2594941250,7,9482679,0,210,17,17,590,307,1,576,357883,0,9,15460,22,108400370,1154,1,0,4,1905,48923949,10,195631276,21,31,4,8874,576,0,0,22643273,620943,851771181,0,576,517,0,3,1,14,14,2458,3,852339873,819828330,32734514,49704616,49737384,1,3,1,2583788096,73389,73389,14,14,14,49688236,7,3,135679,365852,703792,7122,852339873,357883,21940259,2143
59848.49,5,253952,62,76819,5058903964,7,12155108,0,403,21,21,590,543,2,576,696145,0,9,30176,22,114976340,1154,1,0,4,1905,95640121,10,382431052,21,35,4,8874,576,0,0,43919203,1268484,1624617811,0,576,517,0,3,1,14,14,2458,3,1625501967,1595573144,57356203,97103406,97103406,1,3,1,5046821240,73389,73389,14,14,14,97054258,7,3,164293,711653,1160882,13531,1625501967,696145,42759853,2143
61862.65,12,253952,62,112325,7399652816,10,17954013,0,603,21,21,590,772,16,576,1011121,0,9,44177,22,116231204,1154,1,0,4,1905,140034887,10,560074792,21,35,4,8874,576,0,0,63995238,1914360,2361014425,0,576,517,0,3,1,14,14,2458,3,2360009030,2332389208,83374575,142097178,142129946,1,3,1,7389053288,73389,73389,14,14,14,142097182,7,3,186747,1033694,1554888,19620,2360009030,1011121,62442597,2143
63874.80,15,253952,62,143024,9421545194,11,21582954,0,773,21,21,590,970,19,576,1291519,0,9,56238,22,116544920,1154,1,0,4,1905,178298975,10,713066688,21,35,4,8874,576,0,0,81349309,2391020,2998910333,0,576,517,0,3,1,14,14,2458,3,2997860777,2968978207,105147089,180989242,181005626,1,3,1,9409736680,73389,73389,14,14,14,180956478,7,3,211156,1320271,1912264,24924,2997860777,1291519,79439923,2143
65879.10,16,253952,62,168287,11086616774,12,24721942,0,923,21,21,590,1136,22,585,1509798,0,9,66142,22,118056147,1172,1,0,4,1905,209788983,10,838961716,21,35,4,8874,585,0,0,94962988,2751975,3523725800,0,585,523,0,3,1,14,14,2458,3,3521742553,3493216018,122425956,213012536,213012536,1,3,1,11076651904,73389,73389,14,14,14,213012540,7,3,227454,1543357,2193947,29280,3521742553,1509798,92772411,2174
67888.97,22,253952,62,190530,12551437222,16,29389396,0,1049,25,25,590,1279,23,621,1657958,4,9,74957,22,124575606,1244,1,0,4,1905,237644523,10,950448556,21,39,4,8874,621,0,0,105291996,2852872,3984392762,0,617,557,4,3,1,14,14,2458,3,3982385486,3954519460,137515698,241182160,241198544,1,3,1,12540620384,73389,73389,14,14,14,241165780,7,3,254254,1695055,2405266,33114,3982385486,1657958,102890521,2297
69895.03,29,253952,62,217745,14345020614,16,32295072,0,1206,25,25,590,1454,47,630,1904404,4,9,85679,22,126616810,1262,1,0,4,1905,271634860,10,1086410064,21,39,4,8874,630,0,0,120308906,3249031,4558901059,0,626,567,4,3,1,14,14,2458,3,4554791213,4519754207,155753029,275635875,275652259,1,3,1,14332213564,73389,73389,14,14,14,275619495,7,3,258432,1946803,2715353,37879,4554791213,1904404,117597898,2328
71906.80,32,253952,62,245609,16181322822,16,35933314,0,1363,26,26,590,1633,49,684,2155158,8,9,96606,22,136375193,1370,1,0,4,1905,306290790,10,1225034240,21,40,4,8874,684,0,0,135805377,4004101,5153601117,0,676,617,8,3,1,14,14,2458,3,5150913197,5099618080,175637157,310808327,310824711,1,3,1,16161181068,73389,73389,14,14,14,310791947,7,3,276904,2203285,3057819,42864,5150913197,2155158,132752476,2538
73911.75,33,253952,62,270288,17806633456,20,41620779,0,1490,26,26,590,1792,49,792,2336044,8,9,106250,22,155939979,1586,1,0,4,1905,336806623,10,1347226492,21,40,4,8874,792,0,0,147508646,4030907,5705133408,0,784,714,8,3,1,14,14,2458,3,5701076067,5614356767,193033973,341888456,341888456,1,3,1,17778199744,73389,73389,14,14,14,341888460,7,3,291093,2388538,3264365,47455,5701076067,2336044,144249692,2873
75919.21,35,253952,62,297315,19587136166,20,42809938,0,1624,29,29,590,1962,51,846,2582077,8,9,116836,22,165886894,1694,1,0,4,1905,370364172,10,1481456688,21,43,4,8874,846,0,0,161892872,4510357,6321916465,0,838,773,8,3,1,14,14,2458,3,6317302821,6179538533,209065509,375793751,375826519,1,3,1,19541275084,73389,73389,14,14,14,375793755,7,3,321246,2640036,3630699,52573,6317302821,2582077,158268115,3077
77923.66,36,253952,62,322963,21277475304,22,45746789,0,1764,29,29,590,2123,52,999,2793169,8,9,126783,22,193150414,2000,1,0,4,1905,401925700,10,1607638240,21,43,4,8874,999,0,0,174969621,4710503,6917372340,0,991,897,8,3,1,14,14,2458,3,6911903684,6717072600,225300703,407950276,407966660,1,3,1,21213414384,73389,73389,14,14,14,407950280,7,3,335013,2856032,3898349,57491,6911903684,2793169,171077704,3574
