timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
147809.54,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
149814.58,0,0,18033,1186854276,0,0,0,0,1,1,3902,117,0,549,142046,21,1684,16,113102204,1100,1,0,15,15,0,14,139,549,0,0,0,1988694,464,390066472,0,549,460,2,1,14,14,402,1,391151812,350041321,1990275,26697667,26697667,1,2,1,1173976452,73389,73389,14,14,14,26681283,8,3,120144,144554,421879,3002,391151812,142046,1566898,1862
151820.43,253952,62,36035,2373016262,4,4000422,0,4,11,11,3902,120,0,675,294660,21,5966,26,140299886,1352,1,0,25,25,0,14,188,675,0,0,0,6089902,399375,747174728,0,675,571,2,1,14,14,402,1,748813104,697583479,13988993,53572955,53572955,1,2,1,2357210020,73389,73389,14,14,14,53572955,8,3,203623,299730,798021,5732,748813104,294660,5292164,2276
153826.35,253952,62,51861,3416294394,4,5089463,0,31,11,11,3902,122,0,675,427865,21,10388,26,140830790,1352,1,0,25,25,0,14,188,675,0,0,0,10911023,822580,1048651625,0,675,571,2,1,14,14,402,1,1053293360,1002479841,25147508,77265873,77288290,1,2,1,3399698412,73389,73389,14,14,14,77265873,8,3,211721,435494,963130,8055,1053293360,427865,9948318,2276
155841.57,253952,62,65482,4313738386,7,11691682,0,74,12,12,3902,124,0,675,551222,21,14215,26,141096242,1352,1,0,25,26,1,14,188,675,0,0,0,15033703,1510366,1314865360,0,675,571,2,1,14,14,402,1,1315306288,1264823413,38914554,97688468,97688468,1,2,1,4298292592,73389,73389,14,14,14,97688468,8,3,219417,561268,1119785,10054,1315306288,551222,13914481,2276
157853.31,253952,62,78957,5201348670,8,16993628,0,121,13,13,3902,127,0,675,660759,21,18059,26,141361694,1352,1,0,25,27,1,14,188,675,0,0,0,19003744,2254350,1573343444,0,675,571,2,1,14,14,402,1,1574697776,1524311928,49605921,117861429,117861429,1,2,1,5185181980,73389,73389,14,14,14,117845045,8,3,228502,673221,1288486,12033,1574697776,660759,17715956,2276
159858.03,253952,62,90969,5993079786,11,22765147,0,172,13,13,3902,129,0,675,748482,21,21404,26,141627146,1352,1,0,25,27,1,14,188,675,0,0,0,22368283,2734621,1805979666,0,675,571,2,1,14,14,402,1,1806039856,1755744835,60303194,135855318,135855318,1,2,1,5977633992,73389,73389,14,14,14,135855318,8,3,232305,762894,1391404,13798,1806039856,748482,20977695,2276
161867.76,253952,62,101920,6714480850,11,24254696,0,201,14,14,3902,130,0,675,809917,21,24480,26,141892598,1352,1,0,25,28,1,14,188,675,0,0,0,25002706,2810172,2016847175,0,675,571,2,1,14,14,402,1,2016934704,1966684030,64543172,152241860,152258244,1,2,1,6698641840,73389,73389,14,14,14,152241860,8,3,262857,825861,1520524,15407,2016934704,809917,23483102,2276
163872.85,253952,62,111895,7371918778,12,26698278,0,225,14,14,3902,132,0,675,856167,21,27309,26,142423502,1352,1,0,25,28,1,14,188,675,0,0,0,27190038,2812989,2209090216,0,675,571,2,1,14,14,402,1,2208955184,2158890653,69189732,167186610,167186610,1,2,1,7356210840,73389,73389,14,14,14,167186610,8,3,274842,873418,1584567,16872,2208955184,856167,25606480,2276
165882.27,253952,62,125951,8297870930,12,29090229,0,267,17,17,3902,134,0,675,950931,21,31258,26,142423502,1352,1,0,25,31,1,14,188,675,0,0,0,30822442,3441829,2477135823,0,675,571,2,1,14,14,402,1,2479094576,2429461335,76314617,188225764,188242148,1,2,1,8281933616,73389,73389,14,14,14,188225764,8,3,297701,970306,1713998,18933,2479094576,950931,29109591,2276
