timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
508178.53,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2097278,2,1,626,0,0,0,0,0,0,0,626,9,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
510182.99,0,0,19057,1254228592,0,0,0,0,1,1,5108,117,576,121331,29,1779,5,2575,118681202,1154,1,626,0,4,15,3,2617,576,0,626,9,0,0,1955340,25400,411822887,0,576,323,2,1,14,14,419,1,413171908,369864489,1985026,28194644,28211028,1,2,1,1240564336,73389,73389,14,14,14,28194644,9,3,362373,123351,796202,3170,413171908,121331,1159228,1759
512190.45,253952,62,35515,2338937542,23,24762171,0,44,28,28,5108,120,675,243000,29,5825,32,2576,140299886,1352,1,626,0,31,42,3,2702,675,0,626,9,0,0,5919144,988644,738424173,0,675,378,2,1,14,14,419,1,738589488,687589846,38811401,52786523,52802907,1,2,1,2322607012,73389,73389,14,14,14,52786523,9,3,508051,247327,1213582,5654,738589488,243000,4705756,2055
514202.16,253952,62,50355,3316800822,24,28096361,0,87,28,28,5108,122,675,353784,29,9981,32,2576,140830790,1352,1,626,0,31,42,3,2702,675,0,626,9,0,0,10027644,1721976,1023400469,0,675,378,2,1,14,14,419,1,1024457520,973422699,47274340,75025583,75025583,1,2,1,3300404756,73389,73389,14,14,14,75009199,9,3,510838,360461,1344789,7835,1024457520,353784,8683209,2055
516215.73,253952,62,64571,4253504186,24,30500845,0,130,29,29,5108,124,675,463453,29,13964,32,2576,141096242,1352,1,626,0,31,43,3,2702,675,0,626,9,0,0,14086263,2846306,1297865918,0,675,378,2,1,14,14,419,1,1297742640,1247260547,56438985,96316530,96316530,1,2,1,4237927320,73389,73389,14,14,14,96316530,9,3,519080,472367,1513252,9920,1297742640,463453,12573504,2055
518224.87,253952,62,78857,5194795070,25,34109715,0,171,29,29,5108,127,675,570691,29,18034,32,2576,141361694,1352,1,626,0,31,43,3,2702,675,0,626,9,0,0,18139386,3848123,1569844415,0,675,378,2,1,14,14,419,1,1572731696,1522428226,65607024,117697589,117713973,1,2,1,5178693916,73389,73389,14,14,14,117697589,9,3,529829,581867,1662270,12018,1572731696,570691,16477750,2055
520234.54,253952,62,93446,6156208814,26,37155592,0,210,30,30,5108,129,675,678310,29,22115,32,2576,141892598,1352,1,626,0,31,44,3,2702,675,0,626,9,0,0,22187475,4782349,1852978790,0,675,378,2,1,14,14,419,1,1854012208,1803469782,74245380,139559817,139559817,1,2,1,6139911052,73389,73389,14,14,14,139543433,9,3,540014,691816,1812365,14164,1854012208,678310,20399556,2055
522238.68,253952,62,106140,6992635482,29,41910974,0,263,31,31,5108,131,675,755085,29,25683,32,2576,142158050,1352,1,626,0,31,45,3,2702,675,0,626,9,0,0,25399455,5181417,2098336505,0,675,378,2,1,14,14,419,1,2098199344,2048074741,82888626,158561322,158561322,1,2,1,6976698168,73389,73389,14,14,14,158561322,9,3,542081,770324,1896440,16027,2098199344,755085,23503922,2055
524252.77,253952,62,118417,7801733638,29,43169083,0,293,34,34,5108,133,675,825447,29,29148,32,2576,142423502,1352,1,626,0,31,48,3,2702,675,0,626,9,0,0,28301746,5365807,2333982631,0,675,378,2,1,14,14,419,1,2334522160,2284505643,87383640,176940235,176956619,1,2,1,7785370340,73389,73389,14,14,14,176940235,9,3,549953,842320,1995884,17830,2334522160,825447,26306879,2055
526263.50,253952,62,132409,8723491486,29,47720278,0,339,34,34,5108,135,675,942309,29,33069,32,2576,142688954,1352,1,626,0,31,48,3,2702,675,0,626,9,0,0,32288948,6393627,2603600134,0,675,378,2,1,14,14,419,1,2603612976,2553964307,97770034,197905661,197905661,1,2,1,8707849084,73389,73389,14,14,14,197905661,9,3,558695,962577,2136412,19883,2603612976,942309,30153690,2055
