timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
127034.52,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
129038.49,0,0,18792,1236861552,0,0,0,0,1,1,5109,117,0,567,124889,2,28,1754,11,205,116910020,1136,1,0,10,15,0,9,844,567,0,0,0,1974082,11856,406186932,0,565,417,2,2,1,14,14,444,1,407142596,364760745,1988323,27817812,27817812,1,2,1,1223262832,73389,73389,14,14,14,27801428,8,3,357204,126978,819643,3124,407142596,124889,1154531,1729
131047.45,253952,62,36007,2371181254,5,5001850,0,7,30,30,5109,120,0,675,250795,2,28,5962,40,225,140299886,1352,1,0,39,44,0,9,1109,675,0,0,0,6101158,1102896,743906812,0,673,492,2,2,1,14,14,444,1,747895600,697003276,20953372,53523803,53540187,1,2,1,2355047332,73389,73389,14,14,14,53523803,8,3,498441,255317,1283936,5725,747895600,250795,4817432,2035
133052.82,253952,62,51195,3372381966,7,7188282,0,33,30,30,5109,122,0,675,373213,2,28,10208,40,225,140830790,1352,1,0,39,44,0,9,1109,675,0,0,0,10313314,2904301,1033437088,0,673,492,2,2,1,14,14,444,1,1040317232,989594170,54357192,76282833,76299217,1,2,1,3356444652,73389,73389,14,14,14,76282833,8,3,521218,380118,1479835,7956,1040317232,373213,8833816,2035
135058.14,253952,62,67205,4427187818,26,28974390,0,99,30,30,5109,125,0,675,493786,2,28,14736,40,225,141361694,1352,1,0,39,44,0,9,1109,675,0,0,0,15056974,3475230,1345947936,0,673,492,2,2,1,14,14,444,1,1348598576,1298020422,114440459,100264630,100264630,1,2,1,4410922824,73389,73389,14,14,14,100248246,8,3,531202,503355,1656639,10308,1348598576,493786,13400840,2035
137063.34,253952,62,85492,5632015498,27,32457559,0,144,33,33,5109,128,0,675,623494,2,28,19892,40,225,141627146,1352,1,0,39,47,0,9,1109,675,0,0,0,19848249,3628801,1698302155,0,673,492,2,2,1,14,14,444,1,1700395824,1650177824,125750998,127639630,127656014,1,2,1,5616143720,73389,73389,14,14,14,127639630,8,3,554998,635765,1867097,12992,1700395824,623494,17981833,2035
139066.31,253952,62,108661,7158913546,27,33667918,0,149,45,45,5109,131,0,675,705076,2,28,26375,40,225,142158050,1352,1,0,39,59,36,9,1109,675,0,0,0,23794019,3650415,2144252454,0,673,492,2,2,1,14,14,444,1,2146695984,2096649405,132689197,162337390,162353774,1,2,1,7142845160,73389,73389,14,14,14,162337390,8,3,559555,719207,1972203,16397,2146695984,705076,21822680,2035
141069.53,253952,62,132034,8698915486,27,33667918,0,149,45,45,5109,135,0,675,783287,2,28,32969,40,225,142688954,1352,1,0,39,59,36,9,1109,675,0,0,0,27704539,3650468,2595969397,0,673,492,2,2,1,14,14,444,1,2596535088,2546762515,138684386,197348605,197348605,1,2,1,8683338620,73389,73389,14,14,14,197348605,8,3,563095,799169,2076236,19829,2596535088,783287,25629339,2035
143072.72,253952,62,155384,10237085726,27,33667918,0,149,45,45,5109,139,0,675,860547,2,28,39554,40,225,143473244,1352,1,0,39,59,36,9,1109,675,0,0,0,31641999,3650594,3041362775,0,673,492,2,2,1,14,14,444,1,3045297104,2996367171,154152638,232308509,232308509,1,2,1,10221574396,73389,73389,14,14,14,232308509,8,3,577440,878234,2189960,23256,3045297104,860547,29453248,2035
145075.95,253952,62,178405,11753753542,27,33667918,0,149,45,45,5109,143,0,675,927005,2,28,46052,40,225,144004148,1352,1,0,39,59,36,9,1109,675,0,0,0,35577901,3650843,3485607779,0,673,492,2,2,1,14,14,444,1,3487927248,3439637668,163768288,266781211,266781211,1,2,1,11737652388,73389,73389,14,14,14,266764827,8,3,601306,946486,2275426,26633,3487927248,927005,33303868,2035
147080.36,253952,62,199930,13172379502,27,33667918,0,152,45,45,5109,146,0,675,1014738,2,28,52088,40,225,144535052,1352,1,0,39,59,36,9,1109,675,0,0,0,39785594,3894053,3901538796,0,673,492,2,2,1,14,14,444,1,3902770128,3854296745,185917399,299009305,299025689,1,2,1,13156409420,73389,73389,14,14,14,299009305,8,3,624426,1037161,2426419,29798,3902770128,1014738,37360748,2035
149085.09,253952,62,220129,14503308370,30,36668205,0,152,45,45,5109,150,0,675,1123997,2,28,57818,40,225,145331408,1352,1,0,39,59,36,9,1109,675,0,0,0,44380100,3942955,4287725579,0,673,492,2,2,1,14,14,444,1,4291267536,4243390151,227298654,329261412,329277796,1,2,1,14487502128,73389,73389,14,14,14,329261412,8,3,636885,1149063,2588767,32762,4291267536,1123997,41793075,2035
151090.93,253952,62,239343,15769153374,30,36668205,0,156,45,45,5109,153,1,675,1234618,2,28,63224,40,225,145596860,1352,1,0,39,59,36,9,1109,675,0,0,0,49021282,4159755,4659505083,0,673,492,2,2,1,14,14,444,1,4661021648,4613369692,250137493,358035085,358051469,1,2,1,15753543740,73389,73389,14,14,14,358035085,8,3,648405,1262453,2765510,35583,4661021648,1234618,46257716,2035
153098.42,253952,62,257392,16958648938,34,40669319,0,163,45,45,5109,156,1,675,1369262,2,28,68311,40,225,146127764,1352,1,0,39,59,36,9,1109,675,0,0,0,53889709,4691002,5007266200,0,673,492,2,2,1,14,14,444,1,5008755664,4961215009,310483574,385055670,385072054,1,2,1,16942449480,73389,73389,14,14,14,385055670,8,3,669384,1399915,2972486,38236,5008755664,1369262,50919326,2035
155108.01,253952,62,272440,17950409158,41,49504514,0,198,45,45,5109,158,1,675,1477795,2,28,72525,40,225,146658668,1352,1,0,39,59,36,9,1109,675,0,0,0,58010160,5750999,5298807054,0,673,492,2,2,1,14,14,444,1,5298424784,5251079473,404070168,407612059,407612059,1,2,1,17934930596,73389,73389,14,14,14,407612059,8,3,676410,1511375,3114176,40446,5298424784,1477795,54898264,2035
157113.94,253952,62,286226,18858401138,42,52961683,0,243,46,46,5109,160,1,675,1594323,2,28,76394,40,225,146658668,1352,1,0,39,60,36,9,1109,675,0,0,0,62113602,6574033,5564755755,0,673,492,2,2,1,14,14,444,1,5563713162,5516497448,413467116,428251964,428251964,1,2,1,18842365520,73389,73389,14,14,14,428235580,8,3,681922,1630270,3269775,42472,5563713162,1594323,58846248,2035
159119.02,253952,62,299644,19742380790,44,55849159,0,293,47,47,5109,163,1,675,1696365,2,28,80265,40,225,147189572,1352,1,0,39,61,36,9,1109,675,0,0,0,65922368,7204922,5822457006,0,673,492,2,2,1,14,14,444,1,5821406027,5774860982,421122249,448330495,448346879,1,2,1,19726541780,73389,73389,14,14,14,448330495,8,3,703421,1734543,3445654,44440,5821406027,1696365,62479271,2035
161124.00,253952,62,309813,20412267250,46,58556277,0,316,48,48,5109,165,1,675,1747316,2,28,83100,40,225,147455024,1352,1,0,39,62,36,9,1109,675,0,0,0,68221637,7205026,6018632685,0,673,492,2,2,1,14,14,444,1,6017096523,5970678621,426149995,463555932,463572316,1,2,1,20396461008,73389,73389,14,14,14,463555932,8,3,715279,1786721,3520489,45933,6017096523,1747316,64703795,2035
163128.86,253952,62,321175,21160675762,47,60587338,0,355,49,49,5109,168,1,675,1816140,2,28,86366,40,225,147985928,1352,1,0,39,63,36,9,1109,675,0,0,0,70911720,7371930,6236998347,0,673,492,2,2,1,14,14,444,1,6235362665,6189402165,431115963,480585324,480585324,1,2,1,21145754256,73389,73389,14,14,14,480585324,8,3,734011,1857025,3627749,47605,6235362665,1816140,67286718,2035
165141.41,253952,62,333071,21944539250,48,62049188,0,383,51,51,5109,169,1,675,1894238,2,28,89676,40,225,148251380,1352,1,0,39,65,36,9,1109,675,0,0,0,73848862,7535070,6466618439,0,673,492,2,2,1,14,14,444,1,6464476521,6418486985,435754085,498401148,498401148,1,2,1,21929650512,73389,73389,14,14,14,498401148,8,3,752317,1936864,3757259,49353,6464476521,1894238,70094464,2035
167149.23,253952,62,346600,22835805464,48,64391728,0,428,52,52,5109,172,1,675,2009776,2,28,93562,40,225,148782284,1352,1,0,39,66,36,9,1109,675,0,0,0,77844348,8266583,6725695571,0,673,492,2,2,1,14,14,444,1,6724071434,6678992217,442089097,518659903,518659903,1,2,1,22820314836,73389,73389,14,14,14,518643519,8,3,793814,2054659,4025970,51340,6724071434,2009776,73820383,2035
169161.57,253952,62,360652,23761334940,50,69425038,0,473,54,54,5109,176,1,675,2130841,2,28,97615,40,225,149313188,1352,1,0,39,68,36,9,1109,675,0,0,0,81821507,9465215,6993277711,0,673,492,2,2,1,14,14,444,1,6994074435,6949576702,454523754,539688706,539705090,1,2,1,23746303064,73389,73389,14,14,14,539688706,8,3,826595,2177859,4217264,53406,6994074435,2130841,77607379,2035
171172.48,253952,62,375230,24722027788,52,73661220,0,511,57,57,5109,178,1,675,2251668,2,28,101698,40,225,149844092,1352,1,0,39,71,36,9,1109,675,0,0,0,85828869,10774257,7275934319,0,673,492,2,2,1,14,14,444,1,7274437443,7230309439,464882569,561518166,561534550,1,2,1,24706799304,73389,73389,14,14,14,561518166,8,3,862372,2301011,4444153,55545,7274437443,2251668,81388026,2035
173177.14,253952,62,386330,25452833268,55,78058945,0,540,57,57,5109,180,1,675,2304604,2,28,104833,40,225,150109544,1352,1,0,39,71,36,9,1109,675,0,0,0,88341951,10934367,7490154929,0,673,492,2,2,1,14,14,444,1,7487511998,7443924403,472790644,578142276,578142276,1,2,1,25438260144,73389,73389,14,14,14,578142276,8,3,875573,2355296,4515853,57177,7487511998,2304604,83829509,2035
175182.38,253952,62,399460,26316532836,56,80708972,0,575,61,61,5109,187,1,675,2408406,2,28,108765,40,225,151171352,1352,1,0,39,75,36,9,1109,675,0,0,0,91734259,11688347,7736487439,0,673,492,2,2,1,14,14,444,1,7736879720,7696352540,480360612,597776280,597776280,1,2,1,26302156320,73389,73389,14,14,14,597776280,8,3,924726,2460933,4689061,59100,7736879720,2408406,87048741,2035
175616.17,253952,62,400982,26415782060,60,83683947,3,590,61,61,5109,191,1,675,2416711,2,28,109422,47,239,158511825,1359,1,1038,46,82,39,39,1148,675,550,1038,76,92334694,11694675,7767319203,8,673,492,2,2,1,14,14,444,1,7763869224,7725268584,532562040,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,8,3,938011,2469421,4715495,59330,7763869224,2416711,87622762,2035
