timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
221250.29,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
223256.59,1,253952,62,26940,1773768852,3,5586809,139,12,12,1446,222,1,558,254063,27,10556,22,13,101417811,1118,1,0,4,3276,33446871,8,133658268,21,26,10,9,28006,558,0,0,14819197,357199,593163909,0,558,1188,3,1,14,14,3964,0,3,593949124,561068568,20730809,33940666,33940666,1,3,1,0,1764062696,73389,73389,14,14,14,33924286,9,3,106516,259611,538010,4973,593949124,254063,14280722,2579
225260.64,2,253952,62,46857,3085926984,8,11199804,220,12,12,1446,362,2,567,382781,27,18399,22,13,106261576,1136,1,0,4,3276,58301275,8,233140508,21,26,10,9,28006,567,0,0,23655219,367500,1008390576,0,567,1194,3,1,14,14,3964,0,3,1008822311,974376398,35192010,59165488,59165488,1,3,1,0,3076605408,73389,73389,14,14,14,59165492,9,3,120134,391607,699026,8441,1008822311,382781,22957083,2607
227265.09,2,253952,62,67430,4440787148,10,13880888,286,15,15,1446,474,2,576,521097,27,26456,22,13,109015736,1154,1,0,4,3276,83916175,8,335600180,21,29,10,9,28006,576,0,0,32602617,372155,1431915650,0,576,1199,3,1,14,14,3964,0,3,1430825363,1401003771,46825167,85211669,85211669,1,3,1,0,4431006820,73389,73389,14,14,14,85211673,9,3,140430,533153,912944,11917,1430825363,521097,31690914,2636
229269.26,2,253952,62,85650,5641139454,11,16063295,356,18,18,1446,592,2,576,656247,27,33639,22,13,109667300,1154,1,0,4,3276,106667642,8,426670568,21,32,10,9,28006,576,0,0,40704609,409047,1810464788,0,576,1199,3,1,14,14,3964,0,3,1809693681,1778758520,57139149,108302697,108319081,1,3,1,0,5631740276,73389,73389,14,14,14,108302701,9,3,158290,671451,1107857,15065,1809693681,656247,39598330,2636
231281.85,2,253952,62,100852,6643378330,15,20856771,452,21,21,1446,699,3,576,767114,27,39656,22,13,111247946,1154,1,0,4,3276,125700977,8,502739244,21,35,10,9,28006,576,0,0,47834451,499093,2125991261,0,576,1199,3,1,14,14,3964,0,3,2124815797,2094347653,69122629,127562028,127578412,1,3,1,0,6632373520,73389,73389,14,14,14,127545648,9,3,174510,784948,1276974,17696,2124815797,767114,46559331,2636
233288.66,3,253952,62,119944,7900986378,15,22054173,596,21,21,1446,832,3,603,937329,27,47196,22,13,118216530,1208,1,0,4,3276,149537603,8,598150412,21,35,10,9,28006,603,0,0,58446493,771886,2524629920,0,603,1224,3,1,14,14,3964,0,3,2523203998,2490486543,81205768,151738274,151771042,1,3,1,0,7890390280,73389,73389,14,14,14,151738278,9,3,180377,959092,1484375,21025,2523203998,937329,56964363,2730
235298.17,6,253952,62,141313,9309895494,15,23162468,721,24,24,1446,958,3,612,1137907,27,55605,22,13,122539135,1226,1,0,4,3276,176207126,8,704828504,21,38,10,9,28006,612,0,0,70220046,1162356,2966968112,0,612,1236,3,1,14,14,3964,0,3,2966034867,2934477562,94470119,178820077,178852845,1,3,1,0,9298644036,73389,73389,14,14,14,178820081,9,3,196556,1166228,1731247,24682,2966034867,1137907,68491492,2759
237302.63,6,253952,62,161589,10644108998,17,26205674,831,24,24,1446,1089,3,621,1306087,27,63509,22,13,125292531,1244,1,0,4,3276,201435444,8,805677256,21,38,10,9,28006,621,0,0,80443441,1324857,3391790525,0,621,1243,3,1,14,14,3964,0,3,3389692581,3354876894,107882868,204457102,204457102,1,3,1,0,10631769336,73389,73389,14,14,14,204457106,9,3,215138,1338214,1949762,28190,3389692581,1306087,78496760,2784
239307.31,6,253952,62,178089,11732644334,20,30436787,896,25,25,1446,1198,4,630,1411517,27,70053,22,13,127418236,1262,1,0,4,3276,222063332,8,888253328,21,39,10,9,28006,630,0,0,87611622,1325693,3739395564,0,630,1249,3,1,14,14,3964,0,3,3737115580,3697945042,119281385,225362581,225362581,1,3,1,0,11718854244,73389,73389,14,14,14,225362585,9,3,221389,1446326,2088825,31079,3737115580,1411517,85526189,2812
