timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
159173.32,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
161178.24,1,0,0,20008,1317084232,0,4281,0,2,1,1,12138,117,621,125598,22,1870,11,11,128068016,1244,1,0,10,15,9,251,621,0,0,0,1983157,68,434631231,0,621,385,2,1,14,14,367,1,435716292,388364118,1988705,29615734,29632118,1,2,1,1303092296,73389,73389,14,14,14,29615734,6,3,382032,127770,848428,3342,435716292,125598,1134818,1912
163182.84,2,253952,62,39710,2615188322,0,4281,0,2,27,27,12138,120,675,253016,22,6962,37,124,140299886,1352,1,0,36,41,9,470,675,0,0,0,6275029,370822,815511361,0,675,423,2,1,14,14,367,1,819198768,768384126,11229669,59075376,59075376,1,2,1,2599316544,73389,73389,14,14,14,59075376,6,3,475724,258046,1221572,6269,819198768,253016,5053698,2073
165190.79,2,253952,62,57780,3806060142,0,4281,0,2,27,27,12138,123,675,379123,22,12058,37,124,140830790,1352,1,0,36,41,9,470,675,0,0,0,10603308,1077171,1163135993,0,675,423,2,1,14,14,367,1,1167063856,1116453606,31062054,86145113,86145113,1,2,1,3789664076,73389,73389,14,14,14,86128729,6,3,504036,386841,1466680,8923,1167063856,379123,9137028,2073
167197.50,2,253952,62,73010,4809747914,0,4281,0,2,27,27,12138,126,675,514262,22,16380,37,124,141361694,1352,1,0,36,41,9,470,675,0,0,0,15133791,3446519,1457512083,0,675,423,2,1,14,14,367,1,1460271920,1409885225,51396675,108947262,108963646,1,2,1,4793679528,73389,73389,14,14,14,108947262,6,3,535436,524420,1707812,11160,1460271920,514262,13426497,2073
169204.76,2,253952,62,87790,5783413582,0,4281,0,2,27,27,12138,128,675,634338,22,20533,37,124,141627146,1352,1,0,36,41,9,470,675,0,0,0,19316191,5715054,1740614505,0,675,423,2,1,14,14,367,1,1744829232,1694426028,69036022,131081985,131098369,1,2,1,5767607340,73389,73389,14,14,14,131081985,6,3,559364,646758,1911645,13331,1744829232,634338,17405179,2073
171220.72,2,253952,62,102416,6747252158,0,4281,0,2,27,27,12138,130,675,779885,22,24623,37,124,141892598,1352,1,0,36,41,9,470,675,0,0,0,23395956,7905019,2020173638,0,675,423,2,1,14,14,367,1,2026371888,1976193864,86315681,152985173,153001557,1,2,1,6731347612,73389,73389,14,14,14,152985173,6,3,599422,794737,2146298,15479,2026371888,779885,21250413,2073
173224.68,2,253952,62,122940,8099480226,0,4281,0,2,27,27,12138,134,675,895482,22,30434,37,124,142423502,1352,1,0,36,41,9,470,675,0,0,0,28218913,8335795,2419068517,0,675,423,2,1,14,14,367,1,2421291824,2371511041,95321035,183712416,183728800,1,2,1,8083346304,73389,73389,14,14,14,183712416,6,3,606452,912995,2295751,18492,2421291824,895482,25924095,2073
175229.69,2,253952,62,140117,9231562946,0,4281,0,2,27,27,12138,136,675,1042654,22,35231,37,124,142942340,1352,1,0,36,41,9,470,675,0,0,0,32612223,9771614,2746099718,0,675,423,2,1,14,14,367,1,2752117552,2702476276,119002684,209449016,209465400,1,2,1,9215756704,73389,73389,14,14,14,209449016,6,3,643800,1062699,2530740,21016,2752117552,1042654,30082565,2073
177235.45,2,253952,62,160938,10603196286,0,4281,0,2,27,27,12138,140,675,1156027,22,41127,37,124,143738696,1352,1,0,36,41,9,470,675,0,0,0,37026129,9774153,3145231953,0,675,423,2,1,14,14,367,1,3152120784,3103338744,127662677,240630693,240630693,1,2,1,10587029596,73389,73389,14,14,14,240614309,6,3,648684,1178657,2660926,24071,3152120784,1156027,34366463,2073
179246.51,2,253952,62,176731,11643515374,0,4281,0,2,27,27,12138,143,675,1289139,22,45606,37,124,144004148,1352,1,0,36,41,9,470,675,0,0,0,41474656,11913709,3450728579,0,675,423,2,1,14,14,367,1,3455945680,3407417701,151138581,264262393,264278777,1,2,1,11627545292,73389,73389,14,14,14,264262393,6,3,695599,1314297,2948938,26389,3455945680,1289139,38527066,2073
181255.51,2,253952,62,191765,12634358090,0,4281,0,2,27,27,12138,145,675,1411027,22,49810,37,124,144535052,1352,1,0,36,41,9,470,675,0,0,0,45967096,14447378,3741436505,0,675,423,2,1,14,14,367,1,3745352656,3697027959,178406120,286786014,286802398,1,2,1,12618584616,73389,73389,14,14,14,286786014,6,3,726275,1438586,3178462,28597,3745352656,1411027,42790100,2073
183259.91,2,253952,62,207455,13668192422,0,4281,0,2,27,27,12138,148,675,1550885,22,54251,37,124,144800504,1352,1,0,36,41,9,470,675,0,0,0,50353114,16502774,4047225737,0,675,423,2,1,14,14,367,1,4047604688,3999235951,197008733,310292675,310292675,1,2,1,13652877700,73389,73389,14,14,14,310292675,6,3,748837,1580940,3400661,30903,4047604688,1550885,46954055,2073
185272.05,2,253952,62,228553,15058569058,0,4281,0,2,27,27,12138,151,675,1663108,22,60170,37,124,145596860,1352,1,0,36,41,9,470,675,0,0,0,54852913,16512131,4451764574,0,675,423,2,1,14,14,367,1,4453665744,4405709973,206982750,341892144,341892144,1,2,1,15042533440,73389,73389,14,14,14,341875760,6,3,758777,1695930,3533057,34001,4453665744,1663108,51321641,2073
