timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
461533.46,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
463539.47,0,0,17520,1152968856,0,0,0,1,1,4964,117,0,531,132990,12,1637,5,0,109294388,1064,1,4,15,3,3665,531,1981131,12675,379187076,531,389,2,1,14,14,658,1,379879620,339962361,1994334,25937970,25954354,1,2,1,1141270680,73389,73389,14,14,14,25937970,10,3,334103,135039,852591,2916,379879620,132990,1128611,1793
465546.35,253952,62,33327,2194748418,17,18378626,39,22,22,4964,119,0,675,254294,12,5196,26,56,140299886,1352,1,25,36,3,3799,675,5638924,981166,695549158,675,479,2,1,14,14,658,1,696646448,645408585,28699274,49524392,49524392,1,2,1,2179073248,73389,73389,14,14,14,49524392,10,3,480102,258501,1300406,5334,696646448,254294,4338775,2204
467555.11,253952,62,47202,3109104006,18,23034433,87,22,22,4964,121,0,675,367170,12,9066,26,56,140565338,1352,1,25,36,3,3799,675,9697871,2077171,961100868,675,479,2,1,14,14,658,1,963640112,912730568,39012616,70291051,70307435,1,2,1,3092806244,73389,73389,14,14,14,70291051,10,3,485105,373602,1440633,7371,963640112,367170,8257622,2204
469560.16,253952,62,59794,3938846002,18,26337363,137,24,24,4964,123,0,675,467872,12,12606,26,56,140830790,1352,1,25,38,3,3799,675,13276358,3090108,1203175937,675,479,2,1,14,14,658,1,1205861168,1155237219,48300317,89161484,89177868,1,2,1,3923105296,73389,73389,14,14,14,89161484,10,3,497434,476282,1575776,9219,1205861168,467872,11701077,2204
471575.82,253952,62,69792,4597791258,23,31868533,149,25,25,4964,125,0,675,521657,12,15448,26,56,141361694,1352,1,25,39,3,3799,675,15490914,3106255,1398826189,675,479,2,1,14,14,658,1,1398537008,1347893605,56151796,104139002,104155386,1,2,1,4582116088,73389,73389,14,14,14,104139002,10,3,504209,531380,1641827,10689,1398537008,521657,13849680,2204
473584.96,253952,62,84018,5534884530,25,35908236,182,29,29,4964,127,0,675,626872,12,19451,26,56,141361694,1352,1,25,43,3,3799,675,19390371,3955959,1672253220,675,479,2,1,14,14,658,1,1672084272,1621859154,65643936,125440300,125440300,1,2,1,5519373200,73389,73389,14,14,14,125440300,10,3,517047,638842,1802522,12776,1672084272,626872,17588596,2204
475590.04,253952,62,96073,6329433694,28,40150898,225,30,30,4964,129,0,675,706646,12,22831,26,56,141892598,1352,1,25,44,3,3799,675,22525354,4494833,1905016539,675,479,2,1,14,14,658,1,1904343856,1854058317,73965291,143499725,143499725,1,2,1,6313987900,73389,73389,14,14,14,143499725,10,3,519270,720231,1896052,14548,1904343856,706646,20630161,2204
477595.15,253952,62,106844,7039038278,29,41673589,255,31,31,4964,131,0,675,763191,12,25875,26,56,142158050,1352,1,25,45,3,3799,675,24865011,4497301,2111814086,675,479,2,1,14,14,658,1,2111568688,2061637324,77854437,159615931,159615931,1,2,1,7023100964,73389,73389,14,14,14,159615931,10,3,525790,778068,1963849,16129,2111568688,763191,22902124,2204
479601.09,253952,62,118630,7815692806,29,43374246,275,34,34,4964,133,0,675,837902,12,29202,26,56,142423502,1352,1,25,48,3,3799,675,27739999,4862062,2337892994,675,479,2,1,14,14,658,1,2338585392,2288561127,83028394,177267915,177284299,1,2,1,7799788260,73389,73389,14,14,14,177267915,10,3,537173,854483,2089984,17861,2338585392,837902,25651087,2204
481615.34,253952,62,132937,8758359946,29,47848078,320,35,35,4964,135,0,675,971760,12,33215,26,56,142688954,1352,1,25,49,3,3799,675,31670526,5818305,2611052920,675,479,2,1,14,14,658,1,2613967664,2564154100,92389498,198698126,198698126,1,2,1,8742717544,73389,73389,14,14,14,198698126,10,3,545719,990731,2266834,19962,2613967664,971760,29404890,2204
483620.62,253952,62,146000,9618969398,30,52470523,380,39,39,4964,137,0,675,1082531,12,36887,26,56,142942340,1352,1,25,53,3,3799,675,35118471,6641967,2862298235,675,479,2,1,14,14,658,1,2865232688,2815769881,103225700,218256687,218256687,1,2,1,9603294228,73389,73389,14,14,14,218256687,10,3,560081,1103432,2395455,21879,2865232688,1082531,32724330,2204
485627.85,253952,62,156978,10342081014,37,61109488,403,40,40,4964,139,0,675,1157992,12,39991,26,56,143473244,1352,1,25,54,3,3799,675,37798089,6796848,3076286692,675,479,2,1,14,14,658,1,3075705808,3027027673,114901264,234696255,234696255,1,2,1,10325914324,73389,73389,14,14,14,234679871,10,3,568202,1180427,2499654,23488,3075705808,1157992,35299857,2204
