event,value,description
RecomputeWeight,313,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,1216316,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,136,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,72,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,72,"Same as Query, but only for SELECT queries."
InitialQuery,72,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,180,Count queries with all subqueries
SelectQueriesWithSubqueries,180,Count SELECT queries with all subqueries
QueryTimeMicroseconds,3412118985,Total time of all queries.
SelectQueryTimeMicroseconds,3412118985,Total time of SELECT queries.
FileOpen,1302,Number of files opened.
Seek,10010,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,70612,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,635508010251,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,60,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,613052530757,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,30266762,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,1993956063955,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,91488,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,1220,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,61977,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,185986,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,18566336047,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,4216,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,17268736,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,10527176,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
MarkCacheHits,92096,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,154,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,900,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,1004,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,92728,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,222600128,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,10,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,1308,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,22025,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,76936,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,119778,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,962,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,146354,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,41829,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,4008,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,1638416,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,3348,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,3300,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,272336,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,189758,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,4597,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,33470161663,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,1141401,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,2842,Total time spent analyzing index of patch parts
CompileFunction,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,59649,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,16384,Number of bytes used for expressions compilation.
JoinBuildTableRowCount,160,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,23663973960,Total number of rows in the probe table for a JOIN operation.
JoinResultRowCount,94655895840,Total number of rows in the result of a JOIN operation.
JoinReorderMicroseconds,298,Total time spent executing JOIN reordering algorithm.
JoinOptimizeMicroseconds,99021,Total time spent executing JOIN plan optimizations.
QueryPlanOptimizeMicroseconds,142716,Total time spent executing query plan optimizations.
SelectedParts,952,Number of data parts selected to read from a MergeTree table.
SelectedPartsTotal,952,Number of total data parts before selecting which ones to read from a MergeTree table.
SelectedRanges,952,Number of (non-adjacent) ranges in all data parts selected to read from a MergeTree table.
SelectedMarks,4990452,Number of marks (index granules) selected to read from a MergeTree table.
SelectedMarksTotal,4990452,Number of total marks (index granules) before selecting which ones to read from a MergeTree table.
SelectedRows,40802577830,Number of rows SELECTed from all tables.
SelectedBytes,1987325576090,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
RowsReadByMainReader,40802577336,Number of rows read from MergeTree tables by the main reader (after PREWHERE step).
RowsReadByPrewhereReaders,40802577336,Number of rows read from MergeTree tables (in total) by prewhere readers.
LoadedDataParts,37,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,19156,Microseconds spent by MergeTree tables for loading data parts during initialization.
FilteringMarksWithPrimaryKeyMicroseconds,2529,Time spent filtering parts by PK.
WaitMarksLoadMicroseconds,1179625,Time spent loading marks
LoadedMarksFiles,154,Number of mark files loaded.
LoadedMarksCount,807433,Number of marks loaded (total across columns).
LoadedMarksMemoryBytes,3662208,Size of in-memory representations of loaded marks.
MergingSortedMilliseconds,12912,Total time spent while merging sorted columns
CommonBackgroundExecutorTaskExecuteStepMicroseconds,13349,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,76,Time spent resetting task for Common executor.
ContextLock,138017,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,681,Context lock wait time in microseconds
RWLockAcquiredReadLocks,475,Number of times a read lock was acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,15894,Total time spent holding data parts lock in MergeTree tables
PartsLockWaitMicroseconds,1,Total time spent waiting for data parts lock in MergeTree tables
PartsLocks,256,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,12709,Total time spent holding shared data parts lock in MergeTree tables
