event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,1110,2842,1732,Total time spent analyzing index of patch parts
ArenaAllocBytes,8634368,17268736,8634368,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,2108,4216,2108,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,150,150,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,8076,13349,5273,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,69,76,7,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,59649,59649,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,15124162,30266762,15142600,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,996357397943,1993956063955,997598666012,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,2031,3036,1005,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,2534012837,4179815350,1645802513,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptionResumes,54060,107436,53376,Total number of CPU preemption resumed
ConcurrencyControlPreemptions,55307,108959,53652,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,2031,3036,1005,Total number of CPU slots acquired
ConcurrencyControlUpscales,2031,3036,1005,Total number of CPU upscaling events
