timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5057.94,22,262144,64,23924,1576160540,112,1,603,1915282,20,3020,50,69,239495,127985460,1208,1,68,3972,1963362,4,305483,603,15772,28192416,6072175,24829906,513899290,603,1900,2,1,4,4,732,1,511533068,464100040,53301034,35469967,35486351,2,1,1560678548,73389,73389,4,4,4,35469967,17,3,209156,25751333,2012000,14993,3905,511533068,1900289,4061352,12542
10070.21,22,262144,64,29128,1919333500,113,1,603,1995325,20,4493,50,69,239495,128250912,1208,1,68,4739,2079063,4,305483,603,18836,29643808,7926676,30200794,614775248,603,1900,2,1,4,4,732,1,611934220,564453124,75840186,43267863,43284247,2,1,1903785972,73389,73389,4,4,4,43267863,17,3,213365,28681932,2097552,18155,4671,611934220,1977170,5830532,12542
15101.40,22,262144,64,33418,2202075652,113,1,603,2070927,20,5663,50,69,239495,128250912,1208,1,68,5370,2268923,4,305483,603,21364,30843744,9213689,35395714,698008080,603,1900,2,1,4,4,732,1,694771724,647095568,93398285,49693821,49710205,2,1,2186528124,73389,73389,4,4,4,49693821,17,3,215470,31872026,2176809,21040,5303,694771724,2049887,7038694,12542
20136.92,22,262144,64,38936,2565296012,114,1,603,2162787,20,7223,50,69,239495,128250912,1208,1,68,6180,2392088,4,305483,603,24600,32375648,13517575,44986302,804547982,603,1900,2,1,4,4,732,1,800808972,753300079,145315791,57946595,57962979,2,1,2549650180,73389,73389,4,4,4,57946595,17,3,228293,34625076,2334675,24338,6112,800808972,2138449,11183411,12542
25197.89,22,262144,64,44374,2923804396,115,1,603,2255221,20,8739,50,69,239495,128516364,1208,1,68,6977,2540467,4,305483,603,27788,33882592,15855855,51280551,909504261,603,1900,2,1,4,4,732,1,905273356,858155202,170879896,66104939,66104939,2,1,2907896420,73389,73389,4,4,4,66088555,17,3,235164,37813817,2441334,32658,6909,905273356,2222563,13415418,12542
30281.56,22,262144,64,49183,3240559732,116,1,603,2334575,20,10129,50,69,239495,128516364,1208,1,68,7686,2717997,4,305483,603,30624,35232416,18956731,58828982,1002876520,603,1900,2,1,4,4,732,1,998203404,950790746,277257274,73309137,73309137,2,1,3225602028,73389,73389,4,4,4,73309137,17,3,251122,40969955,2605784,36994,7618,998203404,2297581,16351747,12542
35308.89,22,262144,64,53913,3552403176,117,1,603,2408082,20,11471,50,69,239495,128769750,1208,1,68,8383,2864040,4,305483,603,33412,36554592,21597312,67766083,1094666874,603,1900,2,1,4,4,732,1,1089560588,1041966859,348040986,80380104,80396488,2,1,3536724576,73389,73389,4,4,4,80380104,17,3,255246,43966721,2695801,39923,8315,1089560588,2368159,18901975,12542
40350.87,22,262144,64,58582,3859983472,118,1,603,2478120,20,12800,50,69,239495,129035202,1208,1,68,9068,3042302,4,305483,603,36152,37852192,22940968,72798325,1184881022,603,1900,2,1,4,4,732,1,1179344908,1131872695,416483433,87387694,87387694,2,1,3845058536,73389,73389,4,4,4,87387694,17,3,259820,46926899,2804843,42653,9000,1179344908,2435467,20136557,12542
45387.60,22,262144,64,63705,4197582564,118,1,603,2567715,20,14198,50,69,239495,129035202,1208,1,68,9820,3264982,4,305483,603,39160,39275808,24908893,78884031,1283909815,603,1900,2,1,4,4,732,1,1277911052,1230571501,445292848,95048485,95064869,2,1,4182133340,73389,73389,4,4,4,95048485,17,3,267094,49935176,2905494,45963,9752,1277911052,2521752,22003850,12542
50440.98,22,262144,64,68797,4533150040,119,1,603,2657294,20,15643,50,69,239495,129035202,1208,1,68,10568,3446843,4,305483,603,42152,40694368,27342027,86332922,1382414813,603,1900,2,1,4,4,732,1,1375952908,1328677210,484970123,102684700,102684700,2,1,4518126800,73389,73389,4,4,4,102684700,17,3,272193,52927867,2991737,55993,10500,1375952908,2601301,24350850,12542
