timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5084.65,37,262144,64,24810,1634756340,112,0,603,1030368,57,3236,60,69,28568,127985460,1208,1,68,4106,1558729,4,116343,603,16324,113807744,5827545,29029837,531438569,603,2020,2,1,4,4,1109,1,528965644,481270013,42303687,36809137,36809137,2,1,1619602028,73389,73389,4,4,4,36809137,36,3,173690,21576780,1703582,13751,4038,528965644,1016617,4125893,9389
10098.50,37,262144,64,29261,1928049788,113,0,603,1102804,57,4527,60,69,28568,128250912,1208,1,68,4757,1674800,4,116343,603,18932,115045248,7449162,34136446,617315634,603,2020,2,1,4,4,1109,1,614424588,567026174,70400352,43464471,43480855,2,1,1912436724,73389,73389,4,4,4,43464471,36,3,177753,24497031,1804130,16365,4690,614424588,1086439,5647330,9389
15136.24,37,262144,64,34357,2263613956,114,1,603,1189364,57,5959,60,69,28568,128250912,1208,1,68,5505,1806692,4,116343,603,21924,116468032,9054529,39332008,715819658,603,2020,2,1,4,4,1109,1,712466444,665080755,96446403,51094653,51111037,2,1,2248164732,73389,73389,4,4,4,51094653,36,3,185419,27704049,1898266,19079,5438,712466444,1170285,7157943,9389
20163.94,37,262144,64,39328,2591251576,114,1,603,1281807,57,7327,60,69,28568,128250912,1208,1,68,6237,1888026,4,116343,603,24848,117854976,11260044,47049911,812091274,603,2020,2,1,4,4,1109,1,808280076,760832854,150942471,58542452,58558836,2,1,2575867888,73389,73389,4,4,4,58542452,36,3,205029,30507934,2046270,34056,6169,808280076,1247751,9215341,9389
25216.65,37,262144,64,44524,2933634796,115,1,603,1364008,57,8795,60,69,28568,128516364,1208,1,68,7003,2088539,4,116343,603,27912,119302336,13734323,52907453,912966922,603,2020,2,1,4,4,1109,1,908681228,861018504,177386133,66317931,66334315,2,1,2917988964,73389,73389,4,4,4,66317931,36,3,215294,33503495,2141355,36767,6935,908681228,1327241,11594993,9389
30296.38,37,262144,64,49294,3247834228,116,1,603,1442038,57,10157,60,69,28568,128516364,1208,1,68,7702,2265665,4,116343,603,30708,120631936,16445141,61043409,1005024701,603,2020,2,1,4,4,1109,1,1000300556,952929994,217628953,73472977,73472977,2,1,3232090092,73389,73389,4,4,4,73456593,36,3,219226,36461777,2224599,39598,7634,1000300556,1402440,14223754,9389
35344.90,37,262144,64,53968,3556007656,117,1,603,1515956,57,11488,60,69,28568,128769750,1208,1,68,8389,2440113,4,116343,603,33456,121936192,18864195,68322119,1095505912,603,2020,2,1,4,4,1109,1,1090347020,1042991891,268133986,80478408,80478408,2,1,3541049952,73389,73389,4,4,4,80478408,36,3,221000,39748231,2295355,43840,8321,1090347020,1472116,16572968,9389
40406.65,37,262144,64,59010,3888298332,118,1,603,1594367,57,12915,60,69,28568,129035202,1208,1,68,9130,2650197,4,116343,603,36424,140313520,22282966,76681898,1193087039,603,2020,2,1,4,4,1109,1,1187471372,1140173366,360156427,88016319,88032703,2,1,3872718036,73389,73389,4,4,4,88016319,36,3,224731,42672969,2386020,46380,9062,1187471372,1547987,19900126,9389
45456.70,37,262144,64,63716,4198303460,119,1,603,1677423,57,14201,60,69,28568,129035202,1208,1,68,9823,2845503,4,116343,603,39196,141626032,23978588,82005533,1284358045,603,2020,2,1,4,4,1109,1,1278304268,1230815703,388439039,95073061,95073061,2,1,4183214684,73389,73389,4,4,4,95073061,36,3,227718,45677167,2481958,49172,9755,1278304268,1628251,21500505,9389
51400.91,37,262144,64,68709,4527382872,119,1,603,1761572,57,15617,60,69,28568,129035202,1208,1,68,10555,2953246,4,116343,603,42124,143018416,26514853,90046787,1380752940,603,2020,2,1,4,4,1109,1,1374248972,1326990737,470225596,102553628,102553628,2,1,4512359632,73389,73389,4,4,4,102553628,36,3,232750,48870339,2575130,55443,10487,1374248972,1706129,23944051,9389
