timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5015.07,9,262144,64,52761,3476374800,117,3,603,765583,36,16,11105,69,254,128769750,1208,1,68,8211,62239,4,1250,603,32778,239419880,14158078,578513,1071395135,567,1127,36,2,1,4,4,889,1,1067016204,1019726496,26513330,78664102,78680486,2,1,3461220488,73389,73389,4,4,4,78664102,29,3,387665,1895376,2866659,15539,8143,1067016204,750044,11290967,6957
10026.41,9,262144,64,77236,5089128316,121,4,603,1051849,36,16,18053,69,254,129300654,1208,1,68,11805,66077,4,1250,603,47162,263021184,22473905,1192844,1544533340,567,1127,36,2,1,4,4,889,1,1538220044,1491211213,71549361,115309399,115325783,2,1,5073613556,73389,73389,4,4,4,115309399,29,3,422509,2715412,3092310,25385,11738,1538220044,1026464,19381019,6957
15043.22,9,262144,64,88954,5861060944,123,4,603,1249938,36,16,21351,69,254,129566106,1208,1,68,13529,118357,4,1250,603,54058,283250368,26512156,5975021,1771338987,567,1127,36,2,1,4,4,889,1,1764057100,1716809068,102658046,132857046,132873430,2,1,5845710024,73389,73389,4,4,4,132857046,29,3,436588,5043651,3299401,38764,13461,1764057100,1211174,23214268,6957
20060.15,9,262144,64,94914,6254044572,124,4,603,1350050,36,16,23036,69,254,129831558,1208,1,68,14404,192575,4,1250,603,57558,284904384,29310551,11282089,1886565836,567,1127,36,2,1,4,4,889,1,1878745100,1831760682,139397684,141791471,141807855,2,1,6238824724,73389,73389,4,4,4,141791471,29,3,447255,7674116,3462655,42528,14336,1878745100,1307522,25849251,6957
25074.76,9,262144,64,100712,6636145916,125,4,603,1450445,36,16,24674,69,254,130097010,1208,1,68,15257,301355,4,1250,603,60966,286517568,32731682,18862466,1998764544,567,1127,36,2,1,4,4,889,1,1990418444,1943399837,194574351,150465911,150482295,2,1,6620500084,73389,73389,4,4,4,150465911,29,3,463390,10388486,3628111,46326,15189,1990418444,1404119,29105237,6957
30102.67,9,262144,64,111957,7377080016,127,4,603,1636421,36,16,27833,69,254,130362462,1208,1,68,16908,359773,4,1250,603,67578,289643136,39119422,25503858,2216366222,567,1127,36,2,1,4,4,889,1,2207080460,2159978497,269357014,167309046,167325430,2,1,7361598024,73389,73389,4,4,4,167309046,29,3,488588,12541120,3926525,52219,16841,2207080460,1584202,35195524,6957
35124.79,9,262144,64,133810,8816936332,130,8,603,1880587,36,16,33977,69,254,130627914,1208,1,68,20118,379452,4,1250,603,80414,295443008,47323699,26988861,2638687594,567,1127,36,2,1,4,4,889,1,2627690508,2580968814,354283043,200039011,200055395,2,1,8801716484,73389,73389,4,4,4,200039011,29,3,511154,13450950,4129812,63904,20050,2627690508,1816683,43196275,6957
40142.65,9,262144,64,145192,9567114316,132,8,603,2063027,36,16,37186,69,254,131158818,1208,1,68,21791,425606,4,1250,603,87110,315566488,53013715,32294196,2858922345,567,1127,36,2,1,4,4,889,1,2846973964,2800179661,406674451,217084787,217101171,2,1,9551730628,73389,73389,4,4,4,217084787,29,3,529107,15649810,4431315,69832,21723,2846973964,1993195,48583698,6957
45155.18,9,262144,64,156679,10323920194,134,8,603,2256192,36,16,40426,69,254,131424270,1208,1,68,23480,501585,4,1250,603,93866,318760024,59752673,38729101,3081256673,567,1127,36,2,1,4,4,889,1,3068354572,3021432635,462776403,234288370,234288370,2,1,10307967384,73389,73389,4,4,4,234271986,29,3,537183,17852243,4700763,77532,23412,3068354572,2178660,55053745,6957
50161.95,9,262144,64,188819,12441137382,140,8,603,2644893,36,16,49492,69,254,132220626,1208,1,68,28198,506413,4,1250,603,112742,344072104,70077342,40058960,3701580600,567,1127,36,2,1,4,4,889,1,3686159902,3640255807,504368079,282413645,282413645,2,1,12425479484,73389,73389,4,4,4,282397261,29,3,565553,18691290,4952864,86047,28130,3686159902,2558846,65126569,6957
