timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5046.44,41,262144,64,24443,1610439176,112,2,603,502671,40,3157,69,17802,127985460,1208,1,68,4051,674595,4,339972,603,16092,59256000,6291820,23203815,524181583,603,1841,2,1,4,4,1038,1,521756684,474173019,40079198,36246048,36262432,2,1,1594826112,73389,73389,4,4,4,36246048,27,1,3,201687,15751903,1949989,47194,3984,521756684,455477,4342305,16251
10076.66,41,262144,64,28967,1908782204,113,2,603,571589,40,4448,69,17802,128250912,1208,1,68,4716,860367,4,339972,603,18756,60512256,8738086,29223341,611901563,603,1841,2,1,4,4,1038,1,609050636,561431076,70382682,43022103,43038487,2,1,1892972532,73389,73389,4,4,4,43022103,27,1,3,211406,18495797,2091115,49762,4649,609050636,521827,6647501,16251
15114.00,41,262144,64,33899,2233598468,114,2,603,647658,40,5797,69,17802,128250912,1208,1,68,5439,1030945,4,339972,603,21644,61879232,10854938,35633416,706988506,603,1841,2,1,4,4,1038,1,703684620,656312019,98366504,50422909,50422909,2,1,2218607996,73389,73389,4,4,4,50422909,27,1,3,219240,21690396,2181058,52504,5371,703684620,595154,8674906,16251
20217.05,41,262144,64,39099,2576243832,114,2,603,729428,40,7268,69,17802,128250912,1208,1,68,6203,1180607,4,339972,603,24704,63332864,12809011,41675330,807736998,603,1841,2,1,4,4,1038,1,803954700,756490455,137548017,58198388,58214772,2,1,2560729072,73389,73389,4,4,4,58198388,27,1,3,230269,24866998,2294948,55319,6136,803954700,674109,10514392,16251
25256.41,41,262144,64,44172,2910566124,115,2,603,811769,40,8705,69,17802,128516364,1208,1,68,6949,1292124,4,339972,603,27684,64747392,15392746,49229999,905849354,603,1841,2,1,4,4,1038,1,901603340,854268062,169504285,65793643,65810027,2,1,2894920292,73389,73389,4,4,4,65793643,27,1,3,238271,27972367,2401159,58158,6881,901603340,753611,12992311,16251
30337.60,41,262144,64,49157,3238855796,116,2,603,896448,40,10121,69,17802,128516364,1208,1,68,7683,1445384,4,339972,603,30620,66135872,17845835,57268823,1002516145,603,1841,2,1,4,4,1038,1,997810188,950278061,282711027,73259985,73276369,2,1,3223439340,73389,73389,4,4,4,73259985,27,1,3,245571,30980104,2475223,61124,7615,997810188,835324,15371755,16251
36483.57,41,262144,64,53983,3556990696,117,2,603,979374,40,11492,69,17802,128769750,1208,1,68,8392,1688726,4,339972,603,33460,67478656,19685427,63912045,1096029686,603,1841,2,1,4,4,1038,1,1090871308,1043221893,309025226,80494792,80511176,2,1,3541770848,73389,73389,4,4,4,80494792,27,1,3,249227,34946614,2553827,64101,8325,1090871308,915273,17132528,16251
41585.12,41,262144,64,57082,3761148568,117,2,603,1034844,40,12337,69,17802,128769750,1208,1,68,8849,1970261,4,339972,603,35284,68345152,21011886,69205697,1156091336,603,1841,2,1,4,4,1038,1,1150640140,1102993278,341156908,85139212,85139212,2,1,3746125328,73389,73389,4,4,4,85139212,27,1,3,255423,37961440,2621350,65935,8781,1150640140,968909,18391594,16251
46614.71,41,262144,64,61295,4038844448,118,2,603,1101613,40,13541,69,17802,129035202,1208,1,68,9465,2176874,4,339972,603,37752,69518400,22451013,75306656,1237354402,603,1841,2,1,4,4,1038,1,1231511564,1184156672,366001722,91442290,91458674,2,1,4023460760,73389,73389,4,4,4,91442290,27,1,3,260766,41049656,2697217,68581,9398,1231511564,1033032,19754288,16251
51662.28,41,262144,64,65482,4314570940,119,2,603,1167102,40,14738,69,17802,129035202,1208,1,68,10080,2303710,4,339972,603,40208,70682240,27000458,86466828,1318220760,603,1841,2,1,4,4,1038,1,1311989772,1264797468,488943031,97706567,97722951,2,1,4299088948,73389,73389,4,4,4,97706567,27,1,3,275797,44140204,2836844,71136,10012,1311989772,1095966,24163527,16251
