event,value,description
RecomputeWeight,284,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,802888,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,102,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,85,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,84,"Same as Query, but only for SELECT queries."
InitialQuery,85,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,203,Count queries with all subqueries
SelectQueriesWithSubqueries,202,Count SELECT queries with all subqueries
FailedQuery,6,"Number of total failed queries, both internal and user queries."
FailedSelectQuery,6,"Same as FailedQuery, but only for SELECT queries."
QueryTimeMicroseconds,2377875788,Total time of all queries.
SelectQueryTimeMicroseconds,2377874942,Total time of SELECT queries.
OtherQueryTimeMicroseconds,846,Total time of queries that are not SELECT or INSERT.
FileOpen,1847,Number of files opened.
Seek,12534,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,92817,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,632149292746,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,2,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,119,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
FileSync,1,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,371,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
ReadCompressedBytes,614735880782,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,30603596,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,2016112101463,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,70672,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,1759,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,77033,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,145517,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,15264322606,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,4374,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,18882560,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,10283064,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
TableFunctionExecute,4,Number of table function calls.
MarkCacheHits,71819,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,154,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,922,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,1038,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,324,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
CreatedReadBufferDirectIO,72127,Number of times a read buffer with O_DIRECT was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,1343807811,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,22,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,45315098,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,13513,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,86377,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,777496,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,1435,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,252968,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,36052,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,5415,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,1465001,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,4743,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,4595,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,308990,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,23102524,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,5071246,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,75330406126,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,122271635,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,5539,Total time spent analyzing index of patch parts
CompileFunction,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,43442,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,16384,Number of bytes used for expressions compilation.
JoinBuildTableRowCount,136,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,20114377866,Total number of rows in the probe table for a JOIN operation.
JoinResultRowCount,80457511464,Total number of rows in the result of a JOIN operation.
JoinReorderMicroseconds,235,Total time spent executing JOIN reordering algorithm.
JoinOptimizeMicroseconds,50551,Total time spent executing JOIN plan optimizations.
QueryPlanOptimizeMicroseconds,86185,Total time spent executing query plan optimizations.
SelectedParts,980,Number of data parts selected to read from a MergeTree table.
SelectedPartsTotal,980,Number of total data parts before selecting which ones to read from a MergeTree table.
SelectedRanges,980,Number of (non-adjacent) ranges in all data parts selected to read from a MergeTree table.
SelectedMarks,5137230,Number of marks (index granules) selected to read from a MergeTree table.
SelectedMarksTotal,5137230,Number of total marks (index granules) before selecting which ones to read from a MergeTree table.
SelectedRows,42002695173,Number of rows SELECTed from all tables.
SelectedBytes,2011329766560,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
RowsReadByMainReader,42002653140,Number of rows read from MergeTree tables by the main reader (after PREWHERE step).
RowsReadByPrewhereReaders,42002653140,Number of rows read from MergeTree tables (in total) by prewhere readers.
LoadedDataParts,37,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,15529,Microseconds spent by MergeTree tables for loading data parts during initialization.
FilteringMarksWithPrimaryKeyMicroseconds,3229,Time spent filtering parts by PK.
WaitMarksLoadMicroseconds,2719373,Time spent loading marks
LoadedMarksFiles,154,Number of mark files loaded.
LoadedMarksCount,807433,Number of marks loaded (total across columns).
LoadedMarksMemoryBytes,3662896,Size of in-memory representations of loaded marks.
MergingSortedMilliseconds,11730,Total time spent while merging sorted columns
CommonBackgroundExecutorTaskExecuteStepMicroseconds,9789,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,79,Time spent resetting task for Common executor.
ContextLock,123121,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,1203,Context lock wait time in microseconds
RWLockAcquiredReadLocks,1104,Number of times a read lock was acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,12549,Total time spent holding data parts lock in MergeTree tables
PartsLockWaitMicroseconds,1,Total time spent waiting for data parts lock in MergeTree tables
PartsLocks,265,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,15251,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLockWaitMicroseconds,21,Total time spent waiting for shared data parts lock in MergeTree tables
SharedPartsLocks,12805,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,79922463119,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
UserTimeMicroseconds,11803184703,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in user mode. This includes time CPU pipeline was stalled due to main memory access, cache misses, branch mispredictions, hyper-threading, etc."
SystemTimeMicroseconds,324828920,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
SoftPageFaults,51238580,"The number of soft page faults in query execution threads. Soft page fault usually means a miss in the memory allocator cache, which requires a new memory mapping from the OS and subsequent allocation of a page of physical memory."
