event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,5539,11556,6017,Total time spent analyzing index of patch parts
ArenaAllocBytes,18882560,23199744,4317184,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,4374,5428,1054,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,175,175,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,64,64,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,14,14,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,64,64,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
AsynchronousReaderIgnoredBytes,518896215,547466142,28569927,Number of bytes ignored during asynchronous reading
CommonBackgroundExecutorTaskExecuteStepMicroseconds,9789,10301,512,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,79,83,4,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,43442,43442,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,30603596,38003766,7400170,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,2016112101463,2503624259157,487512157694,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,2590,2590,0,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,1595712068,1595712068,0,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptionResumes,42916,42916,0,Total number of CPU preemption resumed
ConcurrencyControlPreemptions,43800,43800,0,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,2590,2590,0,Total number of CPU slots acquired
ConcurrencyControlUpscales,2590,2590,0,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,1662459428,1662459428,0,Total time a query was waiting on resource requests for CPU slots.
ContextLock,123121,151030,27909,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,1203,3411,2208,Context lock wait time in microseconds
CreatedReadBufferDirectIO,72127,85348,13221,Number of times a read buffer with O_DIRECT was created for reading data (while choosing among other read methods).
CreatedReadBufferOrdinary,324,324,0,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,1343807811,1721635406,377827595,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,22,22,0,Total time spent waiting for write syscall. This include writes to page cache.
FailedQuery,6,6,0,"Number of total failed queries, both internal and user queries."
FailedSelectQuery,6,6,0,"Same as FailedQuery, but only for SELECT queries."
FairPolicyDequeue,802888,802888,0,Number of dequeues invoked at all FairPolicyNodes
FileOpen,1847,2091,244,Number of files opened.
FileSync,1,1,0,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,371,371,0,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
FilterTransformPassedBytes,2517314,2517314,0,Number of bytes that passed the filter in the query
FilterTransformPassedRows,41164,41164,0,Number of rows that passed the filter in the query
FilteringMarksWithPrimaryKeyMicroseconds,3229,3949,720,Time spent filtering parts by PK.
FunctionExecute,10283064,12760532,2477468,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,1435,1435,0,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,1465001,1918552,453551,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,5415,6818,1403,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,36052,56245,20193,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolThreadCreationMicroseconds,252968,252968,0,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,53,65,12,Number of created server HTTP connections
HTTPServerConnectionsExpired,20,23,3,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,75,92,17,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,9,10,1,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,64,79,15,Number of reused server HTTP connections
IOBufferAllocBytes,15264322606,18164177437,2899854831,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,145517,172144,26627,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,85,103,18,"Same as Query, but only counts initial queries (see is_initial_query)."
InterfaceHTTPReceiveBytes,82684,100840,18156,Number of bytes received through HTTP interfaces
InterfaceHTTPSendBytes,235839,273286,37447,Number of bytes sent through HTTP interfaces
InterfaceNativeReceiveBytes,3693,3693,0,Number of bytes received through native interfaces
InterfaceNativeSendBytes,541657,541657,0,Number of bytes sent through native interfaces
JoinBuildTableRowCount,136,168,32,Total number of rows in the build table for a JOIN operation.
JoinOptimizeMicroseconds,50551,76216,25665,Total time spent executing JOIN plan optimizations.
JoinProbeTableRowCount,20114377866,24847172658,4732794792,Total number of rows in the probe table for a JOIN operation.
