at_ms,latency_ms,qid
1838,138865.1290,np_default_60
4805,43407.5268,p_default_1200
4833,44594.1374,p_default_1200
4954,156373.1123,np_default_60
14625,63368.4812,p_default_1200
16192,64622.9862,p_default_1200
22823,143811.4662,np_default_60
26716,141449.9121,np_default_60
31743,66473.0077,p_default_1200
32980,66723.7088,p_default_1200
39455,65515.9168,p_default_1200
49616,62317.9897,p_default_1200
89900,55081.6882,p_default_1200
91563,54305.0175,p_default_1200
94183,53144.2967,p_default_1200
105800,82484.5982,np_default_60
107129,82200.7393,np_default_60
120850,39643.8119,p_default_1200
121216,39308.0721,p_default_1200
133379,66380.8537,np_default_60
147174,54083.3153,np_default_60
162572,11662.0792,p_default_1200
177126,17557.6888,p_default_1200
182393,17367.6596,p_default_1200
212471,24907.6768,np_default_60
213470,11691.8265,p_default_1200
218415,27043.6215,np_default_60
232468,23876.3735,np_default_60
238488,11139.2324,p_default_1200
