event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,459553,583802,124249,Total time spent analyzing index of patch parts
ArenaAllocBytes,45506560,56254464,10747904,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,10690,13314,2624,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,2128666,2128666,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,58,58,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,5,5,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,58,58,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CannotWriteToWriteBufferDiscard,30762,31022,260,Number of stack traces dropped by query profiler or signal handler because pipe is full or cannot write to pipe.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,327249441,328891627,1642186,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,2442,2573,131,Time spent resetting task for Common executor.
CompileExpressionsBytes,24576,24576,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,56256,56256,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,3,3,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,73750696,91425489,17674793,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,4808502494425,5968544465226,1160041970801,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlSlotsAcquired,2456,5080,2624,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,351,376,25,Total number of noncompeting CPU slot acquired
ConcurrencyControlSlotsGranted,351,376,25,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ConcurrencyControlWaitMicroseconds,13809846561,13809849846,3285,Total time a query was waiting on resource requests for CPU slots.
ContextLock,780974,926447,145473,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,402595,448389,45794,Context lock wait time in microseconds
CreatedReadBufferOrdinary,156357,185298,28941,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,2146939704,2460081626,313141922,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,422793,499024,76231,Total time spent waiting for write syscall. This include writes to page cache.
FailedQuery,1,1,0,"Number of total failed queries, both internal and user queries."
FailedSelectQuery,1,1,0,"Same as FailedQuery, but only for SELECT queries."
FairPolicyDequeue,2708,5332,2624,Number of dequeues invoked at all FairPolicyNodes
FileOpen,92173,92690,517,Number of files opened.
FileSync,2,2,0,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,1759,1759,0,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
FilterTransformPassedBytes,219823563,260788336,40964773,Number of bytes that passed the filter in the query
FilterTransformPassedRows,84051,84846,795,Number of rows that passed the filter in the query
FilteringMarksWithPrimaryKeyMicroseconds,2700,3403,703,Time spent filtering parts by PK.
FunctionExecute,24131513,29897035,5765522,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,3545,4357,812,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,155971062,191876090,35905028,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,39267,47253,7986,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,912001,1203816,291815,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolShrinks,1805,2617,812,"Counts the total number of times the global thread pool has shrunk by removing threads. This occurs when the number of idle threads exceeds max_thread_pool_free_size, indicating adjustments in the global thread pool size in response to decreased thread utilization."
GlobalThreadPoolThreadCreationMicroseconds,24683907,27436321,2752414,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,6288,7408,1120,Number of created server HTTP connections
HTTPServerConnectionsExpired,6165,7258,1093,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,164,205,41,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,6159,7251,1092,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,158,198,40,Number of reused server HTTP connections
HardPageFaults,2,2,0,"The number of hard page faults in query execution threads. High values indicate either that you forgot to turn off swap on your server, or eviction of memory pages of the ClickHouse binary during very high memory pressure, or successful usage of the 'mmap' read method for the tables data."
IOBufferAllocBytes,127184460586,140637633779,13453173193,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,607134,681027,73893,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,6352,7485,1133,"Same as Query, but only counts initial queries (see is_initial_query)."
InsertedBytes,43888811,47035133,3146322,Number of bytes (uncompressed; for columns as they stored in memory) INSERTed to all tables.
InsertedCompactParts,351,376,25,Number of parts inserted in Compact format.
InsertedRows,3571,3827,256,Number of rows INSERTed to all tables.
InterfaceHTTPReceiveBytes,1883525,2228799,345274,Number of bytes received through HTTP interfaces
InterfaceHTTPSendBytes,43278257,51648171,8369914,Number of bytes sent through HTTP interfaces
InterfaceNativeReceiveBytes,19344,19344,0,Number of bytes received through native interfaces
InterfaceNativeSendBytes,9325732,9325732,0,Number of bytes sent through native interfaces
JoinBuildTableRowCount,256,320,64,Total number of rows in the build table for a JOIN operation.
JoinOptimizeMicroseconds,475292,690081,214789,Total time spent executing JOIN plan optimizations.
JoinProbeTableRowCount,37862358336,47327947920,9465589584,Total number of rows in the probe table for a JOIN operation.
JoinReorderMicroseconds,918,1216,298,Total time spent executing JOIN reordering algorithm.
JoinResultRowCount,151449433344,189311791680,37862358336,Total number of rows in the result of a JOIN operation.
LoadedDataParts,25,25,0,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,2642791,2642791,0,Microseconds spent by MergeTree tables for loading data parts during initialization.
LoadedMarksCount,3472133,3690747,218614,Number of marks loaded (total across columns).
LoadedMarksFiles,458,488,30,Number of mark files loaded.
LoadedMarksMemoryBytes,7298952,7635880,336928,Size of in-memory representations of loaded marks.
LocalThreadPoolBusyMicroseconds,721941269783,981943894579,260002624796,Total time threads have spent executing the actual work.
LocalThreadPoolExpansions,32326,39179,6853,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolJobWaitTimeMicroseconds,496852188,618836243,121984055,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolJobs,11706113,14509704,2803591,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolLockWaitMicroseconds,1093647047,1320225594,226578547,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolShrinks,32178,39031,6853,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,73478247,88910028,15431781,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LogDebug,1,1,0,Number of log messages with level Debug
LogInfo,51,51,0,Number of log messages with level Info
LogWarning,5,5,0,Number of log messages with level Warning
LoggerElapsedNanoseconds,38842018,38842018,0,Cumulative time spend in logging
MainConfigLoads,1,1,0,Number of times the main configuration was reloaded.
MarkCacheHits,122635,151516,28881,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,458,488,30,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
MemoryAllocatedWithoutCheck,50560025,62811047,12251022,Number of times memory has been allocated without checking for memory constraints.
MemoryAllocatedWithoutCheckBytes,16107727268664,20708615425052,4600888156388,Amount of bytes that has been allocated without checking for memory constraints.
MemoryAllocatorPurge,2,2,0,Total number of times memory allocator purge was requested
MemoryAllocatorPurgeTimeMicroseconds,14013,14013,0,Total time spent for memory allocator purge
MemoryWorkerRun,58491,62847,4356,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,650466009,691000581,40534572,Total time spent by MemoryWorker for background work
Merge,69,74,5,Number of launched background merges.
MergeExecuteMilliseconds,228065,238007,9942,Total busy time spent for execution of background merges
MergeHorizontalStageExecuteMilliseconds,193993,202938,8945,Total busy time spent for execution of horizontal stage of background merges
MergeHorizontalStageTotalMilliseconds,194093,203146,9053,Total time spent for horizontal stage of background merges
MergeMutateBackgroundExecutorTaskExecuteStepMicroseconds,229967562,240215138,10247576,Time spent in executeStep() for MergeMutate executor tasks.
MergeMutateBackgroundExecutorTaskResetMicroseconds,696788,778162,81374,Time spent resetting task for MergeMutate executor.
MergeProjectionStageExecuteMilliseconds,34072,35069,997,Total busy time spent for execution of projection stage of background merges
MergeProjectionStageTotalMilliseconds,34150,35150,1000,Total time spent for projection stage of background merges
MergeSourceParts,424,454,30,Number of source parts scheduled for merges.
MergeTotalMilliseconds,228251,238305,10054,Total time spent for background merges
MergeTreeDataWriterBlocks,351,376,25,Number of blocks INSERTed to MergeTree tables. Each block forms a data part of level zero.
MergeTreeDataWriterBlocksAlreadySorted,351,376,25,Number of blocks INSERTed to MergeTree tables that appeared to be already sorted.
MergeTreeDataWriterCompressedBytes,75779591,81214770,5435179,Bytes written to filesystem for data INSERTed to MergeTree tables.
MergeTreeDataWriterRows,3571,3827,256,Number of rows INSERTed to MergeTree tables.
MergeTreeDataWriterSortingBlocksMicroseconds,1828,2040,212,Time spent sorting blocks
MergeTreeDataWriterUncompressedBytes,43888811,47035133,3146322,Uncompressed bytes (for columns as they stored in memory) INSERTed to MergeTree tables.
MergeVerticalStageTotalMilliseconds,8,9,1,Total time spent for vertical stage of background merges
MergedColumns,106122,113812,7690,Number of columns merged during the horizontal stage of merges.
MergedIntoCompactParts,60,65,5,Number of parts merged into Compact format.
