arrival_ms,start_ms,end_ms,latency_ms,qid
624.3621,624.4732,173194.2221,172569.7489,np_greedy_87
1681.3377,1681.4031,175186.0194,173504.6163,np_greedy_87
7738.7662,7738.8459,197229.7911,189490.9452,np_greedy_87
9057.0818,9057.1405,199959.5227,190902.3823,np_greedy_87
9869.0330,9869.1351,27019.0144,17149.8793,p_greedy_330
13441.4447,13441.5300,30704.5543,17263.0243,p_greedy_330
34511.7633,34511.8461,45918.4967,11406.6506,p_greedy_330
35869.3947,35869.4612,214591.5639,178722.1027,np_greedy_87
36320.0185,36320.0879,214676.2418,178356.1539,np_greedy_87
45220.5553,45220.6452,222135.1809,176914.5357,np_greedy_87
49897.5194,49897.6108,227345.5805,177447.9697,np_greedy_87
51476.9072,51476.9725,67917.3413,16440.3687,p_greedy_330
56349.9391,56350.0231,72614.4622,16264.4391,p_greedy_330
72033.9174,72033.9968,235562.2151,163528.2183,np_greedy_87
74050.2238,74050.3023,238364.0786,164313.7762,np_greedy_87
75078.9265,75078.9960,96536.8069,21457.8109,p_greedy_330
77763.2227,77763.3161,103569.0598,25805.7437,p_greedy_330
78813.3524,78813.4347,239382.6108,160569.1761,np_greedy_87
83517.1321,83517.2286,241068.6853,157551.4566,np_greedy_87
86776.1607,86776.2427,243906.0774,157129.8347,np_greedy_87
86797.3409,86797.3670,241110.4459,154313.0789,np_greedy_87
88637.4399,88637.5270,115164.9385,26527.4115,p_greedy_330
93436.3203,93436.4108,242815.8912,149379.4803,np_greedy_87
94496.6538,94496.7381,243576.4317,149079.6936,np_greedy_87
97311.6433,97311.7250,119974.7241,22662.9992,p_greedy_330
105040.5308,105040.6144,244968.9714,139928.3570,np_greedy_87
105880.3065,105880.3930,246356.3837,140475.9907,np_greedy_87
110270.0629,110270.1659,245837.1864,135567.0204,np_greedy_87
116508.6483,116508.7410,141638.5215,25129.7806,p_greedy_330
117159.6935,117159.7508,247469.0688,130309.3180,np_greedy_87
120894.4814,120894.5751,149523.6843,28629.1092,p_greedy_330
126778.9440,126779.0208,156156.2801,29377.2593,p_greedy_330
143765.2259,143765.3083,171032.4722,27267.1640,p_greedy_330
144473.3473,144473.4236,254611.8142,110138.3906,np_greedy_87
145601.8247,145601.8924,253399.9827,107798.0904,np_greedy_87
147392.3334,147392.3917,254339.1796,106946.7879,np_greedy_87
152093.6941,152093.7718,177372.8125,25279.0407,p_greedy_330
165459.8838,165459.9508,258793.0059,93333.0551,np_greedy_87
165525.6230,165525.6684,189639.4653,24113.7969,p_greedy_330
165708.4004,165708.4758,257013.5827,91305.1070,np_greedy_87
177249.8469,177249.9358,195255.1925,18005.2567,p_greedy_330
