arrival_ms,start_ms,end_ms,latency_ms,qid
624.5388,624.6046,212826.5984,212201.9938,np_default_87
1680.7750,1680.8721,215734.9731,214054.1010,np_default_87
7738.7608,7738.8681,224607.5896,216868.7214,np_default_87
9057.9440,9057.9974,223379.8309,214321.8335,np_default_87
9868.8528,9868.9352,27098.1133,17229.1780,p_default_330
13441.1711,13441.2504,30868.2551,17427.0047,p_default_330
34511.2986,34511.3809,45755.3554,11243.9745,p_default_330
35869.8926,35869.9602,237544.3404,201674.3803,np_default_87
36319.9001,36319.9565,238804.4139,202484.4574,np_default_87
45220.1257,45220.2072,242485.6425,197265.4354,np_default_87
49897.2144,49897.2841,247674.9990,197777.7148,np_default_87
51476.0610,51476.1426,68765.5371,17289.3945,p_default_330
56349.4863,56349.5790,73574.5029,17224.9239,p_default_330
72034.6694,72034.7643,256830.9702,184796.2060,np_default_87
74049.2223,74049.3148,256601.6648,182552.3500,np_default_87
75078.4890,75078.5574,100899.1051,25820.5477,p_default_330
77764.2700,77764.3425,109649.0869,31884.7445,p_default_330
78813.1470,78813.2306,259339.6860,180526.4555,np_default_87
83518.1261,83518.2277,261512.3245,177994.0968,np_default_87
86775.2058,86775.3040,260630.0484,173854.7444,np_default_87
86794.4823,86794.5115,260878.2022,174083.6908,np_default_87
88638.4447,88638.5263,121583.7393,32945.2130,p_default_330
93434.5447,93434.6333,262133.8834,168699.2502,np_default_87
94496.6669,94496.7418,262623.7991,168127.0574,np_default_87
97311.2371,97311.3170,130630.5158,33319.1988,p_default_330
105040.9778,105041.0733,265420.1754,160379.1022,np_default_87
105879.3874,105879.4745,266333.4486,160453.9741,np_default_87
110270.1890,110270.2806,265543.4946,155273.2141,np_default_87
116508.0007,116508.0926,157235.2384,40727.1458,p_default_330
117159.8206,117159.8822,266393.4958,149233.6136,np_default_87
120894.3739,120894.4692,162937.0639,42042.5947,p_default_330
126779.0876,126779.1773,172339.3972,45560.2199,p_default_330
143766.4495,143766.5465,190878.9239,47112.3774,p_default_330
144565.3583,144565.4183,274943.5506,130378.1323,np_default_87
145638.5074,145638.5749,271658.4419,126019.8670,np_default_87
147396.8534,147396.9177,272473.1152,125076.1975,np_default_87
152093.1201,152093.1935,196767.8493,44674.6557,p_default_330
165459.8136,165459.8830,272726.9609,107267.0779,np_default_87
165524.4094,165524.4520,205164.1314,39639.6794,p_default_330
165709.4471,165709.5350,273198.2424,107488.7074,np_default_87
177250.1546,177250.2494,208282.3650,31032.1156,p_default_330
