event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,583802,682468,98666,Total time spent analyzing index of patch parts
ArenaAllocBytes,56254464,67002368,10747904,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,13314,15938,2624,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,2128666,2128666,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,58,58,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,5,5,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,58,58,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CannotWriteToWriteBufferDiscard,31022,31322,300,Number of stack traces dropped by query profiler or signal handler because pipe is full or cannot write to pipe.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,328891627,330572404,1680777,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,2573,2703,130,Time spent resetting task for Common executor.
CompileExpressionsBytes,24576,24576,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,56256,56256,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,3,3,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,91425489,109118558,17693069,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,5968544465226,7128580885742,1160036420516,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlSlotsAcquired,5080,5080,0,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,376,403,27,Total number of noncompeting CPU slot acquired
ConcurrencyControlSlotsGranted,376,403,27,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ConcurrencyControlWaitMicroseconds,13809849846,13809849846,0,Total time a query was waiting on resource requests for CPU slots.
ContextLock,926491,1087215,160724,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,448389,510447,62058,Context lock wait time in microseconds
CreatedReadBufferOrdinary,185298,213837,28539,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,2460092004,2891553236,431461232,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,499024,558787,59763,Total time spent waiting for write syscall. This include writes to page cache.
FailedQuery,1,1,0,"Number of total failed queries, both internal and user queries."
FailedSelectQuery,1,1,0,"Same as FailedQuery, but only for SELECT queries."
FairPolicyDequeue,5332,5332,0,Number of dequeues invoked at all FairPolicyNodes
FileOpen,92690,93255,565,Number of files opened.
FileSync,2,2,0,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,1759,1759,0,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
FilterTransformPassedBytes,260788336,310450462,49662126,Number of bytes that passed the filter in the query
FilterTransformPassedRows,84846,85768,922,Number of rows that passed the filter in the query
FilteringMarksWithPrimaryKeyMicroseconds,3403,4204,801,Time spent filtering parts by PK.
FunctionExecute,29897035,35665889,5768854,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,4357,5251,894,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,191876172,242522266,50646094,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,47258,55815,8557,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,1203817,1539536,335719,Total time threads have spent waiting for locks in the global thread pool.
