event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,2842,4237,1395,Total time spent analyzing index of patch parts
ArenaAllocBytes,17268736,25903104,8634368,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,4216,6324,2108,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,150,150,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,15769,16598,829,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,124,151,27,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,59649,59649,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,30266762,45394059,15127297,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,1993956063955,2990533516371,996577452416,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,3036,5073,2037,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,4179815350,6624804349,2444988999,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptionResumes,107436,160492,53056,Total number of CPU preemption resumed
ConcurrencyControlPreemptions,108959,163220,54261,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,3036,5073,2037,Total number of CPU slots acquired
ConcurrencyControlUpscales,3036,5073,2037,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,3409590576,4594681586,1185091010,Total time a query was waiting on resource requests for CPU slots.
ContextLock,144603,255534,110931,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,693,5498,4805,Context lock wait time in microseconds
CreatedReadBufferOrdinary,92728,134164,41436,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
