event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,4237,4899,662,Total time spent analyzing index of patch parts
ArenaAllocBytes,25903104,34537472,8634368,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,6324,8432,2108,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,150,150,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,16598,16826,228,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,151,152,1,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,59649,59649,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,45394059,60532133,15138074,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,2990533516371,3987832779201,997299262830,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,5073,6124,1051,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,6624804349,8416025137,1791220788,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptionResumes,160492,219859,59367,Total number of CPU preemption resumed
ConcurrencyControlPreemptions,163220,222977,59757,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,5073,6124,1051,Total number of CPU slots acquired
ConcurrencyControlUpscales,5073,6124,1051,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,4594681586,6801175384,2206493798,Total time a query was waiting on resource requests for CPU slots.
ContextLock,255577,414977,159400,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,5498,6780,1282,Context lock wait time in microseconds
CreatedReadBufferOrdinary,134164,186634,52470,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,354297713,452003519,97705806,Total time spent waiting for read syscall. This include reads from page cache.
