timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5009.63,18,262144,64,50025,3296537400,17,17,260742,123,585,601244,3,10407,20,125280612,1172,1,19,7749,42550,2,9171,585,8465592,3355131,1016955516,585,1232,2,1,2,2,426,1,1012965788,967024043,25437250,74572420,74572420,2,1,3280465584,73389,73389,2,2,2,74556036,7,3,137852,2880255,1104358,18512,7730,1012965788,582732,7359959,8289
10013.61,18,262144,64,107268,7068707838,17,17,269097,132,585,1027977,3,26568,20,126837126,1172,1,19,16162,42620,2,9171,585,18110988,3438392,2123772592,585,1232,2,1,2,2,426,1,2115543452,2069661237,52751770,160297138,160313522,2,1,7053074072,73389,73389,2,2,2,160297138,7,3,153059,3633632,1268850,27295,16143,2115543452,1000682,16841205,8289
15017.00,18,262144,64,169806,11189230722,17,17,276533,143,585,1458151,3,44172,20,128417772,1172,1,19,25346,42704,2,9171,585,28025248,3438844,3332328349,585,1232,2,1,2,2,426,1,3319439772,3274181531,70113553,253957301,253957301,2,1,11173400348,73389,73389,2,2,2,253940917,7,3,157070,4437607,1408253,36397,25327,3319439772,1421754,26616608,8289
20024.82,18,262144,64,212204,13982956814,17,17,432660,150,585,1804520,3,56175,20,129479580,1172,1,19,31575,67208,2,9171,585,36522305,5360432,4151971762,585,1232,2,1,2,2,426,1,4135887260,4090808621,137621753,317445118,317461502,2,1,13967585192,73389,73389,2,2,2,317445118,7,3,169404,5648808,1681665,47515,31556,4135887260,1757005,34840658,8289
25028.71,18,262144,64,248872,16399110406,17,17,524760,156,585,2119391,3,66480,20,130275936,1172,1,19,36962,84761,2,9171,585,44666183,7066938,4860638762,585,1232,2,1,2,2,426,1,4841841052,4797181255,183088833,372348607,372364991,2,1,16383338708,73389,73389,2,2,2,372348607,7,3,188831,6694746,1939116,56412,36943,4841841052,2062979,42726994,8289
30035.40,18,262144,64,284341,18736348486,17,17,643316,162,585,2466194,3,76506,20,131337744,1172,1,19,42175,93444,2,9171,585,53282892,8760186,5546677608,585,1232,2,1,2,2,426,1,5525250460,5480458299,227289196,425484783,425484783,2,1,18721330452,73389,73389,2,2,2,425484783,7,3,203081,7734726,2206392,65374,42156,5525250460,2400820,51076525,8289
35040.47,18,262144,64,318005,20954497730,17,17,725488,168,585,2799736,3,86013,20,132134100,1172,1,19,47117,110451,2,9171,585,61613488,10907061,6196944029,585,1232,2,1,2,2,426,1,6173008284,6128881390,282462712,475899500,475915884,2,1,20939578000,73389,73389,2,2,2,475899500,7,3,216093,8915971,2487105,75045,47098,6173008284,2724691,59126731,8289
40046.39,18,262144,64,343675,22645832218,17,17,857320,172,585,3108363,3,93233,20,132665004,1172,1,19,50889,141883,2,9171,585,68545943,13811192,6693298201,585,1232,2,1,2,2,426,1,6667411868,6623256557,361637011,514336686,514336686,2,1,22630093288,73389,73389,2,2,2,514320302,7,3,224425,10296221,2820507,88321,50870,6667411868,3020042,65725407,8289
45059.23,18,262144,64,372924,24573059376,17,17,1582315,177,585,3393652,3,101490,20,133461360,1172,1,19,55181,189860,2,9171,585,76805575,17520411,7258071161,585,1232,2,1,2,2,426,1,7229972892,7186618035,452230210,558128837,558145221,2,1,24557668828,73389,73389,2,2,2,558128837,7,3,247983,11841180,3195131,98303,55162,7229972892,3295349,73610147,8289
50064.85,18,262144,64,390686,25743746108,17,17,3105774,180,585,3598594,3,106497,20,133992264,1172,1,19,57792,253700,2,9171,585,81334879,21330263,7601691747,585,1232,2,1,2,2,426,1,7572201884,7528845792,624050763,584731630,584748014,2,1,25728191720,73389,73389,2,2,2,584731630,7,3,262627,13633846,3454795,107597,57773,7572201884,3490997,77879224,8289
