timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5016.00,4,262144,64,67776,4465984398,45887,15,38,38,1495452,126,1,585,629234,5,15468,41,307,125546064,1172,1,40,10376,45202,2,18091,585,12540347,1079192,1359667638,585,550,2,1,2,2,453,1,1354539420,1308917875,28624876,101138571,101154955,2,1,4450097124,73389,73389,2,2,2,101138571,10,3,357925,1845362,1555314,14974,10337,1354539420,614260,10984581,4646
10033.36,4,262144,64,92503,6095494306,45887,15,38,38,2363097,130,1,585,916491,5,22431,41,307,126318288,1172,1,40,14009,68378,2,18091,585,17960567,3211372,1837712561,585,550,2,1,2,2,453,1,1830723996,1785193922,82410143,138174925,138191309,2,1,6079696700,73389,73389,2,2,2,138174925,10,3,378291,3288324,1845910,24363,13969,1830723996,892128,16114905,4646
15038.19,4,262144,64,126455,8332783370,45887,15,38,38,3256739,136,2,585,1244741,5,31969,41,307,127102578,1172,1,40,18999,91123,2,18091,585,25836562,5526876,2494256844,585,550,2,1,2,2,453,1,2484773276,2439193230,117662825,189038043,189038043,2,1,8316952996,73389,73389,2,2,2,189021659,10,3,406224,4560098,2156023,37139,18959,2484773276,1207602,23680370,4646
20044.29,4,262144,64,179816,11848696958,45887,15,38,38,4576134,144,2,585,1658140,5,47013,41,307,128417772,1172,1,40,26837,91547,2,18091,585,36269461,5565420,3525443729,585,550,2,1,2,2,453,1,3512115612,3466891660,146025551,268936978,268953362,2,1,11833227032,73389,73389,2,2,2,268936978,10,3,433708,5324223,2368162,45497,26797,3512115612,1612643,33901750,4646
25059.35,4,262144,64,198799,13099668598,45887,15,38,38,4931044,148,2,585,1901125,5,52409,41,307,129214128,1172,1,40,29626,137821,2,18091,585,43465622,9365773,3892608213,585,550,2,1,2,2,453,1,3877806492,3832623289,231526881,297372620,297372620,2,1,13084395280,73389,73389,2,2,2,297372620,10,3,455048,7035745,2758468,55669,29587,3877806492,1845456,40707473,4646
30065.01,4,262144,64,217262,14316030614,45887,15,38,38,5258413,151,2,585,2143573,5,57609,41,307,129479580,1172,1,40,32336,194006,2,18091,585,49104261,12952348,4249118727,585,550,2,1,2,2,453,1,4232880540,4188208785,298663547,325009764,325026148,2,1,14300429616,73389,73389,2,2,2,325009764,10,3,466868,8783137,3124159,66036,32296,4232880540,2077537,45981310,4646
35072.73,4,262144,64,236596,15590343238,45887,15,38,38,5601165,154,2,585,2386448,5,63045,41,307,130010484,1172,1,40,35180,240151,2,18091,585,55589533,16755076,4623252700,585,550,2,1,2,2,453,1,4605518236,4560768490,346064607,353975727,353975727,2,1,15574931988,73389,73389,2,2,2,353975727,10,3,487189,10471868,3512132,80619,35140,4605518236,2305829,52078739,4646
40076.19,4,262144,64,273886,18047187826,45887,15,38,38,6301878,160,2,585,2726604,5,73494,41,307,130806840,1172,1,40,40657,259245,2,18091,585,63792757,19424317,5344064061,585,550,2,1,2,2,453,1,5323530652,5278867540,382115439,409821296,409837680,2,1,18032137024,73389,73389,2,2,2,409821296,10,3,509137,11960288,3835904,93706,40617,5323530652,2632898,59958046,4646
45082.19,4,262144,64,310218,20441514378,45887,15,38,38,6942848,166,2,585,3048424,5,83784,41,307,131868648,1172,1,40,45997,273852,2,18091,585,71135299,21203703,6046801690,585,550,2,1,2,2,453,1,6023586204,5978872394,416418126,464231106,464247490,2,1,20426168664,73389,73389,2,2,2,464231106,10,3,527239,13278561,4116335,103028,45958,6023586204,2945396,67019386,4646
50085.90,4,262144,64,364854,24041517270,45887,15,38,38,7755118,175,2,585,3478028,5,99126,41,307,133195908,1172,1,40,54021,279243,2,18091,585,81328070,22208960,7102447413,585,550,2,1,2,2,453,1,7075176860,7031238375,462821145,546059035,546075419,2,1,24026597540,73389,73389,2,2,2,546059035,10,3,566682,14343716,4451721,113473,53981,7075176860,3364555,76876794,4646
