timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.18,0,262144,64,33020,2176583558,1,3976740,115,4,4,4971,249,0,576,233539,3,12960,7,104730270,1154,1,4,259,40985730,3,163942920,6,6001,314,2,26,576,9235279,220,725245271,576,43,3,1,2,2,611,3,722097677,688519885,13944946,41619112,41635496,3,1,2164193856,73389,73389,2,2,2,41619116,3,3,27985,502126,152980,7208,5995,722097677,226331,9082551,877
10011.20,0,262144,64,63127,4160052670,2,7520697,222,4,4,4971,465,0,576,410953,3,24841,7,111330372,1154,1,4,259,78511898,3,313982904,6,11169,628,2,26,576,18436178,501,1347006038,576,43,3,1,2,2,611,3,1341104665,1313165250,27459775,79763545,79779929,3,1,4147704372,73389,73389,2,2,2,79763549,3,3,35875,922151,241180,13447,11163,1341104665,397506,18195816,877
15029.21,48,262144,64,107206,7064463616,7,16420902,581,20,20,4971,733,50,576,893787,3,42161,17,115384548,1154,1,4,259,133455706,3,533564104,16,18771,58102,2,125,576,40473878,3272109,2271669352,576,43,3,1,2,2,611,3,2261462719,2227782750,63666203,135623339,135623339,3,1,7051561692,73389,73389,2,2,2,135606959,3,3,80524,3720572,885812,36659,18749,2261462719,857128,39590891,877
20033.78,82,262144,64,143290,9442766494,18,33819013,857,20,20,4971,976,51,576,1291983,3,56372,17,117218580,1154,1,4,259,178485596,3,713942384,16,25080,86591,2,125,576,58624396,5885474,3034579283,576,43,3,1,2,2,611,3,3020793933,2977728403,103391048,181282822,181282822,3,1,9426706776,73389,73389,2,2,2,181282826,3,3,95008,6121589,1295044,59451,25058,3020793933,1232532,57332729,877
25044.83,119,262144,64,189646,12496499440,18,40259897,1198,32,32,4971,1272,52,576,1798207,3,74634,18,117218580,1154,1,4,259,236279364,3,944988312,17,33141,147047,2,1513,576,83557916,9302487,4012145480,576,43,3,1,2,2,611,3,3993777838,3940008658,140098865,239903320,239985240,3,1,12474972672,73389,73389,2,2,2,239903324,3,3,132557,9235013,1898772,83876,33107,3993777838,1714331,81662772,877
30049.12,164,262144,64,251302,16559497090,31,60125431,1672,33,33,4971,1668,52,576,2523154,3,98866,18,117508164,1154,1,4,259,313145054,3,1252580216,17,43900,248925,2,1513,576,118806913,15142210,5317643334,576,43,3,1,2,2,611,3,5293090719,5220797056,203966942,317969406,317985790,3,1,16534409144,73389,73389,2,2,2,317969410,3,3,164873,14231325,2701864,118148,43865,5293090719,2405006,116105872,877
35061.87,166,262144,64,276592,18226301944,31,63200041,1899,43,43,4971,1838,52,576,2691585,3,108873,18,117508164,1154,1,4,259,344683440,3,1378548328,17,48320,256698,2,1513,576,127344786,15501665,5852769941,576,43,3,1,2,2,611,3,5825826671,5746071112,216600930,349927164,350009084,3,1,18196212560,73389,73389,2,2,2,349927168,3,3,198789,14846242,2900629,125106,48275,5825826671,2566479,124444751,877
40071.24,261,262144,64,363539,23954942438,33,75097709,2539,52,52,4971,2398,56,576,3940657,3,142966,23,117508164,1154,1,4,259,452640010,3,1810301744,22,64004,423382,2,2653,576,181332103,24911858,7755030297,576,43,3,1,2,2,611,3,7718982723,7557391528,296979960,459619454,459668606,3,1,23899359672,73389,73389,2,2,2,459603074,3,3,248864,22786718,4425161,186705,63951,7718982723,3753952,176910676,877
45074.94,290,262144,64,419394,27634954374,50,98325582,2800,62,62,4971,2756,57,576,4955088,3,164883,24,117508164,1154,1,4,259,522001129,3,2087875356,23,74277,470796,2,2662,576,207205545,27940545,9002030657,576,43,3,1,2,2,611,3,8960310726,8722745944,352277715,529922571,530037259,3,1,27555973724,73389,73389,2,2,2,529922575,3,3,280270,26224482,5012955,210903,74213,8960310726,4744185,202196771,877
50092.96,314,262144,64,457899,30173331630,61,113373948,3118,74,74,4971,3001,442,576,6808657,3,179892,24,117508164,1154,1,4,259,569400946,3,2277281084,23,81882,509459,2,2662,576,224514565,30204884,9925558361,576,43,3,1,2,2,611,3,9879667615,9532338242,391386630,578096998,578146150,3,1,30061043928,73389,73389,2,2,2,578097002,3,3,344996,29910171,5568485,230488,81806,9879667615,6578169,218950516,877
