timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.23,262144,64,52142,3436073468,20,20,496946,123,585,440806,5,11040,23,23,125280612,1172,1,22,8063,459,2,100,585,7462014,583,1057671738,585,113,2,1,2,2,238,1,1053729180,1007784747,14925692,77736247,77752631,2,1,3420394868,73389,73389,2,2,2,77736247,3,3,321326,810338,693939,8059,8041,1053729180,432747,6767890,1179
10012.67,262144,64,104526,6887946318,20,20,1691543,132,585,840233,5,25821,23,23,126837126,1172,1,22,15758,1097,2,100,585,17548358,1398,2069926932,585,113,2,1,2,2,238,1,2062197148,2016778542,41472390,156193390,156209774,2,1,6872509160,73389,73389,2,2,2,156193390,3,3,349336,1568560,873981,16202,15736,2062197148,824031,16674480,1179
15016.52,262144,64,150662,9927707786,20,20,2917799,140,585,1219314,5,38791,23,23,127886868,1172,1,22,22539,8174,2,100,585,26571271,604820,2962244927,585,113,2,1,2,2,238,1,2951127452,2905437410,75889840,225284091,225284091,2,1,9912500004,73389,73389,2,2,2,225284091,3,3,372488,2496376,1097361,25298,22517,2951127452,1194016,25473643,1179
20019.73,262144,64,200499,13211876154,20,20,2926654,148,585,1610857,5,52872,23,23,129214128,1172,1,22,29859,9025,2,100,585,35852115,620767,3925296872,585,113,2,1,2,2,238,1,3910574492,3865401484,96430606,299913855,299930239,2,1,13196209620,73389,73389,2,2,2,299913855,3,3,393579,3193019,1264518,32717,29837,3910574492,1578140,34587222,1179
25023.51,262144,64,256933,16930316074,20,20,2933714,157,585,2036840,5,68703,23,23,130541388,1172,1,22,38148,9114,2,100,585,46134554,707567,5015873623,585,113,2,1,2,2,238,1,4997030300,4952410069,144744143,384424442,384440826,2,1,16914675448,73389,73389,2,2,2,384424442,3,3,424159,3925653,1466089,41394,38126,4997030300,1995446,44668383,1179
30032.96,262144,64,301232,19849157006,20,20,3088822,165,585,2424717,5,81279,23,23,131603196,1172,1,22,44656,35035,2,100,585,53276995,2025904,5872334556,585,113,2,1,2,2,238,1,5850177948,5805757499,294333542,450766949,450783333,2,1,19833745756,73389,73389,2,2,2,450766949,3,3,445689,5265311,1744078,52705,44635,5850177948,2372012,51532848,1179
35039.43,262144,64,322726,21265485898,20,20,3408912,168,585,2682765,5,87306,23,23,132134100,1172,1,22,47816,72703,2,100,585,60349622,5810163,6288044827,585,113,2,1,2,2,238,1,6264234396,6219763595,384581360,482964434,482980818,2,1,21250435096,73389,73389,2,2,2,482964434,3,3,460886,6971243,2098464,62900,47794,6264234396,2619865,58251204,1179
40045.43,262144,64,355811,23445424346,20,20,3574749,174,585,2984894,5,96657,23,23,132930456,1172,1,22,52673,94404,2,100,585,68997868,8934938,6927274741,585,113,2,1,2,2,238,1,6900982172,6856979132,443894002,532496574,532512958,2,1,23429849256,73389,73389,2,2,2,532496574,3,3,482569,8327523,2469886,73526,52652,6900982172,2911368,66527701,1179
45051.44,262144,64,377790,24893815716,20,20,3930314,178,585,3241650,5,102872,23,23,133726812,1172,1,22,55901,132664,2,100,585,75992028,12751876,7351932492,585,113,2,1,2,2,238,1,7323951516,7280389426,484704122,565429180,565429180,2,1,24878883920,73389,73389,2,2,2,565429180,3,3,501939,9980306,2860376,84257,55879,7323951516,3157393,73131155,1179
50057.70,262144,64,393854,25952425964,20,20,5253162,180,585,3427784,5,107361,23,23,133992264,1172,1,22,58262,174506,2,100,585,81055935,16983602,7662657312,585,113,2,1,2,2,238,1,7633412508,7589862236,548644218,589474354,589490738,2,1,25936871576,73389,73389,2,2,2,589474354,3,3,522144,12084943,3138554,91655,58240,7633412508,3336129,77915639,1179
