timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.74,262144,64,66022,4350503350,4484,6,64,64,250071,125,585,613049,3,14934,67,214,125546064,1172,1,66,10145,31312,2,1771,585,11957291,573491,1325963289,585,184,2,1,2,2,251,1,1320853916,1275102014,23838286,98513257,98529641,2,1,4334583308,73389,73389,2,2,2,98513257,3,3,349801,1524962,1592584,11601,10079,1320853916,601448,10365699,3291
10011.61,262144,64,116214,7658178318,4484,6,64,64,2231709,134,585,978235,3,29064,67,214,127102578,1172,1,66,17520,31764,2,1771,585,21967875,574464,2296349823,585,184,2,1,2,2,251,1,2287509916,2241975626,51914365,173697918,173714302,2,1,7642708392,73389,73389,2,2,2,173697918,3,3,365883,2238566,1779078,19590,17454,2287509916,958645,20189586,3291
15015.90,262144,64,164174,10818008354,4484,6,64,64,3550683,142,585,1347188,3,42636,67,214,128152320,1172,1,66,24564,32191,2,1771,585,31523248,576988,3223190743,585,184,2,1,2,2,251,1,3210781084,3165659405,78275672,245504045,245520429,2,1,10802177980,73389,73389,2,2,2,245504045,3,3,388164,2946539,1943380,27311,24498,3210781084,1319877,29580851,3291
20019.45,262144,64,211164,13914533922,4484,6,64,64,5183754,150,585,1778448,3,55852,67,214,129479580,1172,1,66,31468,32446,2,1771,585,41557387,577353,4131565275,585,184,2,1,2,2,251,1,4115702172,4070806736,103566250,315882605,315898989,2,1,13898834620,73389,73389,2,2,2,315882605,3,3,400261,3686664,2109457,34451,31402,4115702172,1743997,39448975,3291
25023.88,262144,64,259815,17120252634,4484,6,64,64,7187476,158,585,2206246,3,69599,67,214,130541388,1172,1,66,38618,32783,2,1771,585,50542693,577890,5072342439,585,184,2,1,2,2,251,1,5052866972,5007946920,128279074,388749374,388765758,2,1,17104972456,73389,73389,2,2,2,388749374,3,3,417302,4450414,2288992,42072,38552,5052866972,2164174,48254733,3291
30029.90,262144,64,285596,18819127070,4484,6,64,64,7646139,162,585,2500774,3,76851,67,214,131337744,1172,1,66,42405,79642,2,1771,585,57033358,3389661,5570676031,585,184,2,1,2,2,251,1,5549236636,5504601835,285755077,427364625,427381009,2,1,18804043500,73389,73389,2,2,2,427364625,3,3,437320,6097101,2587921,52309,42339,5549236636,2448465,54445848,3291
35036.52,262144,64,305454,20127442710,4484,6,64,64,7978658,166,585,2745460,3,82437,67,214,131603196,1172,1,66,45323,134814,2,1771,585,64068402,7084943,5954702082,585,184,2,1,2,2,251,1,5931704732,5887071489,363845103,457094603,457110987,2,1,20112162532,73389,73389,2,2,2,457094603,3,3,449639,7793767,2931097,66326,45257,5931704732,2679134,61138016,3291
40052.71,262144,64,320951,21148628594,4484,6,64,64,9312952,168,585,2978334,3,86816,67,214,132134100,1172,1,66,47597,201322,2,1771,585,68264656,10800512,6253995080,585,184,2,1,2,2,251,1,6229762460,6185630981,394000718,480298160,480314544,2,1,21133119040,73389,73389,2,2,2,480298160,3,3,460009,9850781,3165119,93414,47531,6229762460,2884920,65100311,3291
45058.97,262144,64,331173,21821988462,4484,6,64,64,11706783,170,585,3119880,3,89720,67,214,132399552,1172,1,66,49098,261252,2,1771,585,71302919,15142562,6451717114,585,184,2,1,2,2,251,1,6426632604,6382459547,431964064,495613709,495613709,2,1,21807003196,73389,73389,2,2,2,495613709,3,3,472179,12098596,3346174,107229,49033,6426632604,3012651,67957204,3291
50064.59,262144,64,375465,24740648160,4484,6,64,64,11715457,177,585,3467238,3,102129,67,214,133461360,1172,1,66,55604,262530,2,1771,585,80134482,15863154,7307736771,585,184,2,1,2,2,251,1,7279255964,7235580907,455458201,561937673,561954057,2,1,24725257612,73389,73389,2,2,2,561937673,3,3,486478,12751429,3518136,114459,55538,7279255964,3352779,76617131,3291
