timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5009.20,0,262144,64,62611,4125584530,2,5433171,206,7,7,2187,447,0,576,407824,0,2,24628,10,106564302,1154,1,4,245,77919684,4,311614036,9,11064,1733,2,51,576,22869038,2870,1336681062,576,187,0,3,1,2,2,583,3,1330735350,1302008019,29953902,79128887,79145271,3,1,4114702156,73389,73389,2,2,2,79128891,3,3,45818,1003182,296732,15550,11055,1330735350,392274,22572823,1471
10014.29,3,262144,64,118092,7782316734,2,8345651,437,7,7,2187,817,0,576,755992,0,2,46517,10,111318306,1154,1,4,245,147187817,4,588751268,9,20651,3619,2,51,576,44016594,5659,2495877553,576,187,0,3,1,2,2,583,3,2484725207,2453467970,55446225,149421209,149437593,3,1,7769902900,73389,73389,2,2,2,149421213,3,3,56654,1881674,492155,29793,20642,2484725207,726199,43525887,1471
15018.08,9,262144,64,177550,11700361306,2,10458693,640,8,8,2187,1189,1,576,1200794,0,2,69831,10,116615280,1154,1,4,245,220966785,4,883802532,9,31375,8215,2,51,576,68624638,100740,3798803169,576,187,0,3,1,2,2,583,3,3781815521,3692156225,84085897,224462732,224462732,3,1,11672062096,73389,73389,2,2,2,224462736,3,3,65023,3026085,769274,48258,31365,3781815521,1152536,67857575,1471
20021.71,12,262144,64,225351,14849204016,6,17857259,828,11,11,2187,1503,1,576,1563764,0,2,88494,12,117218580,1154,1,4,245,280079752,4,1120319008,11,40531,10880,2,75,576,88556499,158031,4903474332,576,187,0,3,1,2,2,583,3,4881536362,4692684387,112976028,284418526,284434910,3,1,14789763384,73389,73389,2,2,2,284418530,3,3,75264,3958299,1000082,62693,40518,4881536362,1501071,87559224,1471
25026.11,13,262144,64,270575,17830668704,7,22680613,1001,12,12,2187,1790,1,576,1892168,0,2,106177,12,117218580,1154,1,4,245,336081705,4,1344197588,11,49053,12863,2,75,576,107278779,169249,5933635233,576,187,0,3,1,2,2,583,3,5907078531,5638385216,137891951,341299717,341299717,3,1,17747585316,73389,73389,2,2,2,341299721,3,3,84547,4791647,1184600,75852,49039,5907078531,1816316,106097831,1471
30030.33,15,262144,64,314236,20707480480,7,26664835,1142,13,13,2187,2073,1,576,4398896,0,2,123222,12,117508164,1154,1,4,245,390009285,4,1560037140,11,57439,14907,2,75,576,124385383,187109,6947062960,576,187,0,3,1,2,2,583,3,6916010493,6552042855,164735310,396094995,396094995,3,1,20596939772,73389,73389,2,2,2,396094999,3,3,93997,7798542,1384865,89468,57424,6916010493,4309428,123005294,1471
35033.85,15,262144,64,356384,23485232816,11,33324813,1357,14,14,2187,2343,1,576,4690578,0,2,139677,12,117508164,1154,1,4,245,442101333,4,1768405332,11,65671,16262,2,75,576,139723861,188837,7944375371,576,187,0,3,1,2,2,583,3,7908943646,7435768925,187958113,448917716,448917716,3,1,23343721264,73389,73389,2,2,2,448917720,3,3,103234,8539169,1533594,100770,65655,7908943646,4589808,138196155,1471
40395.00,16,262144,64,394622,26005520726,15,39758536,1570,23,23,2187,2589,1,576,4947199,0,2,154583,12,117508164,1154,1,4,245,489343507,4,1957374028,11,73255,17147,2,75,576,152417766,191451,8860720173,576,187,0,3,1,2,2,583,3,8821299813,8238128466,208124829,496809297,496809297,3,1,25834083476,73389,73389,2,2,2,496809301,3,3,119480,9185606,1664871,110397,73230,8821299813,4836802,150758681,1471
45399.81,16,262144,64,420892,27735175336,22,48907873,1766,24,24,2187,2759,1,585,5101640,2,2,164757,12,118949768,1172,1,4,245,521557459,4,2086100824,11,78410,17410,2,75,585,159887140,192134,9484029635,583,191,2,3,1,2,2,583,3,9441920834,8788877113,225990674,529683288,529683288,3,1,27543531008,73389,73389,2,2,2,529683292,3,3,134873,9570606,1758987,116421,78384,9441920834,4985219,158134697,1495
50406.42,21,262144,64,449206,29601973088,22,58111994,2018,34,34,2187,2938,1,594,5345490,2,2,175849,16,120448628,1190,1,4,245,556500720,4,2225938192,15,84083,32817,2,1210,594,170422528,1004778,10169323726,592,192,2,3,1,2,2,583,3,10124195289,9383788229,247476978,565077998,565143534,3,1,29382351992,73389,73389,2,2,2,565045234,3,3,162725,10610660,2029047,126150,84048,10124195289,5219340,168400221,1511
