timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.05,4,262144,64,69609,4587342618,4,8260761,208,9,9,1082,487,576,458081,2,27371,12,108434532,1154,1,4,309,86719337,6,346748120,11,12291,2020,2,58,576,25012800,3066,1485774466,576,170,3,1,2,2,683,3,1479196580,1447339040,35100701,88003809,88020193,3,1,4576198100,73389,73389,2,2,2,88003813,4,3,47211,1107734,269271,16834,12280,1479196580,441247,24744027,1326
10013.27,4,262144,64,126578,8341628588,4,11185807,446,9,9,1082,870,576,828670,2,49777,12,112536972,1154,1,4,309,157624925,6,630434948,11,22427,3781,2,58,576,46128520,5119,2710835086,576,170,3,1,2,2,683,3,2698803597,2632433982,60655693,159971617,159988001,3,1,8318524116,73389,73389,2,2,2,159971621,4,3,54248,2036484,471984,31518,22416,2698803597,797152,45658343,1326
15018.34,7,262144,64,184683,12169808418,4,13012521,644,10,10,1082,1245,576,1253836,2,72592,12,116011980,1154,1,4,309,229799499,6,919197996,11,32910,7494,2,58,576,70505937,89567,3978396814,576,170,3,1,2,2,683,3,3960660390,3841963491,88712094,233307489,233340257,3,1,12131137492,73389,73389,2,2,2,233291109,4,3,64345,3133247,738273,48757,32898,3960660390,1205079,69770519,1326
20022.97,12,262144,64,233994,15419483904,8,20399512,831,13,13,1082,1551,576,1610357,2,91926,12,116928996,1154,1,4,309,291053167,6,1164148140,11,41849,10713,2,58,576,91288317,145343,5062236256,576,170,3,1,2,2,683,3,5039622299,4870056857,118396286,295498811,295515195,3,1,15365938204,73389,73389,2,2,2,295498815,4,3,74022,4052568,970943,63517,41834,5039622299,1546840,90320991,1326
25028.22,12,262144,64,279988,18450482230,9,24957583,1022,14,14,1082,1851,576,1937644,2,109917,12,117218580,1154,1,4,309,348025374,6,1392101496,11,50460,13143,2,58,576,109607670,158377,6103228472,576,170,3,1,2,2,683,3,6075967262,5830568880,142707583,353332877,353332877,3,1,18373309636,73389,73389,2,2,2,353332881,4,3,80337,4885021,1171819,76588,50444,6075967262,1861056,108440370,1326
30033.12,16,262144,64,322948,21281365336,9,29452071,1156,15,15,1082,2130,576,4446540,2,126719,12,117508164,1154,1,4,309,401176095,6,1604639804,11,58549,15574,2,58,576,126980591,176057,7081645927,576,170,3,1,2,2,683,3,7050021478,6728178173,170314039,407359822,407376206,3,1,21182710776,73389,73389,2,2,2,407359826,4,3,91840,7878054,1385993,89514,58532,7050021478,4357026,125600970,1326
35037.95,17,262144,64,365354,24077184296,11,34172630,1361,16,16,1082,2404,576,4745990,2,143259,12,117508164,1154,1,4,309,453459965,6,1813775224,11,66824,17313,2,58,576,143001298,177368,8082485645,576,170,3,1,2,2,683,3,8046446698,7617093687,192299763,460583507,460583507,3,1,23950342396,73389,73389,2,2,2,460583511,4,3,100072,8637479,1562658,101610,66806,8046446698,4644380,141445424,1326
40124.05,17,262144,64,403384,26582042884,13,38223450,1568,20,20,1082,2645,576,4995696,2,158111,12,117508164,1154,1,4,309,500482513,6,2001800920,11,74248,18394,2,58,576,155443953,179143,8981492184,576,170,3,1,2,2,683,3,8941553120,8413917249,209843583,508213832,508213832,3,1,26427119296,73389,73389,2,2,2,508213836,4,3,106469,9272867,1732886,111010,74226,8941553120,4884686,153718857,1326
45128.95,17,262144,64,432125,28476074282,23,50399898,1766,25,25,1082,2829,576,5166709,2,169279,12,117508164,1154,1,4,309,535826544,6,2143241556,11,79952,18650,2,58,576,163677504,180189,9670892405,576,170,3,1,2,2,683,3,9627981688,9016876677,230919737,544191703,544191703,3,1,28297968588,73389,73389,2,2,2,544191707,4,3,118372,9701628,1835397,117421,79925,9627981688,5049288,161850170,1326
50139.44,23,262144,64,455862,30041536104,23,53572206,1975,35,35,1082,2990,576,5328109,2,178555,16,117508164,1154,1,4,309,565078205,6,2260183316,15,84768,21933,2,5021,576,170976985,367711,10251661028,576,170,3,1,2,2,683,3,10206231749,9516496922,242221041,573800516,573866052,3,1,29837626864,73389,73389,2,2,2,573800520,4,3,146932,10216493,1991603,123831,84733,10206231749,5204278,168993736,1326
