timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5006.39,262144,64,87973,5796794260,4553,5,64,64,21112,129,585,818504,4,21141,67,164,126076968,1172,1,66,13369,17028,2,436,585,12765805,574412,1750156503,585,180,2,1,2,2,317,1,1743430044,1697856203,22853608,131390678,131407062,2,1,5781189832,73389,73389,2,2,2,131390678,4,3,384991,1809137,2066414,14887,13303,1743430044,803617,10699026,3162
10014.95,262144,64,121799,8025789590,4553,5,64,64,138374,135,585,1116223,4,30698,67,164,127102578,1172,1,66,18339,38766,2,436,585,20357699,2202954,2404087059,585,180,2,1,2,2,317,1,2394857884,2349406875,83330254,182065380,182065380,2,1,8010876720,73389,73389,2,2,2,182065380,4,3,414086,2948999,2305072,24047,18273,2394857884,1092176,18051705,3162
15022.91,262144,64,142321,9378152038,4553,5,64,64,471728,138,585,1370489,4,36456,67,164,127621416,1172,1,66,21354,81472,2,436,585,25434808,5101593,2800854920,585,180,2,1,2,2,317,1,2790039964,2744751138,116708816,212782272,212798656,2,1,9362419968,73389,73389,2,2,2,212782272,4,3,422887,4587926,2585258,36971,21288,2790039964,1333518,22848673,3162
20029.20,262144,64,175863,11588305890,4553,5,64,64,651331,144,585,1677159,4,45935,67,164,128417772,1172,1,66,26282,107989,2,436,585,35474518,8606175,3449314991,585,180,2,1,2,2,317,1,3435962780,3390822493,184043398,263024957,263024957,2,1,11573098108,73389,73389,2,2,2,263024957,4,3,455790,5948199,2981946,47213,26216,3435962780,1629946,32490428,3162
25039.87,262144,64,196992,12980617614,4553,5,64,64,997044,147,585,1923455,4,51861,67,164,128948676,1172,1,66,29388,141558,2,436,585,41845622,12084661,3858052847,585,180,2,1,2,2,317,1,3843072412,3797781786,219654373,294651161,294673578,2,1,12964651084,73389,73389,2,2,2,294651161,4,3,469744,7572259,3322615,57458,29322,3843072412,1865997,38522422,3162
30047.67,262144,64,212674,14014024186,4553,5,64,64,2332591,150,585,2113050,4,56303,67,164,129479580,1172,1,66,31690,240009,2,436,585,46779058,16252903,4161015072,585,180,2,1,2,2,317,1,4144800156,4099923040,263111272,318155663,318155663,2,1,13998849172,73389,73389,2,2,2,318155663,4,3,481808,9606607,3592468,64962,31624,4144800156,2048088,43186324,3162
35061.85,262144,64,227599,14997458026,4553,5,64,64,4141593,152,585,2306566,4,60483,67,164,129745032,1172,1,66,33883,288542,2,436,585,51129463,20225009,4449641015,585,180,2,1,2,2,317,1,4432241052,4387397555,347777628,340501219,340517603,2,1,14982053636,73389,73389,2,2,2,340501219,4,3,495885,11763757,3847729,75539,33817,4432241052,2231027,47281439,3162
40098.87,262144,64,237987,15682034718,4553,5,64,64,6676249,154,585,2447461,4,63423,67,164,130010484,1172,1,66,35408,392628,2,436,585,54758441,25139754,4650387089,585,180,2,1,2,2,317,1,4632125852,4587568535,494115218,356052177,356052177,2,1,15666295788,73389,73389,2,2,2,356052177,4,3,507145,14162858,4030959,89636,35342,4632125852,2357825,50727452,3162
45102.56,262144,64,276688,18231881506,4553,5,64,64,7931689,161,585,2779132,4,74310,67,164,131072292,1172,1,66,41094,414335,2,436,585,62263511,27517918,5398572773,585,180,2,1,2,2,317,1,5377401244,5332920521,558277788,414023348,414023348,2,1,18217027312,73389,73389,2,2,2,414023348,4,3,533408,15587649,4321501,99388,41028,5377401244,2679744,57941786,3162
50107.06,262144,64,332625,21917677638,4553,5,64,64,8720990,170,585,3193274,4,90070,67,164,132399552,1172,1,66,49313,414772,2,436,585,72280733,27564271,6479926485,585,180,2,1,2,2,317,1,6454682012,6410429093,586739957,497772079,497788463,2,1,21901971476,73389,73389,2,2,2,497772079,4,3,564892,16360639,4522349,107950,49247,6454682012,3085324,67758673,3162
