timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.65,0,262144,64,30503,2010060866,2,5672524,108,5,5,4472,235,0,576,190735,0,2,11962,7,104694072,1154,1,4,336,37861977,6,151318692,6,5561,189,2,23,576,8644254,310,671494321,576,66,0,2,1,3,1,2,2,769,3,668612680,636034119,15008553,38435027,38435027,3,1,1998621436,73389,73389,2,2,2,38435031,7,3,27018,423073,120159,6180,5554,668612680,184555,8524507,1119
10012.06,1,262144,64,75098,4948988216,2,7093913,285,5,5,4472,538,0,576,467019,0,2,29558,7,110087574,1154,1,4,336,93535803,6,374078576,6,13230,646,2,23,576,21570639,577,1598089031,576,66,0,2,1,3,1,2,2,769,3,1591188036,1561465496,30356297,94954055,94954055,3,1,4937610892,73389,73389,2,2,2,94954059,7,3,33106,1039715,222189,15000,13223,1591188036,452019,21349439,1119
15016.54,1,262144,64,129333,8522469852,3,11521091,467,8,8,4472,898,0,576,786902,0,2,50922,9,115119096,1154,1,4,336,161122341,6,644489364,8,22719,1160,2,36,576,37508365,1045,2744847067,576,66,0,2,1,3,1,2,2,769,3,2732972272,2687426172,51934789,163586004,163618772,3,1,8506472240,73389,73389,2,2,2,163586008,7,3,49447,1790435,362762,26410,22709,2732972272,760492,37146714,1119
20021.60,3,262144,64,200159,13189400858,5,16718036,655,10,10,4472,1358,0,576,1236246,0,2,78712,11,116349828,1154,1,4,336,249143197,6,996508128,10,35420,2385,2,50,576,58345543,1644,4289139824,576,66,0,2,1,3,1,2,2,769,3,4270623998,4162876914,79668786,252976420,252976420,3,1,13154773872,73389,73389,2,2,2,252976424,7,3,65910,2831289,556977,41474,35408,4270623998,1194772,57790060,1119
25026.07,13,262144,64,258698,17046964460,7,19647450,838,11,11,4472,1731,0,576,1633716,0,2,101659,11,116639412,1154,1,4,336,321761220,6,1287044880,10,46092,3553,2,50,576,75969368,2217,5586272376,576,66,0,2,1,3,1,2,2,769,3,5562167953,5384055441,101710428,326711541,326711541,3,1,16989000164,73389,73389,2,2,2,326711545,7,3,74773,3761074,704006,54587,46079,5562167953,1579129,75267973,1119
30032.33,20,262144,64,293037,19309990002,9,23262008,977,12,12,4472,1932,0,576,1947769,0,2,115086,11,116639412,1154,1,4,336,364322835,6,1457162080,10,52341,5092,2,50,576,89264892,2767,6350114284,576,66,0,2,1,3,1,2,2,769,3,6322648577,6100849174,119738802,369928093,369928093,3,1,19236260868,73389,73389,2,2,2,369928097,7,3,78681,4452506,824085,64121,52327,6322648577,1883648,88443563,1119
35038.19,41,262144,64,325624,21457291522,9,27558662,1081,13,13,4472,2145,2,576,2308160,0,2,127867,11,116928996,1154,1,4,336,404775377,6,1619036720,10,58435,7559,2,50,576,103754581,5051,7085873012,576,66,0,2,1,3,1,2,2,769,3,7055097715,6780524684,139777084,410990593,410990593,3,1,21371510868,73389,73389,2,2,2,410990597,7,3,89397,5232142,974398,74673,58420,7055097715,2233487,102783932,1119
40047.98,77,262144,64,360283,23741964280,10,31549250,1297,15,15,4472,2369,3,576,2742896,0,2,141426,11,117218580,1154,1,4,336,447633390,6,1790468976,10,64988,10556,2,50,576,120478108,42746,7881022085,576,66,0,2,1,3,1,2,2,769,3,7846665895,7505806118,161940724,454522315,454538699,3,1,23635160412,73389,73389,2,2,2,454522319,7,3,101959,6151222,1194384,86593,64971,7846665895,2656303,119288379,1119
45055.75,120,262144,64,390237,25714904932,12,37186389,1454,17,17,4472,2573,10,648,3190543,2,2,153080,11,129154213,1298,1,4,336,484499752,6,1937805372,10,70973,15067,2,50,648,136294272,120394,8598153338,646,141,2,2,1,3,1,2,2,769,3,8560535375,8134329579,184885499,491998237,491998237,3,1,25583908356,73389,73389,2,2,2,491998241,7,3,117614,7108631,1424575,98573,70954,8560535375,3091970,134874806,1495
50063.71,143,262144,64,416475,27444284356,15,42892830,1632,19,19,4472,2731,12,648,3558711,2,2,163322,11,129467929,1298,1,4,336,516889563,6,2067558252,10,76145,18450,2,50,648,149618818,193132,9227318348,646,141,2,2,1,3,1,2,2,769,3,9186874011,8685036162,205188223,524834698,524851082,3,1,27291404328,73389,73389,2,2,2,524834702,7,3,135280,7899355,1627504,108914,76124,9186874011,3449797,147997510,1495
55070.64,180,262144,64,445107,29330943076,15,46901182,1793,19,19,4472,2913,18,648,4009131,2,2,174443,11,129781645,1298,1,4,336,552062292,6,2208249168,10,81882,23086,2,50,648,164761916,255612,9920893011,646,141,2,2,1,3,1,2,2,769,3,9877307433,9286688036,225816882,560605610,560621994,3,1,29151491752,73389,73389,2,2,2,560605614,7,3,150198,8858028,1880710,121429,81861,9877307433,3887702,162887736,1495
60076.01,227,262144,64,473285,31188403488,16,51328989,1910,19,19,4472,3099,25,648,4420557,2,2,185398,11,130372879,1298,1,4,336,586754208,6,2347016832,10,87648,26970,2,50,648,178608722,274427,10619640093,646,141,2,2,1,3,1,2,2,769,3,10572925621,9880456736,245438275,595768155,595768155,3,1,30979092124,73389,73389,2,2,2,595751775,7,3,157505,9729510,2059364,132564,87627,10572925621,4287993,176556290,1495
