timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5012.05,1,262144,64,32704,2155017496,0,0,0,20,20,779116,120,585,374989,5,5574,23,43,124749708,1172,1,22,5208,14537,2,4197,585,5095362,1252152,682028244,585,851,2,1,2,2,392,1,679387548,633252099,14382393,48622828,48639212,1,2,1,2139404432,73389,73389,2,2,2,48622828,5,3,86037,1290289,678292,11463,5186,679387548,363526,4415106,3748
10283.56,1,262144,64,64045,4220407774,0,0,0,20,20,1188635,125,585,729933,5,14393,23,43,125546064,1172,1,22,9810,32548,2,4197,585,14237566,3643019,1287732328,585,851,2,1,2,2,392,1,1282711964,1237074442,54974352,95568455,95584839,1,2,1,4205012020,73389,73389,2,2,2,95568455,5,3,108317,2589612,1130548,25150,9788,1282711964,704783,13104758,3748
15285.29,1,262144,64,125451,8266454322,0,0,0,20,20,1298756,135,585,1195838,5,31692,23,43,127102578,1172,1,22,18833,33419,2,4197,585,24482794,3897732,2475014183,585,851,2,1,2,2,392,1,2465374620,2419759956,77546131,187535033,187535033,1,2,1,8251541452,73389,73389,2,2,2,187535033,5,3,138874,3486284,1409326,35638,18811,2465374620,1160200,23071759,3748
20291.59,1,262144,64,149760,9868594314,0,0,0,20,20,1815066,139,585,1486358,5,38541,23,43,127886868,1172,1,22,22405,60989,2,4197,585,31234577,6699730,2945080339,585,851,2,1,2,2,392,1,2933563804,2888122845,132048343,223932411,223948795,1,2,1,9853026084,73389,73389,2,2,2,223932411,5,3,147929,4988580,1743289,46556,22384,2933563804,1439802,29490341,3748
25296.54,1,262144,64,182378,12017661998,0,0,0,20,20,1815066,145,585,1846703,5,47766,23,43,128683224,1172,1,22,27199,73392,2,4197,585,42174142,9010562,3575768200,585,851,2,1,2,2,392,1,3561791900,3516341850,188156555,272778582,272794966,1,2,1,12002257608,73389,73389,2,2,2,272778582,5,3,183854,6155330,2213996,58572,27177,3561791900,1788131,39958605,3748
30302.85,1,262144,64,212454,13999606266,0,0,0,20,20,1815066,150,585,2188869,5,56243,23,43,129479580,1172,1,22,31614,90529,2,4197,585,50647527,11542018,4156864599,585,851,2,1,2,2,392,1,4140605852,4095704729,236108302,317827983,317827983,1,2,1,13984431252,73389,73389,2,2,2,317827983,5,3,197764,7521940,2637152,71266,31592,4140605852,2117603,48008444,3748
35307.27,1,262144,64,253594,16710429562,0,0,0,20,20,1815066,157,585,2541792,5,67833,23,43,130541388,1172,1,22,37657,97608,2,4197,585,60651267,13310704,4952014571,585,851,2,1,2,2,392,1,4932673948,4888151461,272356400,379435958,379435958,1,2,1,16694461256,73389,73389,2,2,2,379419574,5,3,237877,8519056,3032097,81055,37635,4932673948,2460737,57627337,3748
40315.87,1,262144,64,288952,19040127694,0,0,1,20,20,1815066,163,585,2902090,5,77820,23,43,131337744,1172,1,22,42854,115926,2,4197,585,69837559,14751212,5635850641,585,851,2,1,2,2,392,1,5613855132,5569212533,319891224,432394069,432394069,1,2,1,19024618140,73389,73389,2,2,2,432377685,5,3,263104,9656272,3409154,92785,42832,5613855132,2809305,66427577,3748
45322.12,1,262144,64,318015,20955153090,0,382221,7,20,20,1815066,168,585,3218905,5,85971,23,43,132134100,1172,1,22,47121,131243,2,4197,585,78518276,17594086,6197344533,585,851,2,1,2,2,392,1,6173139356,6129044216,355261018,475915884,475915884,1,2,1,20939578000,73389,73389,2,2,2,475899500,5,3,281613,11020482,3848191,103891,47099,6173139356,3115014,74668478,3748
50326.17,1,262144,64,361983,23852301606,2,2382382,7,20,20,1815066,175,585,3598651,5,98340,23,43,133195908,1172,1,22,53580,136728,2,4197,585,87865220,19125399,7047240957,585,851,2,1,2,2,392,1,7019733404,6975914090,429468756,541758679,541758679,1,2,1,23837381876,73389,73389,2,2,2,541758679,5,3,312442,12028793,4176160,113659,53558,7019733404,3484992,83688260,3748
