timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.69,2,262144,64,33078,2179793412,0,0,0,14,14,985695,120,585,400205,1,5676,17,686,124749708,1172,1,16,5256,12423,2,9825,585,5236114,1009550,689206702,585,1732,2,1,2,2,431,1,686596508,640490007,12502810,49185917,49202301,1,2,1,2164180348,73389,73389,2,2,2,49185917,5,3,38873,1211980,714111,13502,5240,686596508,386703,4521928,5544
10012.57,2,262144,64,86201,5680121498,0,0,0,14,14,1262034,129,585,808294,1,20658,17,686,126076968,1172,1,16,13058,12552,2,9825,585,14999033,1009966,1715672391,585,1732,2,1,2,2,431,1,1709220252,1663758090,33060570,128740788,128757172,1,2,1,5664594672,73389,73389,2,2,2,128740788,5,3,49058,1927488,863517,21339,13042,1709220252,786955,14135645,5544
15016.51,2,262144,64,136856,9018139634,0,0,0,14,14,1540634,137,585,1193500,1,34911,17,686,127368030,1172,1,16,20503,12687,2,9825,585,24477723,1016680,2695170314,585,1732,2,1,2,2,431,1,2685051292,2639529628,61226418,204613577,204613577,1,2,1,9002011040,73389,73389,2,2,2,204591160,5,3,69499,2610037,1040764,28952,20487,2685051292,1164548,23437218,5544
20021.87,2,262144,64,175870,11588764642,0,0,0,14,14,1540634,144,585,1541077,1,45936,17,686,128417772,1172,1,16,26233,22064,2,9825,585,33928563,2286548,3449064706,585,1732,2,1,2,2,431,1,3436093852,3390927927,145775117,263024957,263041341,1,2,1,11573098108,73389,73389,2,2,2,263024957,5,3,99177,3616890,1371039,38988,26217,3436093852,1502089,32557169,5544
25027.71,2,262144,64,207633,13681799046,1,1220924,3,14,14,1540634,149,585,1864595,1,54873,17,686,129214128,1172,1,16,30898,37662,2,9825,585,42485611,4247014,4063001023,585,1732,2,1,2,2,431,1,4047675804,4002754160,180275840,310593176,310609560,1,2,1,13666099744,73389,73389,2,2,2,310593176,5,3,118014,4772596,1754708,50459,30883,4047675804,1814136,40730598,5544
30039.87,2,262144,64,236811,15604433478,1,1640046,12,14,14,1540634,154,585,2176982,1,63103,17,686,130010484,1172,1,16,35187,59743,2,9825,585,52025395,6715500,4627084702,585,1732,2,1,2,2,431,1,4609581468,4564865110,218676520,354287023,354303407,1,2,1,15588629012,73389,73389,2,2,2,354287023,5,3,138690,6088220,2162498,61564,35171,4609581468,2115418,49863329,5544
35045.33,2,262144,64,266326,17549346598,9,16081790,76,14,14,1540634,159,585,2503421,1,71427,17,686,130806840,1172,1,16,39523,76113,2,9825,585,61749019,9609879,5197749363,585,1732,2,1,2,2,431,1,5178040732,5133382607,396778676,398486615,398502999,1,2,1,17533411060,73389,73389,2,2,2,398486615,5,3,168890,7389574,2583674,72056,39507,5178040732,2431365,59165401,5544
40053.73,2,262144,64,296973,19568711922,11,19426943,101,22,22,1540634,164,585,2836439,1,80061,17,686,131603196,1172,1,16,44035,95053,2,9825,585,69863086,11818549,5790378443,585,1732,2,1,2,2,431,1,5768389020,5723765401,465839666,444404368,444404368,1,2,1,19553071296,73389,73389,2,2,2,444387984,5,3,201981,8708694,2987914,83692,44011,5768389020,2752747,66876119,5544
45064.46,2,262144,64,326059,21485244646,14,26489188,108,31,31,1540634,169,585,3127859,1,88269,21,912,132399552,1172,1,20,48316,119940,2,10105,585,78230557,14481223,6352493124,585,1732,2,1,2,2,431,1,6328328604,6283999874,514203085,487950759,487967143,1,2,1,21469833396,73389,73389,2,2,2,487950759,5,3,234185,10055132,3390468,95938,48283,6328328604,3031921,74841491,5544
50073.77,2,262144,64,356560,23494776262,14,26489188,108,31,31,1540634,174,585,3418411,1,96859,21,912,132930456,1172,1,20,52794,139672,2,10105,585,86634375,17189149,6941572545,585,1732,2,1,2,2,431,1,6915137948,6871403626,545852962,533633103,533633103,1,2,1,23479856532,73389,73389,2,2,2,533633103,5,3,257434,11388677,3786099,106294,52761,6915137948,3312117,82850666,5544
