timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5013.68,3,262144,64,32687,2153903384,26,26,61005,120,0,585,361107,3,5514,29,37,124749708,1172,1,28,5211,19001,2,941,585,4642803,1125730,681636868,585,1158,2,1,2,2,433,1,678994332,632986665,8273072,48590060,48606444,1,2,1,2137962640,73389,73389,2,2,2,48590060,9,3,57686,1502976,699705,11592,5183,678994332,349515,3943051,6207
10016.54,3,262144,64,102427,6749589898,26,26,68224,131,0,585,823025,3,25137,29,37,126571674,1172,1,28,15457,19125,2,941,585,14547892,1126263,2029986651,585,1158,2,1,2,2,433,1,2022089116,1976393187,23847660,153054139,153054139,1,2,1,6733661220,73389,73389,2,2,2,153037755,9,3,67933,2377800,877361,22002,15429,2022089116,801023,13670948,6207
15020.50,3,262144,64,169003,11136339862,26,26,75206,143,0,585,1261439,3,43953,29,37,128417772,1172,1,28,25237,19162,2,941,585,24400032,1126769,3316869052,585,1158,2,1,2,2,433,1,3303973276,3258701417,46012736,252755236,252755236,1,2,1,11121230384,73389,73389,2,2,2,252755236,9,3,93502,3210002,1062198,31870,25209,3303973276,1229569,23338286,6207
20031.04,3,262144,64,213487,14067570406,26,26,195247,150,0,585,1622879,3,56523,29,37,129479580,1172,1,28,31770,25652,2,941,585,31559138,2532255,4176534775,585,1158,2,1,2,2,433,1,4160266652,4115567267,124711370,319374112,319374112,1,2,1,14051740032,73389,73389,2,2,2,319357728,9,3,114574,4395377,1314574,42357,31742,4160266652,1580522,30244219,6207
25035.12,3,262144,64,250170,16484707038,26,26,311054,156,0,585,1941126,3,66858,29,37,130275936,1172,1,28,37158,41632,2,941,585,40524989,4723753,4885492872,585,1158,2,1,2,2,433,1,4866482588,4822195614,177427897,374293985,374310369,1,2,1,16468935340,73389,73389,2,2,2,374293985,9,3,142121,5469715,1610920,53214,37130,4866482588,1887912,38914408,6207
30043.69,3,262144,64,287214,18925695222,26,26,450621,162,0,585,2306881,3,77292,29,37,131337744,1172,1,28,42605,47783,2,941,585,48912489,6758811,5602205639,585,1158,2,1,2,2,433,1,5580431772,5535789458,228209628,429785139,429801523,1,2,1,18910546116,73389,73389,2,2,2,429785139,9,3,160929,6629942,1883077,62549,42577,5580431772,2244332,47029674,6207
35049.34,3,262144,64,325334,21437465594,26,26,561331,169,0,585,2649473,3,88069,29,37,132399552,1172,1,28,48203,60949,2,941,585,58749680,9153435,6338647627,585,1158,2,1,2,2,433,1,6314041756,6270045463,271580739,486863382,486879766,1,2,1,21421988808,73389,73389,2,2,2,486863382,9,3,194425,7730545,2204616,72654,48175,6314041756,2576819,56544995,6207
40061.84,3,262144,64,350772,23113595730,26,26,731420,173,1,585,2949071,3,95224,29,37,132930456,1172,1,28,51939,88521,2,941,585,66261275,12214579,6830414061,585,1158,2,1,2,2,433,1,6803857820,6760040646,310959126,524964696,524964696,1,2,1,23097725728,73389,73389,2,2,2,524948312,9,3,214986,9135729,2576584,85271,51911,6803857820,2863800,63683949,6207
45084.06,3,262144,64,378746,24956999036,26,26,1513552,178,1,585,3237942,3,103131,29,37,133726812,1172,1,28,56046,112809,2,941,585,73511003,15615129,7371000457,585,1158,2,1,2,2,433,1,7342301596,7298881236,390529784,566850270,566866654,1,2,1,24941411880,73389,73389,2,2,2,566850270,9,3,241102,10701211,2928586,96838,56019,7342301596,3141104,70581668,6207
50092.63,3,262144,64,394435,25990767832,26,26,3140292,180,1,585,3427555,3,107520,29,37,133992264,1172,1,28,58353,160361,2,941,585,79010855,20068384,7674636538,585,1158,2,1,2,2,433,1,7644684700,7601020031,489122687,590348739,590365123,1,2,1,25975344516,73389,73389,2,2,2,590348739,9,3,258715,12743962,3224197,104246,58326,7644684700,3323309,75785173,6207
