timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.02,262144,64,69220,4561149286,0,0,0,21,21,201476,126,585,566135,1,15809,24,7,125546064,1172,1,23,10573,262,2,70,585,8394933,400,1387676564,585,36,2,1,2,2,231,1,1382457756,1336717971,13883093,103313325,103313325,1,2,1,4545786300,73389,73389,2,2,2,103313325,3,3,46964,990463,388190,10800,10550,1382457756,555335,8006283,937
10012.77,262144,64,102880,6779543158,0,0,0,21,21,201476,132,585,901480,1,25343,24,7,126837126,1172,1,23,15518,13504,2,70,585,17028202,1793217,2038451953,585,36,2,1,2,2,231,1,2030739868,1985107318,55784093,153723724,153740108,1,2,1,6763843856,73389,73389,2,2,2,153723724,3,3,75623,2138764,802970,22379,15495,2030739868,879101,16225462,937
15018.73,262144,64,134299,8849502274,6,8642735,19,21,21,201476,137,585,1230614,1,34215,24,7,127368030,1172,1,23,20132,32204,2,70,585,26275780,3882243,2645553378,585,36,2,1,2,2,231,1,2635506076,2590221505,182881865,200771973,200788357,1,2,1,8833966812,73389,73389,2,2,2,200771973,3,3,103827,3345498,1257613,33814,20109,2635506076,1196800,25018670,937
20025.71,262144,64,163779,10792121634,9,13988548,44,21,21,201476,142,585,1546393,1,42531,24,7,128152320,1172,1,23,24465,53055,2,70,585,35711676,6505252,3215689736,585,36,2,1,2,2,231,1,3203441052,3158138631,323102285,244930605,244946989,1,2,1,10776946620,73389,73389,2,2,2,244930605,3,3,138793,4630175,1732763,45406,24442,3203441052,1500987,33979389,937
25031.86,262144,64,195145,12858872794,18,27030250,177,21,21,201476,147,585,1866251,1,51357,24,7,128948676,1172,1,23,29073,67421,2,70,585,45590467,8113860,3822014315,585,36,2,1,2,2,231,1,3807420828,3762220786,373571479,291902967,291902967,1,2,1,12843730548,73389,73389,2,2,2,291902967,3,3,148453,5792401,2056555,55986,29050,3807420828,1810265,43535759,937
30039.62,262144,64,226283,14910681746,23,35434612,298,26,26,201476,152,585,2184507,1,60123,24,7,129745032,1172,1,23,33650,81463,2,70,585,54115965,9565039,4423602357,585,36,2,1,2,2,231,1,4406682012,4362022178,393782174,338523073,338539457,1,2,1,14895015212,73389,73389,2,2,2,338523073,3,3,162518,7064684,2358587,66686,33622,4406682012,2117821,51759090,937
35047.40,262144,64,256894,16927760170,24,40010773,422,27,27,201476,157,585,2486179,1,68747,24,7,130541388,1172,1,23,38150,108400,2,70,585,62939168,11082887,5015721744,585,36,2,1,2,2,231,1,4996506012,4951686191,410424582,384375290,384375290,1,2,1,16912512760,73389,73389,2,2,2,384375290,3,3,172164,8377887,2627879,77115,38122,4996506012,2409064,60314302,937
40056.75,262144,64,287698,18957414646,25,48052042,536,32,32,201476,163,585,2797964,1,77442,24,7,131337744,1172,1,23,42682,120822,2,70,585,71533237,12687065,5611245251,585,36,2,1,2,2,231,1,5589737884,5545051868,426849850,430497843,430514227,1,2,1,18941905092,73389,73389,2,2,2,430497843,3,3,188815,9692177,2938600,87915,42648,5589737884,2710049,68596419,937
45064.26,262144,64,318730,21002276782,29,55913730,657,36,36,201476,168,585,3092661,1,86204,24,7,132134100,1172,1,23,47244,138773,2,70,585,81048032,14595547,6210986441,585,36,2,1,2,2,231,1,6187164060,6142866195,453878618,476970493,476986877,1,2,1,20986701692,73389,73389,2,2,2,476970493,3,3,209222,11020725,3257379,98448,47206,6187164060,2994213,77792511,937
50068.38,262144,64,376334,24797864396,36,67020205,706,41,41,201476,177,585,3545505,1,102366,24,7,133461360,1172,1,23,55709,143043,2,70,585,91571608,14979618,7324079479,585,36,2,1,2,2,231,1,7296033180,7252318558,501406464,563238042,563254426,1,2,1,24782473848,73389,73389,2,2,2,563238042,3,3,252884,11917537,3534083,108148,55666,7296033180,3437357,88039684,937
