timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5006.15,262144,64,59746,3936816379,22,22,197945,124,0,585,488107,4,13170,25,29,125280612,1172,1,24,9180,156,2,99,585,7941058,783,1204367894,585,309,2,1,2,2,259,1,1199874460,1154129850,16502439,89120080,89136464,1,2,1,3921283520,73389,73389,2,2,2,89120080,3,3,55829,852597,372705,9443,9156,1199874460,478664,7567755,1427
10009.86,262144,64,109927,7243764418,22,22,205796,133,0,585,879771,4,27348,25,29,126837126,1172,1,24,16552,216,2,99,585,17957234,1277,2174271625,585,309,2,1,2,2,259,1,2166137244,2120798743,43851407,164288357,164288357,1,2,1,7227966812,73389,73389,2,2,2,164271973,3,3,76046,1525553,534403,17094,16528,2166137244,862677,17422231,1427
15013.32,262144,64,160011,10543854726,22,22,220248,141,0,585,1273799,4,41445,25,29,128152320,1172,1,24,23912,306,2,99,585,27273637,1965,3142607590,585,309,2,1,2,2,259,1,3130827164,3085516878,72964043,239288920,239288920,1,2,1,10527991584,73389,73389,2,2,2,239272536,3,3,98603,2204453,712827,24932,23888,3130827164,1248867,26560190,1427
20021.28,262144,64,201914,13305140498,22,22,460130,148,0,585,1642258,4,53258,25,29,129214128,1172,1,24,30068,8553,2,99,585,35670811,615655,3952575481,585,309,2,1,2,2,259,1,3937706396,3892682739,98277763,302039457,302055841,1,2,1,13289736108,73389,73389,2,2,2,302039457,3,3,121652,3201527,975796,35755,30044,3937706396,1606503,34694243,1427
25029.92,262144,64,227842,15013383274,22,22,647674,152,1,585,1956762,4,60549,25,29,129745032,1172,1,24,33877,29658,2,99,585,42412943,3161183,4453793302,585,309,2,1,2,2,259,1,4436959644,4392066326,164314632,340861667,340878051,1,2,1,14997913348,73389,73389,2,2,2,340861667,3,3,135718,4690980,1319336,49330,33853,4436959644,1907432,41093033,1427
30046.42,262144,64,246940,16271698498,22,22,1382979,156,1,585,2194885,4,65978,25,29,130275936,1172,1,24,36681,83324,2,99,585,49750902,7115900,4822813555,585,309,2,1,2,2,259,1,4804485532,4759944554,230115692,369463308,369463308,1,2,1,16256385552,73389,73389,2,2,2,369463308,3,3,157407,6390677,1730159,60391,36657,4804485532,2134494,48019564,1427
35061.72,262144,64,266669,17571825446,22,22,2177645,159,1,585,2428964,4,71522,25,29,130806840,1172,1,24,39580,131974,2,99,585,55255304,10650826,5204329701,585,309,2,1,2,2,259,1,5184463260,5139989632,362245835,399010903,399010903,1,2,1,17556479732,73389,73389,2,2,2,399010903,3,3,177625,8131196,2076706,70706,39556,5184463260,2358258,53177207,1427
40065.38,262144,64,295257,19455721242,22,22,2777669,164,1,585,2744758,4,79557,25,29,131603196,1172,1,24,43782,176281,2,99,585,63974092,14271036,5757252510,585,309,2,1,2,2,259,1,5735227804,5690742384,442234865,441836398,441836398,1,2,1,19440080616,73389,73389,2,2,2,441820014,3,3,207704,9635453,2446448,80194,43758,5735227804,2664564,61525236,1427
45069.53,262144,64,347334,22886955702,22,22,2784333,173,1,585,3162975,4,94236,25,29,132665004,1172,1,24,51432,176347,2,99,585,73961721,14271904,6763646307,585,309,2,1,2,2,259,1,6737797532,6693743399,468337614,519806339,519822723,1,2,1,22871478916,73389,73389,2,2,2,519806339,3,3,238314,10342735,2658678,88043,51408,6737797532,3074932,71301001,1427
50073.24,262144,64,396908,26153369264,22,22,2797836,181,1,585,3544116,4,108195,25,29,133992264,1172,1,24,58709,176478,2,99,585,83369438,14299579,7721209473,585,309,2,1,2,2,259,1,7691739548,7648651204,489541919,594039013,594055397,1,2,1,26137716572,73389,73389,2,2,2,594039013,3,3,257783,11014986,2805123,95320,58685,7691739548,3448796,80562179,1427
