timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.20,262144,64,85416,5628410286,3155,7,64,64,33684,129,585,757860,3,20388,67,55,126076968,1172,1,66,12993,16313,2,401,585,12883705,504122,1700713571,585,162,2,1,2,2,242,1,1694146972,1648694750,20777047,127555107,127571491,1,2,1,5612424708,73389,73389,2,2,2,127555107,4,3,364116,1722947,1810298,14340,12927,1694146972,743520,11073735,3205
10012.90,262144,64,130106,8573382566,3155,7,64,64,180446,136,585,1132823,3,33015,67,55,127368030,1172,1,66,19561,33631,2,401,585,20247184,2057566,2564956363,585,162,2,1,2,2,242,1,2555027868,2509527667,55533643,194491312,194507696,1,2,1,8557617728,73389,73389,2,2,2,194491312,4,3,384530,3040767,2069740,25648,19495,2555027868,1107175,18177942,3205
15024.85,262144,64,150810,9937527774,3155,7,64,64,525304,140,585,1395915,3,38861,67,55,127886868,1172,1,66,22603,77376,2,401,585,26933189,5909301,2965289402,585,162,2,1,2,2,242,1,2953748892,2908249205,123919220,225497083,225519500,1,2,1,9921871652,73389,73389,2,2,2,225497083,4,3,402941,4674421,2452036,35742,22537,2953748892,1360173,24482347,3205
20031.93,262144,64,184188,12136825128,3155,7,64,64,725231,145,585,1704082,3,48256,67,55,128683224,1172,1,66,27506,92142,2,401,585,35653007,9203804,3610593731,585,162,2,1,2,2,242,1,3596525980,3551199458,179586780,275477624,275494008,1,2,1,12121015456,73389,73389,2,2,2,275477624,4,3,432848,6059928,2798931,46235,27441,3596525980,1657847,32854873,3205
25095.33,262144,64,196242,12931055370,3155,7,64,64,2951509,147,585,1850668,3,51657,67,55,128948676,1172,1,66,29275,158794,2,401,585,39340713,13482867,3843181641,585,162,2,1,2,2,242,1,3828130204,3783323149,285310321,293531016,293547400,1,2,1,12915364704,73389,73389,2,2,2,293531016,4,3,451145,8170208,3038210,52497,29209,3828130204,1798171,36301553,3205
30100.42,262144,64,206704,13620385198,3155,7,64,64,5323390,149,585,1983068,3,54621,67,55,129214128,1172,1,66,30813,264369,2,401,585,42569711,18287512,4045774217,585,162,2,1,2,2,242,1,4029850012,3984758761,336350640,309204854,309221238,1,2,1,13605013576,73389,73389,2,2,2,309204854,4,3,461111,10549618,3253684,58341,30747,4029850012,1924727,39314189,3205
35122.70,262144,64,219047,14433808730,3155,7,64,64,7615023,151,585,2144776,3,58095,67,55,129479580,1172,1,66,32624,373956,2,401,585,46190237,22728536,4284285160,585,162,2,1,2,2,242,1,4267352476,4222654351,430766539,327682071,327698455,1,2,1,14418011124,73389,73389,2,2,2,327682071,4,3,469031,12763619,3449186,69325,32559,4267352476,2075451,42739367,3205
40175.24,262144,64,229317,15110579778,3155,7,64,64,9989300,153,585,2276800,3,61007,67,55,130010484,1172,1,66,34135,421198,2,401,585,49673792,27285745,4483062021,585,162,2,1,2,2,242,1,4465271196,4420497884,544331677,343077381,343077381,1,2,1,15095404764,73389,73389,2,2,2,343077381,4,3,480301,15052428,3646528,75424,34069,4465271196,2201376,46025803,3205
45182.01,262144,64,252911,16665403022,3155,7,64,64,11681473,157,585,2542771,3,67657,67,55,130541388,1172,1,66,37600,466771,2,401,585,55523760,30594795,4939033250,585,162,2,1,2,2,242,1,4919435676,4874977802,631280326,378414117,378414117,1,2,1,16649500252,73389,73389,2,2,2,378397733,4,3,500103,16650707,3973689,85819,37534,4919435676,2456952,51548070,3205
50185.88,262144,64,297568,19607971294,3155,7,64,64,11840678,164,585,2895007,3,80223,67,55,131603196,1172,1,66,44163,468201,2,401,585,65789090,31809092,5802534490,585,162,2,1,2,2,242,1,5779661212,5735252718,699277154,445295137,445295137,1,2,1,19592265132,73389,73389,2,2,2,445278753,4,3,526084,17483943,4220026,94062,44097,5779661212,2800945,61567470,3205
