timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5010.63,4,262144,64,33810,2228031216,28,28,1576696,120,585,348761,1,5820,31,3027,124749708,1172,1,30,5380,10336,2,4073,585,5338396,963048,703772743,585,990,2,1,2,2,529,1,701014428,654633362,10918241,50289678,50289678,1,2,1,2212745832,73389,73389,2,2,2,50289678,9,3,51905,1184759,636238,11139,5350,701014428,337622,4701752,5035
10014.25,4,262144,64,83998,5534949334,28,28,2308530,128,585,744509,1,19947,31,3027,125811516,1172,1,30,12750,10996,2,4073,585,15074303,984958,1673525429,585,990,2,1,2,2,529,1,1667015068,1621399551,35416977,125445889,125445889,1,2,1,5519619116,73389,73389,2,2,2,125445889,9,3,90610,1908885,853931,19345,12720,1667015068,725164,14219788,5035
15018.16,4,262144,64,129393,8526389946,28,28,4080945,136,585,1099615,1,32821,31,3027,127368030,1172,1,30,19421,11269,2,4073,585,23501569,985581,2551330066,585,990,2,1,2,2,529,1,2541396380,2495760335,59869803,193436703,193453087,1,2,1,8511214932,73389,73389,2,2,2,193436703,9,3,114269,2545706,1028196,26404,19391,2541396380,1073211,22472635,5035
20022.49,4,262144,64,171665,11311858502,28,28,5835258,143,585,1455224,1,44733,31,3027,128417772,1172,1,30,25630,11416,2,4073,585,32773730,988511,3368387173,585,990,2,1,2,2,529,1,3355222428,3310038151,82080716,256744296,256760680,1,2,1,11296749024,73389,73389,2,2,2,256744296,9,3,135065,3158116,1182725,33512,25600,3355222428,1421712,31590300,5035
25025.99,4,262144,64,220955,14559382322,28,28,6331958,151,585,1841493,1,58614,31,3027,129479580,1172,1,30,32870,11538,2,4073,585,42472080,990327,4320974051,585,990,2,1,2,2,529,1,4304183708,4259408748,104770476,330544953,330544953,1,2,1,14543257036,73389,73389,2,2,2,330528569,9,3,163252,3831748,1355112,40803,32840,4304183708,1800690,41116185,5035
30030.67,4,262144,64,270028,17793022678,28,28,6339407,160,585,2237900,1,72453,31,3027,130806840,1172,1,30,40081,11596,2,4073,585,52585996,1008736,5269751083,585,990,2,1,2,2,529,1,5249343900,5204591285,153784629,404040347,404056731,1,2,1,17777775268,73389,73389,2,2,2,404040347,9,3,196203,4515671,1542831,48046,40051,5249343900,2189854,51042698,5035
35034.51,4,262144,64,316742,20871194858,28,28,6346128,167,585,2608756,1,85617,31,3027,131868648,1172,1,30,46944,11616,2,4073,585,61089072,1008967,6172728674,585,990,2,1,2,2,529,1,6148891036,6104567671,172336994,474003274,474003274,1,2,1,20855423160,73389,73389,2,2,2,473986890,9,3,214979,5159272,1683967,54864,46914,6148891036,2553892,59405146,5035
40073.09,4,262144,64,331234,21826155082,28,28,8378178,170,585,2785833,1,89736,31,3027,132399552,1172,1,30,49072,89358,2,4073,585,65011678,4513553,6452813845,585,990,2,1,2,2,529,1,6427812252,6383655597,283820292,495695629,495718046,1,2,1,21810607676,73389,73389,2,2,2,495695629,9,3,232991,7404861,1909500,62023,49042,6427812252,2723810,63102322,5035
45088.53,4,262144,64,341625,22510687062,28,28,10886055,172,585,2919525,1,92679,31,3027,132665004,1172,1,30,50598,238842,2,4073,585,68619200,9554216,6653697530,585,990,2,1,2,2,529,1,6627828124,6583741289,465297601,511254779,511271163,1,2,1,22495210276,73389,73389,2,2,2,511254779,9,3,251944,9849645,2122181,69105,50568,6627828124,2850420,66496990,5035
50096.41,4,262144,64,356571,23495497158,28,28,12539202,174,585,3107878,1,96867,31,3027,132930456,1172,1,30,52792,301694,2,4073,585,72915331,13548091,6942468958,585,990,2,1,2,2,529,1,6915400092,6871632689,559581721,533649487,533665871,1,2,1,23480577428,73389,73389,2,2,2,533649487,9,3,261191,11889544,2371322,76790,52762,6915400092,3031088,70545644,5035
