timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5009.81,3,262144,64,50493,3327473700,19,19,737951,123,585,490397,5,10536,22,26,125280612,1172,1,21,7818,8138,2,8638,585,6658980,371406,1025707263,585,1006,2,1,2,2,664,1,1021747612,976044674,11864297,75266581,75282965,1,2,1,3311729564,73389,73389,2,2,2,75266581,7,3,72617,1102254,429975,12482,7797,1021747612,477915,6229812,3707
10019.07,3,262144,64,89518,5898831670,19,19,1452215,129,585,854639,5,21563,22,26,126076968,1172,1,21,13553,33810,2,8638,585,13883694,2411080,1780402181,585,1006,2,1,2,2,664,1,1773445532,1727708189,55107473,133718921,133718921,1,2,1,5883632524,73389,73389,2,2,2,133718921,7,3,86755,2496363,719684,25145,13532,1773445532,829494,13164390,3707
15026.30,3,262144,64,118527,7810559442,19,19,1486041,134,585,1197633,5,29748,22,26,127102578,1172,1,21,17816,53282,2,8638,585,21217340,4167682,2341369852,585,1006,2,1,2,2,664,1,2332205468,2286525318,85756762,177156657,177173041,1,2,1,7794892908,73389,73389,2,2,2,177156657,7,3,102779,3709630,1125268,37261,17795,2332205468,1160372,20093415,3707
20031.78,3,262144,64,149084,9824026526,19,19,1974888,139,585,1538288,5,38356,22,26,127886868,1172,1,21,22306,65786,2,8638,585,29073172,6095967,2932198294,585,1006,2,1,2,2,664,1,2920718748,2875075221,139223343,222926954,222943338,1,2,1,9808785976,73389,73389,2,2,2,222926954,7,3,123904,4950809,1485875,51022,22285,2920718748,1487266,27588486,3707
25036.13,3,262144,64,180665,11904867926,19,19,2125456,145,585,1868681,5,47244,22,26,128683224,1172,1,21,26945,83049,2,8638,585,38218070,8581774,3542503815,585,1006,2,1,2,2,664,1,3528630684,3483342128,194809548,270210612,270226996,1,2,1,11889266928,73389,73389,2,2,2,270210612,7,3,151191,6148095,1895589,62777,26924,3528630684,1805904,36322956,3707
30042.30,3,262144,64,229902,15149183790,19,19,2125456,153,585,2278668,5,61167,22,26,130010484,1172,1,21,34175,87019,2,8638,585,48018653,9243567,4493831208,585,1006,2,1,2,2,664,1,4476281244,4431759464,225589396,343951766,343968150,1,2,1,15133877704,73389,73389,2,2,2,343951766,7,3,176564,7107881,2180697,73362,34154,4476281244,2205306,45838276,3707
35050.48,3,262144,64,258922,17061198082,19,19,2125456,158,585,2592042,5,69354,22,26,130541388,1172,1,21,38439,107360,2,8638,585,58785094,12397925,5055064328,585,1006,2,1,2,2,664,1,5035303324,4990681022,303374758,387393820,387410204,1,2,1,17045328080,73389,73389,2,2,2,387393820,7,3,212174,8466476,2682735,86399,38418,5035303324,2505643,56101639,3707
40054.09,3,262144,64,294014,19373729090,19,19,2125456,164,585,2948835,5,79200,22,26,131603196,1172,1,21,43597,120460,2,8638,585,69303245,15729103,5733784736,585,1006,2,1,2,2,664,1,5711372700,5666759990,377194716,439972940,439972940,1,2,1,19358809360,73389,73389,2,2,2,439972940,7,3,248085,9712884,3148613,96717,43576,5711372700,2852118,66154339,3707
45058.78,3,262144,64,354174,23337611010,19,19,2125456,174,585,3407530,5,96210,22,26,132930456,1172,1,21,52432,121318,2,8638,585,78360519,15799762,6896342512,585,1006,2,1,2,2,664,1,6869393820,6825484665,400547669,530059676,530059676,1,2,1,23321904848,73389,73389,2,2,2,530043292,7,3,268418,10613316,3385541,107032,52411,6869393820,3300498,74974246,3707
50062.42,3,262144,64,386218,25449073096,19,19,2125964,179,585,3743501,5,105225,22,26,133726812,1172,1,21,57137,136042,2,8638,585,88035441,18056489,7515462967,585,1006,2,1,2,2,664,1,7486087580,7442748886,461032450,578037495,578053879,1,2,1,25433649780,73389,73389,2,2,2,578037495,7,3,293396,11820291,3796306,119752,57116,7486087580,3623749,84239199,3707
