timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5009.29,262144,64,36379,2397189556,15,15,582178,120,0,585,414335,3,6576,18,1974,124749708,1172,1,17,5744,16099,2,2564,585,5657428,1242963,753326271,585,749,2,1,2,2,293,1,750428572,704048137,15790079,54125249,54141633,1,2,1,2381510956,73389,73389,2,2,2,54125249,3,3,54645,1261275,675811,12785,5727,750428572,401550,4980477,2876
10015.74,262144,64,65383,4308360394,15,15,582178,125,0,585,744312,3,14760,18,1974,125546064,1172,1,17,10003,34770,2,2564,585,13855262,3577379,1313770273,585,749,2,1,2,2,293,1,1308664220,1262774884,53076587,97573336,97573336,1,2,1,4292505888,73389,73389,2,2,2,97556952,3,3,79117,2561009,1104447,25331,9986,1308664220,718981,12749619,2876
15019.01,262144,64,119212,7855717054,15,15,583018,134,0,585,1173224,3,29934,18,1974,127102578,1172,1,17,17914,38117,2,2564,585,24404407,4376791,2354716711,585,749,2,1,2,2,293,1,2345574812,2299733865,83081713,178178498,178194882,1,2,1,7839853912,73389,73389,2,2,2,178178498,3,3,108687,3459577,1381811,36120,17897,2345574812,1137104,23021562,2876
20028.05,262144,64,149379,9843359646,15,15,1231832,139,0,585,1482556,3,38436,18,1974,127886868,1172,1,17,22344,53732,2,2564,585,32315389,6814069,2937667186,585,749,2,1,2,2,293,1,2926223772,2880750609,144236278,223369322,223369322,1,2,1,9827529272,73389,73389,2,2,2,223352938,3,3,134790,4856396,1745573,46283,22327,2926223772,1436273,30567998,2876
25034.39,262144,64,178270,11746847398,15,15,1237565,144,1,585,1821118,3,46588,18,1974,128417772,1172,1,17,26587,69799,2,2564,585,42244981,9184945,3496006056,585,749,2,1,2,2,293,1,3482362268,3437137502,196926459,266631152,266631152,1,2,1,11731049792,73389,73389,2,2,2,266614768,3,3,155536,6071420,2167105,60798,26570,3482362268,1760320,40075326,2876
30041.46,262144,64,210535,13873046326,15,15,1306326,150,1,585,2160640,3,55693,18,1974,129479580,1172,1,17,31328,87883,2,2564,585,51569096,11460547,4119863912,585,749,2,1,2,2,293,1,4103774620,4058704558,247563486,314942684,314959068,1,2,1,13857478096,73389,73389,2,2,2,314942684,3,3,180608,7332726,2593742,72472,31311,4103774620,2088168,48973246,2876
35045.36,262144,64,245572,16181779798,15,15,1306326,155,1,585,2498735,3,65547,18,1974,130275936,1172,1,17,36475,99295,2,2564,585,58608363,13492035,4797122643,585,749,2,1,2,2,293,1,4778402204,4733661784,273402059,367417467,367417467,1,2,1,16165647652,73389,73389,2,2,2,367401083,3,3,196455,8462370,2953009,84273,36458,4778402204,2414462,55654544,2876
40050.80,262144,64,285336,18801822258,15,15,1439336,162,1,585,2865091,3,76779,18,1974,131337744,1172,1,17,42318,109173,2,2564,585,69239583,14564039,5565937390,585,749,2,1,2,2,293,1,5544255900,5499557779,316024311,426965376,426981760,1,2,1,18786476544,73389,73389,2,2,2,426965376,3,3,224374,9489488,3269867,94591,42301,5544255900,2770500,65968639,2876
45056.09,262144,64,313486,20656482382,15,15,1444868,167,1,585,3178004,3,84729,18,1974,131868648,1172,1,17,46451,128659,2,2564,585,78628005,17583638,6109806900,585,749,2,1,2,2,293,1,6085976476,6041810704,362288241,469123445,469123445,1,2,1,20640710684,73389,73389,2,2,2,469107061,3,3,247424,10870508,3723023,107017,46434,6085976476,3070987,74903325,2876
50059.13,262144,64,354585,23364811758,15,15,1444868,174,1,585,3531887,3,96270,18,1974,132930456,1172,1,17,52488,143419,2,2564,585,88356056,19993320,6904054913,585,749,2,1,2,2,293,1,6877127068,6833378354,441291713,530671917,530688301,1,2,1,23349564348,73389,73389,2,2,2,530671917,3,3,282818,12020420,4111998,117308,52471,6877127068,3414579,84241497,2876
