timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5014.87,9,262144,64,30634,2018561620,0,0,0,18,18,930406,119,585,371090,2,4954,21,14,124484256,1172,1,20,4900,13779,2,2062,585,4657948,1221936,641990457,585,753,2,1,2,2,417,1,639541660,593313033,9432813,45524537,45540921,1,2,1,2003079628,73389,73389,2,2,2,45524537,7,3,32994,1295718,689522,12838,4881,639541660,358252,3967780,5082
10020.38,9,262144,64,59851,3943957078,0,0,0,18,18,930406,124,585,680208,2,13197,21,14,125280612,1172,1,20,9194,33117,2,2062,585,13089177,3725631,1206863050,585,753,2,1,2,2,417,1,1202233756,1156235428,43924209,89289953,89289953,1,2,1,3928037036,73389,73389,2,2,2,89273569,7,3,78164,2604131,1156663,23888,9174,1202233756,656320,11931624,5082
15026.86,9,262144,64,90800,5983355594,0,738470,2,18,18,930406,130,585,999199,2,21926,21,14,126318288,1172,1,20,13740,47057,2,2062,585,23132728,6454433,1805016436,585,753,2,1,2,2,417,1,1798087068,1752384610,100326731,135639723,135639723,1,2,1,5967426916,73389,73389,2,2,2,135623339,7,3,106848,3835756,1654319,34454,13720,1798087068,964745,21479054,5082
20038.78,9,262144,64,121074,7978010538,0,4182080,23,18,18,930406,135,585,1306359,2,30475,21,14,127102578,1172,1,20,18187,61723,2,2062,585,32128711,9185194,2390149055,585,753,2,1,2,2,417,1,2380964252,2335452313,188811912,180978003,180978003,1,2,1,7962311236,73389,73389,2,2,2,180961619,7,3,144574,5129685,2091664,45108,18167,2380964252,1261251,30036999,5082
25046.66,9,262144,64,150867,9941408118,8,19960080,55,18,18,930406,140,585,1603338,2,38880,21,14,127886868,1172,1,20,22566,83336,2,2062,585,40143734,12056423,2966206440,585,753,2,1,2,2,417,1,2954797468,2909437153,329523100,225585036,225601420,1,2,1,9925741584,73389,73389,2,2,2,225585036,7,3,171226,6429485,2480448,55439,22546,2954797468,1547899,37662442,5082
30055.51,9,262144,64,181327,11948518210,9,22562772,59,18,18,930406,145,585,1897298,2,47478,21,14,128683224,1172,1,20,27041,111688,2,2062,585,50023399,15312431,3555152692,585,753,2,1,2,2,417,1,3541475740,3496130147,377255957,271199685,271216069,1,2,1,11932786140,73389,73389,2,2,2,271199685,7,3,187582,7836886,2868750,65178,27021,3541475740,1832120,47153215,5082
35059.27,9,262144,64,213981,14100210642,9,22562772,59,18,18,930406,150,585,2199391,2,56658,21,14,129479580,1172,1,20,31836,132072,2,2062,585,59613535,18566014,4186065996,585,753,2,1,2,2,417,1,4169965980,4125072371,415093688,320117425,320117425,1,2,1,14085166700,73389,73389,2,2,2,320117425,7,3,211157,9159190,3251385,75451,31816,4169965980,2123940,56361084,5082
40063.92,9,262144,64,267804,17646739710,9,22562772,59,18,18,930406,159,585,2628048,2,71832,21,14,130806840,1172,1,20,39742,132492,2,2062,585,70014554,18635488,5226238684,585,753,2,1,2,2,417,1,5206221212,5161859244,439800410,400710521,400726905,1,2,1,17631262924,73389,73389,2,2,2,400710521,7,3,243713,9934412,3463585,85263,39722,5206221212,2542785,66550558,5082
45076.81,9,262144,64,325835,21470564582,9,22562772,59,18,18,930406,169,585,3090765,2,88199,21,14,132399552,1172,1,20,48271,135564,2,2062,585,79989318,18928699,6348399078,585,753,2,1,2,2,417,1,6324134300,6279697630,487962567,487623079,487639463,1,2,1,21455415476,73389,73389,2,2,2,487623079,7,3,278183,10872013,3755789,95512,48251,6324134300,2995253,76232671,5082
50084.34,9,262144,64,355080,23397252078,9,25140077,68,20,20,930406,174,585,3390303,2,96457,21,14,132930456,1172,1,20,52564,156958,2,2062,585,89040416,21965060,6913012590,585,753,2,1,2,2,417,1,6886564252,6842860130,609747604,531409197,531425581,1,2,1,23382004668,73389,73389,2,2,2,531409197,7,3,299577,12184903,4200366,105949,52542,6886564252,3284354,84839762,5082
