timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.34,262144,64,61907,4079495450,24,24,460600,125,0,585,493521,6,13812,27,29,125546064,1172,1,26,9500,155,2,127,585,7921100,783,1246266696,585,91,2,1,2,2,259,1,1241555356,1195861328,16052020,92371860,92371860,1,2,1,4063640944,73389,73389,2,2,2,92355476,3,3,49938,874732,357403,9575,9474,1241555356,483946,7563917,1048
10010.83,262144,64,122384,8064393602,24,24,739529,135,0,585,935873,6,30804,27,29,127102578,1172,1,26,18383,371,2,127,585,18299656,3950,2415089739,585,91,2,1,2,2,259,1,2405867932,2360674810,42378057,182939765,182956149,1,2,1,8049349660,73389,73389,2,2,2,182939765,3,3,76238,1681373,545531,18963,18357,2405867932,916910,17754856,1048
15015.18,262144,64,188880,12446166138,24,24,852416,146,0,585,1427101,6,49575,27,29,128948676,1172,1,26,28158,676,2,127,585,28251207,4301,3701308683,585,91,2,1,2,2,259,1,3687096732,3641560604,63531711,282524015,282524015,1,2,1,12431056660,73389,73389,2,2,2,282524015,3,3,93082,2593132,758959,29528,28132,3687096732,1397573,27493482,1048
20222.89,262144,64,218497,14397498478,24,24,1049133,151,0,585,1770840,6,57941,27,29,129479580,1172,1,26,32506,17063,2,127,585,34992118,1711835,4273463412,585,91,2,1,2,2,259,1,4256997788,4212047212,107281360,326856838,326873222,1,2,1,14381700872,73389,73389,2,2,2,326856838,3,3,103295,3990269,1098475,41813,32480,4256997788,1729027,33893277,1048
25229.02,262144,64,238718,15729965666,24,24,1758013,154,0,585,2037371,6,63624,27,29,130010484,1172,1,26,35477,52992,2,127,585,42493010,5359045,4664471731,585,91,2,1,2,2,259,1,4646412700,4601640697,199380708,357133521,357149905,1,2,1,15713874924,73389,73389,2,2,2,357133521,3,3,122298,5741631,1530576,52595,35451,4646412700,1984776,40961666,1048
30238.40,262144,64,259325,17087874542,24,24,2415668,158,1,585,2290961,6,69463,27,29,130541388,1172,1,26,38502,107084,2,127,585,49553403,9019687,5062582432,585,91,2,1,2,2,259,1,5042905500,4998442889,301938798,388006061,388022445,1,2,1,17072266684,73389,73389,2,2,2,388006061,3,3,143620,7360177,1937305,64355,38476,5042905500,2226606,47614566,1048
35242.23,262144,64,310244,20443218314,24,24,2454032,166,1,585,2687819,6,83790,27,29,131868648,1172,1,26,45986,112149,2,127,585,58939136,10110029,6047315773,585,91,2,1,2,2,259,1,6023848348,5979384584,332479583,464280258,464280258,1,2,1,20427610456,73389,73389,2,2,2,464263874,3,3,178067,8324020,2180405,73539,45960,6023848348,2614280,56756705,1048
40254.11,262144,64,355471,23423142106,24,24,2526071,174,1,585,3060185,6,96560,27,29,132930456,1172,1,26,52628,125033,2,127,585,67823380,10846187,6921258221,585,91,2,1,2,2,259,1,6894428572,6850477358,374505545,532005054,532005054,1,2,1,23407501480,73389,73389,2,2,2,531988670,3,3,201727,9267933,2388486,83517,52602,6894428572,2976668,65433136,1048
45261.07,262144,64,374320,24665078536,24,24,3559540,177,1,585,3286250,6,101871,27,29,133461360,1172,1,26,55395,161361,2,127,585,73422493,14730883,7285414414,585,91,2,1,2,2,259,1,7257104796,7213477309,472853194,560221671,560238055,1,2,1,24649753524,73389,73389,2,2,2,560221671,3,3,219988,11113345,2712380,92735,55369,7257104796,3193515,70708806,1048
50264.79,262144,64,400876,26414582840,24,24,3727232,182,1,585,3575313,6,109332,27,29,133992264,1172,1,26,59298,186143,2,127,585,80720615,17767486,7797972026,585,91,2,1,2,2,259,1,7767622872,7724946017,538199595,599981643,599998027,1,2,1,26399192292,73389,73389,2,2,2,599981643,3,3,245427,12516962,3072426,102973,59272,7767622872,3472340,77647601,1048
