timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.10,262144,64,61347,4042529838,22,22,253409,125,0,585,479907,2,13605,25,23,125546064,1172,1,24,9418,246,2,90,585,8513651,903,1235691907,585,94,2,1,2,2,330,1,1231069596,1185098936,16864888,91513859,91530243,1,2,1,4026609796,73389,73389,2,2,2,91513859,3,3,57799,866003,377658,10045,9394,1231069596,469862,8136283,1203
10011.92,262144,64,123305,8125017710,22,22,253409,135,0,585,950056,2,31053,25,23,127102578,1172,1,24,18519,398,2,90,585,18360427,1892,2433158196,585,94,2,1,2,2,330,1,2423955868,2378391692,39928747,184305670,184322054,1,2,1,8109449480,73389,73389,2,2,2,184305670,3,3,77623,1710889,591070,19461,18495,2423955868,930595,17769740,1203
15017.69,262144,64,162348,10697808714,22,22,340074,142,0,585,1306866,2,42092,25,23,128152320,1172,1,24,24257,20227,2,90,585,27484374,1904926,3188162287,585,94,2,1,2,2,330,1,3176047004,3130532370,95419052,242772235,242788619,1,2,1,10681978340,73389,73389,2,2,2,242772235,3,3,107393,2837154,1000999,32030,24233,3176047004,1274836,26483993,1203
20024.55,262144,64,190420,12547622482,22,22,434609,146,1,585,1630542,2,50015,25,23,128948676,1172,1,24,28379,35946,2,90,585,35228968,4410324,3730680788,585,94,2,1,2,2,330,1,3716456860,3671223512,170983171,284829841,284829841,1,2,1,12532513004,73389,73389,2,2,2,284829841,3,3,125261,4182759,1428856,44310,28356,3716456860,1586232,33802222,1203
25029.52,262144,64,212822,14023723514,22,22,1536753,150,2,585,1906621,2,56343,25,23,129479580,1172,1,24,31670,68401,2,90,585,43212787,8333617,4163628485,585,94,2,1,2,2,330,1,4147683740,4102723319,227108717,318368655,318385039,1,2,1,14008220820,73389,73389,2,2,2,318368655,3,3,153681,5823584,1876880,55437,31646,4147683740,1851184,41338504,1203
30041.46,262144,64,242414,15973755302,22,22,1588796,155,2,585,2220398,2,64684,25,23,130275936,1172,1,24,36019,80596,2,90,585,52055530,11293298,4735877143,585,94,2,1,2,2,330,1,4717715868,4672820301,270138495,362691127,362691127,1,2,1,15957688692,73389,73389,2,2,2,362674743,3,3,175139,7088245,2286807,66469,35995,4717715868,2153929,49771342,1203
35050.95,262144,64,273000,17988857478,22,22,1588796,160,2,585,2557111,2,73305,25,23,130806840,1172,1,24,40510,95014,2,90,585,59803160,13269936,5326804833,585,94,2,1,2,2,330,1,5306360220,5261831220,326465354,408504543,408504543,1,2,1,17973478996,73389,73389,2,2,2,408488159,3,3,190832,8302341,2649033,81921,40486,5306360220,2475190,57155781,1203
40061.75,262144,64,302320,19920991078,22,22,1588796,165,2,585,2891744,2,81576,25,23,131603196,1172,1,24,44819,112413,2,90,585,68942879,16552634,5893792272,585,94,2,1,2,2,330,1,5871149468,5826752897,387192257,452401031,452417415,1,2,1,19905645364,73389,73389,2,2,2,452401031,3,3,212615,9709865,3092005,93616,44795,5871149468,2798128,65852005,1203
45073.09,262144,64,330314,21765427586,22,22,1588796,170,2,585,3222577,2,89486,25,23,132399552,1172,1,24,48931,127382,2,90,585,79114144,20094088,6434864135,585,94,2,1,2,2,330,1,6410117532,6365909255,441458541,494329724,494329724,1,2,1,21750507856,73389,73389,2,2,2,494329724,3,3,235270,11131614,3585774,107521,48907,6410117532,3115056,75529190,1203
50080.24,262144,64,361246,23803736122,22,22,1588796,175,2,585,3554125,2,98193,25,23,133195908,1172,1,24,53474,142002,2,90,585,87707327,22153379,7032630030,585,94,2,1,2,2,330,1,7005577628,6961738761,477923877,540654918,540654918,1,2,1,23788095496,73389,73389,2,2,2,540638534,3,3,256337,12327599,3976357,118770,53450,7005577628,3435355,83731972,1203
