timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.63,262144,64,68324,4502163578,0,0,0,18,18,166515,126,585,558072,3,15616,21,15,125546064,1172,1,20,10437,164,2,62,585,8040764,248,1370137336,585,71,2,1,2,2,242,1,1365025180,1319453852,15185430,101963804,101980188,1,2,1,4486407376,73389,73389,2,2,2,101963804,3,3,34792,974990,331058,10577,10417,1365025180,547495,7710041,1167
10013.45,262144,64,124097,8177453126,5,5000207,5,18,18,166515,135,585,995289,3,31277,21,15,127102578,1172,1,20,18632,434,2,62,585,18587899,10767,2448449043,585,71,2,1,2,2,242,1,2439291292,2393706237,87182971,185513768,185513768,1,2,1,8162605792,73389,73389,2,2,2,185513768,3,3,65585,1756540,532337,19028,18612,2439291292,976261,18055384,1167
15019.76,262144,64,154453,10177482022,11,15164134,38,21,21,166515,140,585,1309646,3,39874,21,15,127886868,1172,1,20,23094,13151,2,62,585,26672798,1919619,3035159254,585,71,2,1,2,2,242,1,3023741340,2978452875,191995558,230950352,230966736,1,2,1,10161815488,73389,73389,2,2,2,230950352,3,3,90161,2906780,900251,31074,23071,3023741340,1278572,25773289,1167
20025.56,262144,64,185654,12233419742,11,16262428,43,21,21,166515,145,585,1636736,3,48659,21,15,128683224,1172,1,20,27680,27784,2,62,585,36354043,4072437,3638572791,585,71,2,1,2,2,242,1,3624837532,3579410389,232239158,277685146,277685146,1,2,1,12218146424,73389,73389,2,2,2,277685146,3,3,114745,4078730,1349239,43634,27657,3624837532,1593102,35004934,1167
25031.71,262144,64,214604,14141039570,11,16262428,43,23,23,166515,150,585,1941401,3,56829,21,15,129479580,1172,1,20,31934,45102,2,62,585,43185987,6142814,4198051546,585,71,2,1,2,2,242,1,4182155676,4137011066,274809980,321034929,321051313,1,2,1,14125536876,73389,73389,2,2,2,321034929,3,3,138920,5348050,1732890,54344,31909,4182155676,1887057,41453385,1167
30037.76,262144,64,245608,16184139094,11,16262428,43,23,23,166515,155,585,2278471,3,65549,21,15,130275936,1172,1,20,36488,64233,2,62,585,53061000,8907359,4797256814,585,71,2,1,2,2,242,1,4779057564,4734342770,317801563,367466619,367483003,1,2,1,16168531236,73389,73389,2,2,2,367466619,3,3,155030,6613252,2150304,65758,36463,4779057564,2212713,50911142,1167
35046.47,262144,64,275947,18183053878,11,16262428,43,23,23,166515,161,585,2589942,3,74125,21,15,130806840,1172,1,20,40947,88995,2,62,585,63035514,11850386,5383835295,585,71,2,1,2,2,242,1,5363376540,5318663768,371626771,412903203,412919587,1,2,1,18167740932,73389,73389,2,2,2,412903203,3,3,180521,7916740,2571916,75826,40922,5363376540,2514116,60464135,1167
40055.20,262144,64,305708,20144354306,11,16262428,43,23,23,166515,166,585,2896464,3,82524,21,15,131868648,1172,1,20,45318,107073,2,62,585,72032432,14909713,5959101785,585,71,2,1,2,2,242,1,5936423324,5892016678,418401479,457477468,457493852,1,2,1,20129008592,73389,73389,2,2,2,457477468,3,3,211626,9283960,3020178,86397,45294,5936423324,2810067,69012204,1167
45063.93,262144,64,335282,22092868598,11,16262428,43,31,31,166515,171,585,3181411,3,90848,24,15,132399552,1172,1,23,49669,123337,2,386,585,79790033,17526318,6530552833,585,71,2,1,2,2,242,1,6505669020,6461614670,449440887,501761139,501777523,1,2,1,22077490116,73389,73389,2,2,2,501761139,3,3,236907,10602530,3358796,95705,49637,6505669020,3085706,76431155,1167
50070.19,262144,64,365004,24051347670,11,16401562,45,31,31,166515,175,585,3466439,3,99217,24,15,133195908,1172,1,23,54035,142485,2,386,585,88493446,20450699,7105030026,585,71,2,1,2,2,242,1,7077929372,7034101355,515087411,546272027,546288411,1,2,1,24035969188,73389,73389,2,2,2,546272027,3,3,260196,11951614,3749581,107557,54002,7077929372,3358882,84743564,1167
