timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.40,11,262144,64,29959,1974059368,0,0,0,13,13,945245,119,1,585,394757,1,4770,16,35,124484256,1172,1,15,4798,13447,2,4513,585,4475205,1279772,629147172,585,1124,2,1,2,2,423,1,626696604,580385407,9130714,44519080,44519080,1,2,1,1958839520,73389,73389,2,2,2,44519080,7,3,40937,1295481,784681,13085,4783,626696604,381672,3691151,5694
10016.96,11,262144,64,63108,4158469638,0,0,0,13,13,945245,125,1,585,746318,1,14139,16,35,125546064,1172,1,15,9667,28158,2,4513,585,12231595,3199989,1269848307,585,1124,2,1,2,2,423,1,1264886172,1219000084,43770364,94163749,94163749,1,2,1,4142484060,73389,73389,2,2,2,94147365,7,3,88080,2570498,1248195,25589,9652,1264886172,720729,10985167,5694
15020.89,11,262144,64,98415,6485066754,3,7283475,21,13,13,945245,131,1,585,1100447,1,24099,16,35,126571674,1172,1,15,14853,48335,2,4513,585,22991455,5861737,1952237382,585,1124,2,1,2,2,423,1,1944625564,1899056333,117090220,147037781,147054165,1,2,1,6469662364,73389,73389,2,2,2,147037781,7,3,114285,3735573,1677532,35851,14838,1944625564,1064596,21317069,5694
20028.03,11,262144,64,140788,9277154446,3,7352180,23,15,15,945245,138,1,585,1483595,1,36039,16,35,127621416,1172,1,15,21083,53624,2,4513,585,32527540,6800480,2771604072,585,1124,2,1,2,2,423,1,2760810908,2715212496,149213989,210492830,210509214,1,2,1,9261684520,73389,73389,2,2,2,210492830,7,3,134445,4752337,1960073,46568,21066,2760810908,1437027,30569589,5694
25036.98,11,262144,64,168729,11118382998,6,16147447,60,16,16,945245,143,1,585,1799365,1,43928,16,35,128417772,1172,1,15,25189,74925,2,4513,585,42068980,10016457,3311924037,585,1124,2,1,2,2,423,1,3298992540,3253473293,235293029,252345636,252345636,1,2,1,11103207984,73389,73389,2,2,2,252345636,7,3,168227,6144017,2443157,58087,25171,3298992540,1741278,39626780,5694
30040.91,11,262144,64,208100,13712404358,6,16147447,60,20,20,945245,149,1,585,2147177,1,55002,18,35,129214128,1172,1,17,30972,92227,2,5232,585,50358728,11997191,4072347144,585,1124,2,1,2,2,423,1,4056457628,4011727789,282739130,311297688,311314072,1,2,1,13697098272,73389,73389,2,2,2,311297688,7,3,199350,7297999,2794636,67729,30950,4056457628,2079448,47565577,5694
35047.59,11,262144,64,259780,17117693422,6,16147447,60,20,20,945245,158,1,585,2556641,1,69588,18,35,130541388,1172,1,17,38565,95648,2,5232,585,60350509,12328003,5071431521,585,1124,2,1,2,2,423,1,5051687324,5007183712,318814821,388677805,388694189,1,2,1,17101823420,73389,73389,2,2,2,388677805,7,3,229376,8189950,3051213,77386,38543,5051687324,2479255,57300809,5694
40052.32,11,262144,64,292275,19258965630,6,16147447,60,20,20,995167,163,1,585,2901100,1,78726,18,35,131337744,1172,1,17,43342,105897,2,5232,585,68920344,14280296,5700016658,585,1124,2,1,2,2,423,1,5677818268,5633207475,366869366,437366169,437366169,1,2,1,19243390540,73389,73389,2,2,2,437349785,7,3,254334,9297690,3389552,88023,43320,5677818268,2813077,65532371,5694
45059.57,11,262144,64,329434,21707490454,6,16147447,60,20,20,1061362,170,1,585,3245602,1,89214,18,35,132399552,1172,1,17,48801,114076,2,5232,585,78155656,15869247,6418333507,585,1124,2,1,2,2,423,1,6393340316,6348972277,425764735,493012971,493012971,1,2,1,21691849828,73389,73389,2,2,2,492996587,7,3,284059,10407778,3708884,99003,48779,6393340316,3146599,74449409,5694
50064.02,11,262144,64,370433,24409266230,6,16147447,60,20,20,1065604,176,1,585,3588162,1,100755,18,35,133461360,1172,1,17,54822,120843,2,5232,585,87305140,17227365,7210570120,585,1124,2,1,2,2,423,1,7182524828,7138743388,452511843,554405795,554422179,1,2,1,24393854980,73389,73389,2,2,2,554405795,7,3,310742,11296719,3975129,107902,54800,7182524828,3480260,83332346,5694
