timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.29,262144,64,69044,4549614950,19,19,192231,126,0,585,497861,4,15759,22,22,125546064,1172,1,21,10544,238,2,95,585,8434104,791,1384266661,585,62,2,1,2,2,245,1,1379049884,1333341317,14707549,103051181,103051181,1,2,1,4534251964,73389,73389,2,2,2,103051181,2,3,56725,927988,372264,10802,10523,1379049884,487059,8062096,1090
10016.11,262144,64,101317,6676314034,19,19,517202,131,1,585,826725,4,24888,22,22,126571674,1172,1,21,15289,14059,2,95,585,16300896,2054254,2008621360,585,62,2,1,2,2,245,1,2000986524,1955001313,63521412,151387289,151387289,1,2,1,6660319820,73389,73389,2,2,2,151370905,2,3,88064,2195448,790146,22084,15268,2000986524,804641,15511071,1090
15026.12,262144,64,127518,8402979042,19,19,1046219,136,1,585,1130522,4,32308,22,22,127368030,1172,1,21,19136,36316,2,95,585,24423569,4920694,2514705943,585,62,2,1,2,2,245,1,2505089436,2459675962,100644651,190622973,190639357,1,2,1,8387410812,73389,73389,2,2,2,190622973,2,3,108086,3644038,1210403,33421,19115,2505089436,1097101,23211698,1090
20034.78,262144,64,151641,9992398434,19,19,1973591,140,1,585,1418206,4,39106,22,22,127886868,1172,1,21,22679,65677,2,95,585,32080567,8010458,2981065243,585,62,2,1,2,2,245,1,2969608604,2924348247,151459443,226754333,226754333,1,2,1,9976469756,73389,73389,2,2,2,226737949,2,3,134575,5141906,1614013,44963,22658,2969608604,1373243,30465649,1090
25046.65,262144,64,180028,11862590590,19,19,2194086,144,1,585,1724049,4,47068,22,22,128417772,1172,1,21,26849,82582,2,95,585,39683101,10741189,3529767993,585,62,2,1,2,2,245,1,3516178844,3470976361,195545719,269248274,269264658,1,2,1,11846924056,73389,73389,2,2,2,269248274,2,3,155937,6444167,2004136,57671,26828,3516178844,1666378,37677909,1090
30054.22,262144,64,210395,13863871286,19,19,2194086,150,1,585,2083490,4,55647,22,22,129479580,1172,1,21,31311,95375,2,95,585,49977852,13365924,4116882932,585,62,2,1,2,2,245,1,4101022108,4056006461,265236824,314729692,314746076,1,2,1,13848106448,73389,73389,2,2,2,314729692,2,3,182902,7671166,2492910,70235,31290,4101022108,2013255,47482466,1090
35066.16,262144,64,239500,15781721590,19,19,2194086,154,1,585,2398485,4,63837,22,22,130010484,1172,1,21,35587,115073,2,95,585,58988413,16491481,4679529993,585,62,2,1,2,2,245,1,4661485980,4616716927,316850223,358325235,358325235,1,2,1,15765589444,73389,73389,2,2,2,358308851,2,3,201941,9049241,2926073,81573,35566,4661485980,2316912,56058111,1090
40074.59,262144,64,267544,17629434898,19,19,2194086,159,1,585,2711582,4,71760,22,22,130806840,1172,1,21,39706,139957,2,95,585,67139992,19090044,5221525847,585,62,2,1,2,2,245,1,5201371548,5156800229,385128200,400311272,400327656,1,2,1,17613695968,73389,73389,2,2,2,400311272,2,3,225070,10375157,3310323,93781,39685,5201371548,2617801,63824827,1090
45081.90,262144,64,298353,19659682506,19,19,2194086,164,1,585,3062095,4,80437,22,22,131603196,1172,1,21,44236,152444,2,95,585,77168509,21744319,5817456073,585,62,2,1,2,2,245,1,5794996636,5750320103,436471447,446464434,446480818,1,2,1,19644435096,73389,73389,2,2,2,446464434,2,3,260391,11615966,3753395,105169,44215,5794996636,2956926,73410392,1090
50085.66,262144,64,352894,23253459478,19,19,2301176,173,1,585,3492460,4,95805,22,22,132930456,1172,1,21,52246,152617,2,95,585,86911768,22043201,6871450715,585,62,2,1,2,2,245,1,6845014428,6800889134,462255524,528144907,528144907,1,2,1,23237655012,73389,73389,2,2,2,528128523,2,3,307134,12376016,3987682,113435,52225,6845014428,3379025,82919648,1090
