timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5010.55,262144,64,46556,3067865756,0,0,0,27,27,263883,122,585,426986,3,9458,30,25,125015160,1172,1,29,7248,7454,2,101,585,6781751,983379,949518328,585,95,2,1,2,2,304,1,945987996,900072211,20165262,69373103,69389487,1,2,1,3052416532,73389,73389,2,2,2,69373103,3,3,54530,1103412,473394,10865,7219,945987996,416121,6308148,1250
10021.49,262144,64,77854,5130172534,0,0,0,27,27,263883,127,585,750848,3,18270,30,25,125811516,1172,1,29,11848,23255,2,101,585,15026899,2668759,1554773324,585,95,2,1,2,2,304,1,1548919196,1503018440,50021390,116247161,116247161,1,2,1,5114875084,73389,73389,2,2,2,116247161,3,3,68846,2227029,841161,22768,11819,1548919196,728080,14185636,1250
15027.69,262144,64,106532,7020207890,0,0,0,27,27,263883,132,585,1066049,3,26367,30,25,126837126,1172,1,29,16059,40546,2,101,585,25791086,5429247,2108861219,585,95,2,1,2,2,304,1,2100863388,2055452339,101419287,159193377,159209761,1,2,1,7004508588,73389,73389,2,2,2,159193377,3,3,85723,3477854,1306842,33939,16030,2100863388,1032110,24482997,1250
20035.54,262144,64,135855,8952007194,0,0,2,27,27,263883,137,585,1378568,3,34636,30,25,127368030,1172,1,29,20368,57644,2,101,585,33708827,7841446,2675839627,585,95,2,1,2,2,304,1,2665652636,2620224282,141816092,203110567,203110567,1,2,1,8936144052,73389,73389,2,2,2,203094183,3,3,107137,4796427,1728521,44994,20339,2665652636,1333574,31978521,1250
25048.11,262144,64,166360,10962066406,2,4247868,15,27,27,263883,142,585,1680705,3,43232,30,25,128152320,1172,1,29,24850,75537,2,101,585,43448756,10508823,3265575046,585,95,2,1,2,2,304,1,3253117340,3207799004,219752130,248782560,248798944,1,2,1,10946432640,73389,73389,2,2,2,248782560,3,3,133368,6033576,2162089,55292,24821,3253117340,1625413,41285075,1250
30058.80,262144,64,196211,12928999622,14,18681027,35,27,27,263883,147,585,1977153,3,51648,30,25,128948676,1172,1,29,29234,98721,2,101,585,52644370,13453970,3842426498,585,95,2,1,2,2,304,1,3827736988,3782691031,643716379,293481864,293498248,1,2,1,12913202016,73389,73389,2,2,2,293481864,3,3,166453,7369525,2610447,64803,29205,3827736988,1912350,50031945,1250
35066.67,262144,64,226838,14947319678,14,19193636,41,27,27,263883,152,585,2276385,3,60273,30,25,129745032,1172,1,29,33735,124253,2,101,585,60236172,16017173,4434660505,585,95,2,1,2,2,304,1,4417692060,4372763242,708203327,339364690,339364690,1,2,1,14931325464,73389,73389,2,2,2,339348306,3,3,187050,8720962,2961990,74784,33706,4417692060,2201601,57270967,1250
40075.43,262144,64,256645,16911441706,14,19624193,46,27,27,263883,157,585,2560716,3,68679,30,25,130541388,1172,1,29,38114,148898,2,101,585,69277631,19376692,5010848984,585,95,2,1,2,2,304,1,4991656348,4946854210,758030885,383998458,384014842,1,2,1,16895932152,73389,73389,2,2,2,383998458,3,3,211350,10114164,3372555,85063,38085,4991656348,2475653,65903004,1250
45079.11,262144,64,301038,19836443022,14,22370468,54,27,27,263883,165,585,2947193,3,81225,30,25,131603196,1172,1,29,44635,157006,2,101,585,80598893,21665802,5868828276,585,95,2,1,2,2,304,1,5846376860,5802052875,809409917,450488421,450488421,1,2,1,19820769628,73389,73389,2,2,2,450472037,3,3,242074,11185156,3731483,94299,44606,5846376860,2852894,76866062,1250
50083.18,262144,64,349667,23040912998,14,22370468,54,27,27,263883,173,585,3353682,3,94926,30,25,132930456,1172,1,29,51780,157360,2,101,585,90562857,21666354,6808722041,585,95,2,1,2,2,304,1,6782755228,6738761538,839109064,523303879,523320263,1,2,1,23025370676,73389,73389,2,2,2,523303879,3,3,273326,11896686,3927758,101705,51751,6782755228,3251977,86633732,1250
55092.38,262144,64,387854,25556820896,14,22370468,54,27,27,263883,179,585,3696642,3,105669,30,25,133726812,1172,1,29,57387,168822,2,101,585,99589404,23140475,7546578823,585,95,2,1,2,2,304,1,7517807004,7474255234,881516576,580490777,580490777,1,2,1,25540873292,73389,73389,2,2,2,580474393,3,3,296442,12957021,4231146,111927,57358,7517807004,3584715,95356441,1250
