timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.51,262144,64,57817,3809860498,0,0,0,22,22,389654,124,585,450013,3,12636,25,11,125280612,1172,1,24,8898,186,2,84,585,7556816,443,1167307329,585,127,2,1,2,2,248,1,1162912156,1117070675,17753745,86240814,86240814,1,2,1,3793874920,73389,73389,2,2,2,86224430,2,3,423668,813665,822226,8470,8874,1162912156,441543,6734372,1287
10011.64,262144,64,117902,7769333990,0,0,0,22,22,389654,134,585,909902,3,29523,25,11,127102578,1172,1,24,17725,375,2,84,585,17751291,1388,2328719572,585,127,2,1,2,2,248,1,2319884700,2274452617,40335140,176233120,176233120,1,2,1,7754257280,73389,73389,2,2,2,176233120,2,3,458236,1639888,1038723,17699,17701,2319884700,892203,16711882,1287
15015.31,262144,64,174384,11490847242,0,0,0,22,22,708652,144,585,1328419,3,45477,25,11,128417772,1172,1,24,26025,521,2,84,585,27495843,2679,3420642148,585,127,2,1,2,2,248,1,3407651228,3362325817,64004680,260801051,260817435,1,2,1,11475246244,73389,73389,2,2,2,260801051,2,3,480938,2401562,1233770,26157,26001,3407651228,1302262,26261403,1287
20020.62,262144,64,208610,13746093170,0,0,0,22,22,1291259,149,585,1689634,3,55138,25,11,129214128,1172,1,24,31051,14640,2,84,585,35290894,1965486,4081973182,585,127,2,1,2,2,248,1,4066419100,4021564338,122874909,312057385,312073769,1,2,1,13730524940,73389,73389,2,2,2,312057385,2,3,500381,3670188,1608792,37992,31027,4066419100,1651642,33680693,1287
25027.44,262144,64,235954,15548003674,0,0,0,22,22,1392853,154,585,2002649,3,62871,25,11,130010484,1172,1,24,35070,38836,2,84,585,43753847,4966616,4610809060,585,127,2,1,2,2,248,1,4593197468,4548382292,201392962,353003038,353019422,1,2,1,15532133672,73389,73389,2,2,2,353003038,2,3,520712,5029369,2050220,49880,35046,4593197468,1952769,41703936,1287
30034.19,262144,64,259391,17092199918,0,0,0,22,22,2507484,158,585,2278237,3,69483,25,11,130541388,1172,1,24,38509,66088,2,84,585,52157039,8535003,5063488688,585,127,2,1,2,2,248,1,5044085148,4999711269,272393871,388104365,388120749,1,2,1,17076592060,73389,73389,2,2,2,388104365,2,3,546674,6512165,2517567,62826,38485,5044085148,2215411,49639644,1287
35044.37,262144,64,288467,19008077282,0,0,0,22,22,2571562,163,585,2612572,3,77666,25,11,131337744,1172,1,24,42784,79495,2,84,585,60941308,11966315,5626002980,585,127,2,1,2,2,248,1,5604417948,5559850044,316519361,431650756,431667140,1,2,1,18992633264,73389,73389,2,2,2,431650756,2,3,577592,7822926,2961836,75680,42760,5604417948,2536892,57980533,1287
40050.07,262144,64,318576,20992184238,0,0,0,22,22,2571562,168,585,2940816,3,86168,25,11,132134100,1172,1,24,47207,87196,2,84,585,69496441,14140066,6207986827,585,127,2,1,2,2,248,1,6184149404,6139897638,353766571,476741117,476757501,1,2,1,20976609148,73389,73389,2,2,2,476741117,2,3,605154,9035582,3371435,87939,47183,6184149404,2852877,66126677,1287
45059.29,262144,64,347855,22921365410,18,22779639,67,29,29,2571562,173,585,3260926,3,94419,25,11,132930456,1172,1,24,51514,105679,2,84,585,80235968,17390250,6773800836,585,127,2,1,2,2,248,1,6747759004,6703806267,902562798,520598804,520598804,1,2,1,22905626480,73389,73389,2,2,2,520582420,2,3,633594,10372359,3808267,103462,51483,6747759004,3157464,76428262,1287
50069.97,262144,64,376313,24796488140,27,36355028,159,30,30,2571562,177,585,3584987,3,102374,25,11,133461360,1172,1,24,55694,122994,2,84,585,89759675,19327111,7323829366,585,127,2,1,2,2,248,1,7295639964,7251948288,941497969,563205274,563221658,1,2,1,24781032056,73389,73389,2,2,2,563205274,2,3,644294,11640094,4157091,115849,55663,7295639964,3469138,85603141,1287
