timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.97,5,262144,64,41920,2762182696,0,0,0,19,19,921572,121,585,420663,4,8142,22,23,124749708,1172,1,21,6560,3028,2,101,585,5929453,406775,860073993,585,1109,3,1,2,1,2,2,437,1,856859036,810755517,10923434,62433208,62433208,1,2,1,2746340256,73389,73389,2,2,2,62416824,8,3,31510,992616,594979,10654,6539,856859036,410009,5333943,4858
10012.87,5,262144,64,93377,6153038222,0,0,0,19,19,1156107,130,585,839266,4,22671,22,23,126318288,1172,1,21,14121,3175,2,101,585,16047546,407621,1854806221,585,1109,3,1,2,1,2,2,437,1,1847894428,1802001987,39006919,139491678,139508062,1,2,1,6137633832,73389,73389,2,2,2,139491678,8,3,55395,1715436,790782,18463,14100,1847894428,820803,15256100,4858
15018.83,5,262144,64,157084,10350969046,0,48603,17,19,19,1156107,141,585,1311547,4,40647,22,23,128152320,1172,1,21,23480,3593,2,101,585,25778994,561195,3086353124,585,1109,3,1,2,1,2,2,437,1,3074728348,3029153957,91384915,234890260,234906644,1,2,1,10335171440,73389,73389,2,2,2,234890260,8,3,70519,2612310,1001170,28615,23460,3074728348,1282932,24777712,4858
20025.22,5,262144,64,189281,12472711526,16,19331595,70,26,26,1156107,146,585,1636864,4,49650,22,23,128948676,1172,1,21,28217,16475,2,101,585,34819221,2115499,3708583668,585,1109,3,1,2,1,2,2,437,1,3694567836,3649285725,274304807,283119872,283136256,1,2,1,12457274368,73389,73389,2,2,2,283119872,8,3,98881,3730291,1423689,39903,28189,3694567836,1596961,33396768,4858
25033.03,5,262144,64,220942,14558530354,26,32962221,179,30,30,1156107,151,585,1971722,4,58611,22,23,129479580,1172,1,21,32870,28827,2,101,585,44801662,3497832,4320291185,585,1109,3,1,2,1,2,2,437,1,4303921564,4259119918,307476625,330528569,330528569,1,2,1,14542536140,73389,73389,2,2,2,330512185,8,3,113732,4900702,1759946,52001,32838,4303921564,1919721,43051744,4858
30039.96,5,262144,64,250749,16522718745,28,39592550,236,35,35,1156107,156,585,2284150,4,67017,22,23,130275936,1172,1,21,37256,47958,2,101,585,52418549,5561343,4896743253,585,1109,3,1,2,1,2,2,437,1,4878147996,4833327195,335286919,375162337,375184754,1,2,1,16507142828,73389,73389,2,2,2,375162337,8,3,129270,6209592,2127420,62746,37219,4878147996,2221404,50294300,4858
35049.27,5,262144,64,281903,18575775362,33,48628402,346,40,40,1156107,162,585,2617279,4,75817,22,23,131337744,1172,1,21,41839,59872,2,101,585,62574942,7146577,5499110616,585,1109,3,1,2,1,2,2,437,1,5478195612,5433437461,362841700,421829436,421845820,1,2,1,18560495184,73389,73389,2,2,2,421829436,8,3,142373,7439516,2438623,74748,41797,5478195612,2542531,60139808,4858
40056.70,5,262144,64,311906,20552404598,37,55931324,391,45,45,1156107,167,585,2922145,4,84268,22,23,131868648,1172,1,21,46251,76295,2,101,585,70996871,9481607,6078984685,585,1109,3,1,2,1,2,2,437,1,6055829916,6011314279,401281515,466752083,466768467,1,2,1,20537091652,73389,73389,2,2,2,466752083,8,3,168311,8762774,2813517,85764,46204,6055829916,2836381,68186793,4858
45066.34,5,262144,64,342047,22538608706,43,66268692,487,51,51,1156107,172,585,3229623,4,92793,22,23,132665004,1172,1,21,50683,87305,2,101,585,79866110,11307807,6661355827,585,1109,3,1,2,1,2,2,437,1,6635954588,6591906039,431718492,511899788,511899788,1,2,1,22522869776,73389,73389,2,2,2,511883404,8,3,186917,10065645,3154709,96277,50630,6635954588,3133346,76715320,4858
50076.36,5,262144,64,372095,24518464580,43,68381298,507,56,56,1156107,177,585,3516617,4,101265,22,23,133461360,1172,1,21,55100,106279,2,101,585,87620859,13826321,7241881099,585,1109,3,1,2,1,2,2,437,1,7214244252,7170641766,461838572,556894004,556910388,1,2,1,24503336176,73389,73389,2,2,2,556894004,8,3,206562,11410737,3477160,106525,55042,7214244252,3410092,84148434,4858
