timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5020.72,11,262144,64,30543,2012597844,18,18,904166,119,17,585,386234,7,4928,21,34,124484256,1172,1,20,4887,10910,2,5339,585,4983303,1395517,640195134,585,1139,2,1,2,2,451,1,637706652,591582521,12935298,45393465,45409849,1,2,1,1997312460,73389,73389,2,2,2,45393465,13,3,43842,1325205,791284,12518,4867,637706652,373716,4191371,5155
10023.69,11,262144,64,70892,4671256382,18,18,1012345,126,17,585,752761,7,16265,21,34,125546064,1172,1,20,10815,15062,2,5339,585,14188683,3015029,1420088054,585,1139,2,1,2,2,451,1,1414570396,1368910417,45747006,105815759,105815759,1,2,1,4655893396,73389,73389,2,2,2,105815759,13,3,86862,2322911,1198276,22886,10795,1414570396,729875,12990343,5155
15027.32,11,262144,64,122174,8050631042,18,18,1344769,135,17,585,1176063,7,30744,21,34,127102578,1172,1,20,18348,15243,2,5339,585,23651136,3037707,2411381378,585,1139,2,1,2,2,451,1,2402066844,2356676682,70517415,182628469,182628469,1,2,1,8034931740,73389,73389,2,2,2,182612085,13,3,103620,3056753,1362088,30630,18328,2402066844,1145433,22288984,5155
20030.17,11,262144,64,169712,11183070338,18,18,1344769,143,17,585,1546954,7,44202,21,34,128417772,1172,1,20,25332,15450,2,5339,585,33558167,3040585,3330336221,585,1139,2,1,2,2,451,1,3317473692,3272331374,94968388,253809845,253826229,1,2,1,11167633180,73389,73389,2,2,2,253809845,13,3,119507,3713305,1524794,37888,25312,3317473692,1509066,32033504,5155
25032.69,11,262144,64,217743,14347818882,18,18,2463444,151,17,585,1922091,7,57684,21,34,129479580,1172,1,20,32386,15642,2,5339,585,42920938,3042980,4258484905,585,1139,2,1,2,2,451,1,4242055580,4197554358,118927392,325736693,325736693,1,2,1,14332414492,73389,73389,2,2,2,325736693,13,3,143689,4382866,1697665,45465,32366,4242055580,1876626,41223924,5155
30035.62,11,262144,64,262302,17284037022,18,18,2469544,158,17,585,2228283,7,70221,21,34,130541388,1172,1,20,38935,15727,2,5339,585,51121723,3043656,5120345060,585,1139,2,1,2,2,451,1,5100446108,5055839203,137082773,392470257,392470257,1,2,1,17268691308,73389,73389,2,2,2,392470257,13,3,147533,4955779,1820188,52195,38915,5100446108,2176088,49302754,5155
35041.86,11,262144,64,297602,19610199518,18,18,3107927,164,17,585,2576354,7,80233,21,34,131603196,1172,1,20,44122,27057,2,5339,585,59027272,4195745,5802903724,585,1139,2,1,2,2,451,1,5780316572,5735873065,220438855,445344289,445360673,1,2,1,19595148716,73389,73389,2,2,2,445344289,13,3,161261,5988197,2120975,62208,44102,5780316572,2514146,56905442,5155
40047.49,11,262144,64,319746,21069126810,18,18,3630040,168,17,585,2861152,7,86491,21,34,132134100,1172,1,20,47375,81735,2,5339,585,66852707,7879170,6231008308,585,1139,2,1,2,2,451,1,6206693788,6162369555,282246327,478500238,478516622,1,2,1,21054010472,73389,73389,2,2,2,478500238,13,3,177621,7642793,2537938,72597,47355,6206693788,2788555,64313573,5155
45053.61,11,262144,64,340057,22407661162,18,18,4308349,171,17,585,3118789,7,92194,21,34,132665004,1172,1,20,50359,122189,2,5339,585,74600606,11828581,6623725761,585,1139,2,1,2,2,451,1,6597812636,6553637369,375024218,508914026,508930410,1,2,1,22392217144,73389,73389,2,2,2,508914026,13,3,209195,9314610,2965961,82517,50339,6597812636,3036272,71632705,5155
50057.42,11,262144,64,372156,24522462276,18,18,4574775,177,17,585,3422943,7,101280,21,34,133461360,1172,1,20,55071,149326,2,5339,585,82523783,14452802,7243757292,585,1139,2,1,2,2,451,1,7215423900,7171859120,450597671,556975924,556992308,1,2,1,24506940656,73389,73389,2,2,2,556975924,13,3,240079,10557482,3291870,91528,55051,7215423900,3331415,79230426,5155
