timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.67,262144,64,47311,3117610888,26,26,397305,122,585,426119,4,9665,29,46,125015160,1172,1,28,7358,9659,2,120,585,7241591,624464,964204914,585,97,2,1,2,2,237,1,960536988,914672836,22162166,70509632,70526016,1,2,1,3102423808,73389,73389,2,2,2,70509632,4,3,418349,1016395,845275,10646,7330,960536988,415473,6396889,1150
10014.94,262144,64,88780,5850200650,26,26,397305,129,585,797685,4,21360,29,46,126076968,1172,1,28,13449,16328,2,120,585,16728920,2121386,1765632486,585,97,2,1,2,2,237,1,1758896540,1713511181,55048701,132598776,132615160,1,2,1,5834346144,73389,73389,2,2,2,132598776,4,3,456490,2071005,1200720,21675,13421,1758896540,776010,15528678,1150
15019.68,262144,64,128883,8492701134,26,26,397305,136,585,1176973,4,32682,29,46,127368030,1172,1,28,19344,27493,2,120,585,26762168,3778213,2541274118,585,97,2,1,2,2,237,1,2531565980,2485919273,99839730,192660622,192677006,1,2,1,8477067368,73389,73389,2,2,2,192660622,4,3,493595,3229319,1610010,33116,19316,2531565980,1143857,25153121,1150
20023.43,262144,64,177440,11692187066,26,26,402700,144,585,1549297,4,46365,29,46,128417772,1172,1,28,26476,28227,2,120,585,36593398,4147901,3479644181,585,97,2,1,2,2,237,1,3466371484,3421140814,142478062,265379935,265396319,1,2,1,11676717140,73389,73389,2,2,2,265379935,4,3,523481,3999258,1844928,42165,26448,3466371484,1507132,34749854,1150
25028.44,262144,64,230421,15183462426,26,26,719842,153,585,1923133,4,61254,29,46,130010484,1172,1,28,34260,28489,2,120,585,47371480,4230514,4503777022,585,97,2,1,2,2,237,1,4486635932,4441721893,177381076,344727847,344744231,1,2,1,15168025268,73389,73389,2,2,2,344727847,4,3,560960,4691968,2053301,50596,34232,4486635932,1872537,45319816,1150
30033.80,262144,64,259303,17086432750,26,26,1027473,158,585,2245202,4,69459,29,46,130541388,1172,1,28,38500,62147,2,120,585,55459628,6652985,5061867371,585,97,2,1,2,2,237,1,5042512284,4998024349,219606964,387973293,387989677,1,2,1,17070824892,73389,73389,2,2,2,387973293,4,3,584763,6156474,2448460,65935,38473,5042512284,2179267,53013817,1150
35039.29,262144,64,280141,18459504574,26,26,1696148,161,585,2514969,4,75308,29,46,131072292,1172,1,28,41565,123025,2,120,585,61347117,10168287,5465234781,585,97,2,1,2,2,237,1,5444247964,5399445363,329809747,419198089,419198089,1,2,1,18444715916,73389,73389,2,2,2,419198089,4,3,597906,7890418,2781669,77157,41538,5444247964,2437812,58566042,1150
40045.09,262144,64,301457,19863902606,26,26,2377990,165,585,2766437,4,81339,29,46,131603196,1172,1,28,44695,157659,2,120,585,68925268,14124280,5877020897,585,97,2,1,2,2,237,1,5854372252,5810099040,438681087,451111013,451111013,1,2,1,19848163676,73389,73389,2,2,2,451094629,4,3,620230,9605139,3164736,87254,44667,5854372252,2679183,65760839,1150
45049.67,262144,64,353677,23304774166,26,26,2452430,174,585,3180729,4,96039,29,46,132930456,1172,1,28,52365,158231,2,120,585,78664397,14714296,6886204877,585,97,2,1,2,2,237,1,6859694492,6815850600,473350071,529316363,529316363,1,2,1,23289199076,73389,73389,2,2,2,529299979,4,3,657944,10417386,3380950,95753,52337,6859694492,3084976,75283994,1150
50055.70,262144,64,397168,26170674076,26,26,2540370,181,585,3565035,4,108319,29,46,133992264,1172,1,28,58754,161537,2,120,585,87074392,15370945,7726840910,585,97,2,1,2,2,237,1,7697113500,7653650072,504807968,594438262,594454646,1,2,1,26155283528,73389,73389,2,2,2,594438262,4,3,684585,11323814,3610754,105184,58726,7697113500,3459851,83463599,1150
