timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.43,262144,64,49739,3277794104,0,0,23,23,163290,123,585,442455,2,10371,26,24,125280612,1172,1,25,7713,6367,2,101,585,7894628,1027052,1011266315,585,111,2,1,2,2,244,1,1007460764,961573824,24109398,74146436,74162820,1,2,1,3262443184,73389,73389,2,2,2,74146436,3,3,63686,1118297,489734,12631,7688,1007460764,429824,7405148,1029
10011.50,262144,64,92721,6109781154,802058,3,23,23,163290,130,585,796760,2,22491,26,24,126318288,1172,1,25,14025,13289,2,101,585,17839281,2341099,1841758849,585,111,2,1,2,2,244,1,1834787228,1789348771,60523356,138502605,138518989,1,2,1,6094114620,73389,73389,2,2,2,138502605,3,3,94797,2054338,788033,22846,14000,1834787228,773914,17051136,1029
15015.22,262144,64,148608,9792565938,802058,3,23,23,164609,139,585,1203823,2,38172,26,24,127886868,1172,1,25,22236,13424,2,101,585,27680285,2341732,2922125035,585,111,2,1,2,2,244,1,2911019420,2865891544,85495311,222216409,222216409,1,2,1,9777521996,73389,73389,2,2,2,222216409,3,3,116782,2789665,971158,31552,22211,2911019420,1172271,26709449,1029
20018.49,262144,64,210969,13901754402,802058,3,23,23,174947,150,585,1671873,2,55785,26,24,129479580,1172,1,25,31398,13666,2,101,585,37477340,2378983,4127643318,585,111,2,1,2,2,244,1,4111901084,4067123667,113081059,315604077,315620461,1,2,1,13886579388,73389,73389,2,2,2,315604077,3,3,142459,3624800,1181452,41312,31373,4111901084,1630561,36295952,1029
25021.68,262144,64,280780,18501647530,802058,3,23,23,182057,161,585,2193586,2,75426,26,24,131072292,1172,1,25,41656,13750,2,101,585,47307131,2379570,5477412035,585,111,2,1,2,2,244,1,5456437660,5411773024,128707476,420154394,420154394,1,2,1,18486072440,73389,73389,2,2,2,420138010,3,3,147882,4548870,1383856,52290,41631,5456437660,2141296,45923617,1029
30029.32,262144,64,324087,21355211298,802058,3,23,23,353039,169,585,2566779,2,87732,26,24,132399552,1172,1,25,48017,26244,2,101,585,54893361,4302662,6314428748,585,111,2,1,2,2,244,1,6290186652,6245917948,206090886,484999924,485016308,1,2,1,21339996656,73389,73389,2,2,2,484999924,3,3,158523,5885834,1688034,64795,47992,6290186652,2501984,53205465,1029
35036.83,262144,64,344978,22731756530,802058,3,23,23,706559,172,585,2841187,2,93594,26,24,132665004,1172,1,25,51086,62309,2,101,585,61594347,7956708,6718313576,585,111,2,1,2,2,244,1,6692446620,6648328921,296783821,516282064,516298448,1,2,1,22716410816,73389,73389,2,2,2,516282064,3,3,174928,7542157,2043527,78255,51061,6692446620,2762932,59550905,1029
40042.56,262144,64,375508,24743466208,802058,3,23,23,893803,177,585,3127715,2,102193,26,24,133461360,1172,1,25,55567,88916,2,101,585,69174284,10722348,7307937377,585,111,2,1,2,2,244,1,7279780252,7236383920,369266712,562003209,562019593,1,2,1,24728141196,73389,73389,2,2,2,562003209,3,3,201426,8864287,2358303,88116,55542,7279780252,3039599,66816315,1029
45060.78,262144,64,387301,25520579488,802058,3,23,23,3229570,179,585,3270938,2,105519,26,24,133726812,1172,1,25,57300,203142,2,101,585,73343500,15267938,7536181584,585,111,2,1,2,2,244,1,7507059100,7463645431,404653140,579655193,579671577,1,2,1,25504828492,73389,73389,2,2,2,579655193,3,3,211256,11121532,2584054,94585,57276,7507059100,3176353,70760328,1029
50067.53,262144,64,398615,26266035572,802058,3,23,23,5604593,181,585,3410748,2,108714,26,24,133992264,1172,1,25,58961,291951,2,101,585,77011186,20022683,7754820769,585,111,2,1,2,2,244,1,7724769692,7681560326,542466021,596613016,596613016,1,2,1,26250972704,73389,73389,2,2,2,596613016,3,3,224320,13499586,2789752,100447,58937,7724769692,3310301,74222773,1029
