timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.37,262144,64,59038,3890314330,14,14,370295,124,0,585,495530,5,12975,17,43,125280612,1172,1,16,9068,585,2,708,585,7846797,2910,1190747785,585,237,2,1,2,2,265,1,1186242972,1140593888,16574888,88049087,88071504,1,2,1,3874159828,73389,73389,2,2,2,88049087,3,3,194260,892119,628378,9371,9052,1186242972,486159,7218712,1512
10011.74,262144,64,111765,7364750490,14,14,370295,133,0,585,934829,5,27849,17,43,126837126,1172,1,16,16815,844,2,708,585,17913578,3163,2210044426,585,237,2,1,2,2,265,1,2201657756,2156200735,38968085,167036551,167036551,1,2,1,7348887348,73389,73389,2,2,2,167020167,3,3,226691,1659994,849194,17664,16799,2201657756,917165,17065039,1512
15015.01,262144,64,173403,11426290974,14,14,737991,143,0,585,1415824,5,45207,17,43,128417772,1172,1,16,25873,1093,2,708,585,28130518,4152,3401912783,585,237,2,1,2,2,265,1,3388907932,3343454561,64438457,259345034,259345034,1,2,1,11411181496,73389,73389,2,2,2,259345034,3,3,249018,2505071,1075036,27096,25857,3388907932,1388728,27056470,1512
20019.46,262144,64,231058,15225474310,14,14,745978,153,0,585,1830762,5,61482,17,43,130010484,1172,1,16,34341,1179,2,708,585,37538288,5874,4516123324,585,237,2,1,2,2,265,1,4498825628,4454049403,92663693,345684152,345700536,1,2,1,15210102688,73389,73389,2,2,2,345684152,3,3,263934,3255010,1232715,35914,34325,4498825628,1794848,36306798,1512
25023.34,262144,64,279436,18413036242,14,14,752913,161,0,585,2200954,5,75114,17,43,131072292,1172,1,16,41449,1214,2,708,585,47362226,9359,5451345050,585,237,2,1,2,2,265,1,5430485404,5385861840,118476256,418127096,418143480,1,2,1,18397592224,73389,73389,2,2,2,418127096,3,3,285336,3916015,1401851,43946,41433,5430485404,2157008,45961703,1512
30031.26,262144,64,328462,21643524010,14,14,790350,169,0,585,2582587,5,88923,17,43,132399552,1172,1,16,48653,6316,2,708,585,56705883,300167,6399215726,585,237,2,1,2,2,265,1,6374728092,6330280550,143270283,491556954,491556954,1,2,1,21627785080,73389,73389,2,2,2,491540570,3,3,311018,4757664,1587485,52888,48637,6374728092,2529699,55119850,1512
35036.98,262144,64,339026,22339562642,34,34,3235719,171,0,585,2717991,5,91916,37,4162,132665004,1172,1,36,50222,97007,2,5017,585,59594256,4368487,6603131760,585,237,2,1,2,2,265,1,6577758620,6533727629,250315342,507378248,507378248,1,2,1,22324642912,73389,73389,2,2,2,507378248,3,3,321687,7137553,1772499,58765,50186,6577758620,2659226,57823080,1512
40061.66,262144,64,349330,23018561914,34,34,5723702,173,0,585,2851416,5,94835,37,4162,132930456,1172,1,36,51737,196601,2,5017,585,62816835,8886753,6802570693,585,237,2,1,2,2,265,1,6776332700,6732229887,321507729,522806326,522806326,1,2,1,23003478344,73389,73389,2,2,2,522806326,3,3,334436,9472407,1984083,65297,51701,6776332700,2786119,60833466,1512
45069.32,262144,64,364600,24024605674,34,34,7218618,175,0,585,3050346,5,99106,37,4162,133195908,1172,1,36,53978,260660,2,5017,585,67081449,13013395,7097528692,585,237,2,1,2,2,265,1,7070065052,7026271296,374651498,545676170,545676170,1,2,1,24009030584,73389,73389,2,2,2,545659786,3,3,354327,11424388,2264293,81085,53942,7070065052,2969261,64817436,1512
50079.10,262144,64,384026,25304621828,34,34,8144872,179,1,585,3273875,5,104625,37,4162,133726812,1172,1,36,56831,309236,2,5017,585,72679378,17164390,7473003673,585,237,2,1,2,2,265,1,7444013468,7400534602,434393917,574758980,574758980,1,2,1,25288674224,73389,73389,2,2,2,574742596,3,3,373255,13199791,2576260,91204,56795,7444013468,3182671,70102823,1512
