timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5019.93,8,262144,64,23075,1520785928,19,19,1448404,118,585,331337,1,2838,22,34,124484256,1172,1,21,3793,5110,2,6143,585,3998302,771685,495993817,585,907,2,1,2,2,535,1,494051740,447856427,6190401,34206240,34222624,1,2,1,1505074560,73389,73389,2,2,2,34206240,10,3,379808,1015304,1627814,9335,3772,494051740,322002,2371189,5142
10024.07,8,262144,64,68692,4526280826,19,19,1452549,126,585,696589,1,15675,22,34,125546064,1172,1,21,10491,8001,2,6143,585,14216328,1729052,1377369957,585,907,2,1,2,2,535,1,1372103068,1326528593,33070599,102520860,102520860,1,2,1,4510196944,73389,73389,2,2,2,102504476,10,3,426876,1851770,1927478,19075,10470,1372103068,677514,12289192,5142
15028.05,8,262144,64,116182,7655827780,19,19,1645119,134,585,1073498,1,29109,22,34,127102578,1172,1,21,17469,8109,2,6143,585,23609232,1729352,2295447024,585,907,2,1,2,2,535,1,2286723484,2241271832,58259052,173642733,173659117,1,2,1,7640280252,73389,73389,2,2,2,173642733,10,3,450952,2507122,2091668,26236,17448,2286723484,1047262,21518129,5142
20032.12,8,262144,64,167712,11051201982,19,19,1652348,142,585,1454272,1,43602,22,34,128152320,1172,1,21,25041,8169,2,6143,585,32474589,1729723,3291555701,585,907,2,1,2,2,535,1,3279069596,3233816817,80814085,250809858,250826242,1,2,1,11035633752,73389,73389,2,2,2,250809858,10,3,472630,3177743,2248313,34086,25020,3279069596,1420186,30227109,5142
25035.81,8,262144,64,216961,14296304278,19,19,1674544,151,585,1842673,1,57505,22,34,129479580,1172,1,21,32274,8321,2,6143,585,42634226,1730042,4243308728,585,907,2,1,2,2,535,1,4227244444,4182465926,104071161,324567396,324567396,1,2,1,14280244528,73389,73389,2,2,2,324551012,10,3,496157,3841058,2407284,41450,32253,4227244444,1801223,40227701,5142
30045.10,8,262144,64,269495,17758091990,19,19,2127066,159,585,2243716,1,72291,22,34,130806840,1172,1,21,39993,8854,2,6143,585,51923265,1788599,5258902307,585,907,2,1,2,2,535,1,5238989212,5194398714,132627899,403245723,403245723,1,2,1,17742090916,73389,73389,2,2,2,403229339,10,3,515334,4609469,2587001,49868,39972,5238989212,2193848,49337398,5142
35057.01,8,262144,64,297118,19578214642,19,19,2127066,164,585,2589880,1,80101,22,34,131603196,1172,1,21,44052,33269,2,6143,585,60856975,4145193,5793007850,585,907,2,1,2,2,535,1,5771010460,5726527059,216475869,444617360,444633744,1,2,1,19563163840,73389,73389,2,2,2,444617360,10,3,541874,5935415,3033055,62040,44032,5771010460,2527840,57825484,5142
40076.42,8,262144,64,317324,20909602262,19,19,2878509,168,585,2843362,1,85778,22,34,131868648,1172,1,21,47021,74591,2,6143,585,67329208,7749207,6183731445,585,907,2,1,2,2,535,1,6160163228,6115767049,284041473,474877659,474877659,1,2,1,20894616996,73389,73389,2,2,2,474877659,10,3,566294,7638361,3398577,74042,47000,6160163228,2769320,63931183,5142
45089.73,8,262144,64,337486,22238106298,19,19,3698097,171,585,3094010,1,91494,22,34,132665004,1172,1,21,49982,116603,2,6143,585,73511868,11500543,6573408700,585,907,2,1,2,2,535,1,6548267420,6504068673,388951459,505072422,505072422,1,2,1,22223186568,73389,73389,2,2,2,505072422,10,3,584048,9379145,3743166,85581,49961,6548267420,3008429,69769853,5142
50096.38,8,262144,64,358662,23633329290,19,19,4532014,174,585,3334721,1,97436,22,34,132930456,1172,1,21,53092,175571,2,6143,585,80242193,15398561,6982681664,585,907,2,1,2,2,535,1,6955901340,6911930475,466490880,536780546,536780546,1,2,1,23618344024,73389,73389,2,2,2,536780546,10,3,606217,11110614,4108984,95769,53071,6955901340,3238952,76134748,5142
