timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5012.69,10,262144,64,30859,2033572672,0,0,0,15,15,922364,119,585,363255,4,5018,18,35,124484256,1172,1,17,4930,16646,2,237,585,4524551,1112814,646330937,585,825,2,1,2,1,2,2,462,1,643867036,597717030,9494782,45874634,45874634,1,2,1,2018483896,73389,73389,2,2,2,45874634,7,6,3,47427,1243826,707937,11979,4914,643867036,351276,3816452,4629
10019.69,10,262144,64,59901,3947233878,0,0,0,15,15,922364,124,585,677912,4,13210,18,35,125280612,1172,1,17,9197,41311,2,237,585,13457314,3580007,1207648876,585,825,2,1,2,1,2,2,462,1,1203020188,1157227703,44881545,89355489,89371873,1,2,1,3931641516,73389,73389,2,2,2,89355489,7,6,3,100418,2555395,1237587,22903,9180,1203020188,655009,12219583,4629
15025.97,10,262144,64,91311,6016844490,0,121736,4,15,15,922364,130,585,1001892,4,22097,18,35,126318288,1172,1,17,13812,53998,2,237,585,23072598,6359198,1814877375,585,825,2,1,2,1,2,2,462,1,1807917468,1762159738,90497876,136393387,136409771,1,2,1,6001309028,73389,73389,2,2,2,136393387,7,6,3,126308,3841772,1731587,33177,13795,1807917468,968715,21341617,4629
20038.32,10,262144,64,121124,7981552790,4,13768033,38,15,15,922364,135,585,1316629,4,30511,18,35,127102578,1172,1,17,18191,70750,2,237,585,32221248,9170626,2391066036,585,825,2,1,2,1,2,2,462,1,2381881756,2336444308,194981612,181049572,181065956,1,2,1,7966181168,73389,73389,2,2,2,181049572,7,6,3,155271,5170389,2140526,43150,18174,2381881756,1273479,30081010,4629
25048.81,10,262144,64,151418,9977518454,18,31920662,127,21,21,922364,140,585,1626295,4,39030,18,35,127886868,1172,1,17,22649,86105,2,237,585,42109707,11700988,2976866318,585,825,2,1,2,1,2,2,462,1,2965414300,2920011006,294343439,226404236,226420620,1,2,1,9961786384,73389,73389,2,2,2,226404236,7,6,3,180906,6533459,2538051,53164,22626,2965414300,1573131,39573690,4629
30057.88,10,262144,64,182247,12009076782,19,35425488,220,30,30,922364,145,585,1928785,4,47728,18,35,128683224,1172,1,17,27187,105214,2,237,585,50904308,13762305,3572786382,585,825,2,1,2,1,2,2,462,1,3559039388,3513844410,320267485,272581974,272598358,1,2,1,11993606856,73389,73389,2,2,2,272581974,7,6,3,202127,7894885,2874271,66105,27155,3559039388,1862680,48032700,4629
35070.56,10,262144,64,211194,13916500002,19,37920885,223,32,32,922364,150,585,2204677,4,55897,18,35,129479580,1172,1,17,31439,118897,2,237,585,58129165,16530543,4132135688,585,825,2,1,2,1,2,2,462,1,4116226460,4071384486,356157106,315931757,315948141,1,2,1,13900997308,73389,73389,2,2,2,315931757,7,6,3,232607,9260142,3239589,75706,31406,4116226460,2128971,54892123,4629
40075.25,10,262144,64,263654,17373172598,19,37920885,223,32,32,922364,159,585,2618312,4,70644,18,35,130541388,1172,1,17,39149,119880,2,237,585,68455843,17142225,5146402132,585,825,2,1,2,1,2,2,462,1,5126660508,5081897977,385646074,394497555,394497555,1,2,1,17357171524,73389,73389,2,2,2,394481171,7,6,3,272119,10111459,3501579,85205,39115,5126660508,2533107,64957017,4629
45080.63,10,262144,64,324292,21368911630,19,37920885,223,32,32,922364,169,585,3112028,4,87786,18,35,132399552,1172,1,17,48057,120389,2,237,585,78468623,17142847,6318449564,585,825,2,1,2,1,2,2,462,1,6294249884,6249969915,416268476,485317253,485317253,1,2,1,21353238236,73389,73389,2,2,2,485300869,7,6,3,317235,10992324,3771529,95528,48023,6294249884,3016500,74700132,4629
50090.16,10,262144,64,356282,23476557254,20,38920953,224,32,32,922364,174,585,3425589,4,96786,18,35,132930456,1172,1,17,52755,133708,2,237,585,86267561,19313964,6936594662,585,825,2,1,2,1,2,2,462,1,6910026140,6866098898,468883922,533207119,533223503,1,2,1,23461113236,73389,73389,2,2,2,533207119,7,6,3,341446,12246937,4151617,106073,52721,6910026140,3319516,82120755,4629
