timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5015.18,6,262144,64,30331,1998704212,20,20,950009,119,585,355145,3,4872,8,23,877,124484256,1172,1,22,4857,28541,2,2883,585,4061131,1259547,635984256,585,1115,2,1,2,2,382,1,633512348,587525197,9536199,45082169,45082169,1,2,1,1983615436,73389,73389,2,2,2,45082169,5,3,35754,1401453,662200,11642,4836,633512348,343503,3400114,4758
10021.36,6,262144,64,61297,4039253038,20,20,992886,125,585,679958,3,13637,8,23,877,125546064,1172,1,22,9406,42874,2,2883,585,14223746,4132399,1234574709,585,1115,2,1,2,2,382,1,1229758876,1184084291,57597971,91448323,91464707,1,2,1,4023726212,73389,73389,2,2,2,91448323,5,3,64273,2641866,1136943,22860,9384,1229758876,657098,13089009,4758
15024.62,6,262144,64,100932,6651082674,20,20,1023617,131,585,1035147,3,24783,8,23,877,126571674,1172,1,22,15230,63445,2,2883,585,22805786,5871840,2000890745,585,1115,2,1,2,2,382,1,1993122204,1947634790,91184156,150813849,150813849,1,2,1,6635809356,73389,73389,2,2,2,150813849,5,3,100549,3734641,1494730,31761,15208,1993122204,1003386,21313477,4758
20027.99,6,262144,64,158361,10435189422,20,20,1023617,141,585,1463903,3,40995,8,23,877,128152320,1172,1,22,23668,64056,2,2883,585,33255398,5878844,3111166865,585,1115,2,1,2,2,382,1,3099107740,3053758187,117326608,236802870,236819254,1,2,1,10419326280,73389,73389,2,2,2,236802870,5,3,133297,4542183,1748867,40831,23646,3099107740,1423072,31508979,4758
25035.20,6,262144,64,193083,12722941206,20,20,1023617,147,585,1773516,3,50796,8,23,877,128948676,1172,1,22,28768,81110,2,2883,585,41642786,8046506,3782245159,585,1115,2,1,2,2,382,1,3767574940,3722448121,165947857,288804676,288821060,1,2,1,12707405744,73389,73389,2,2,2,288804676,5,3,164747,5756255,2120846,50333,28746,3767574940,1723183,39523608,4758
30039.33,6,262144,64,230046,15158620974,20,20,1023617,153,585,2082828,3,61206,8,23,877,130010484,1172,1,22,34198,96531,2,2883,585,51820549,10412720,4496725231,585,1115,2,1,2,2,382,1,4479295900,4434516345,203210896,344164758,344181142,1,2,1,15143249352,73389,73389,2,2,2,344164758,5,3,199961,6887022,2465140,59890,34176,4479295900,2022938,49356582,4758
35043.54,6,262144,64,282917,18642494318,20,20,1023617,162,585,2502547,3,76119,8,23,877,131337744,1172,1,22,41966,97199,2,2883,585,62626296,10414477,5518798259,585,1115,2,1,2,2,382,1,5497463196,5452980578,228051981,423342797,423359181,1,2,1,18627083068,73389,73389,2,2,2,423342797,5,3,239387,7653799,2696785,68232,41944,5497463196,2434315,59930808,4758
40048.09,6,262144,64,338368,22296439954,20,20,1023617,171,585,2939799,3,91737,8,23,877,132665004,1172,1,22,50111,97875,2,2883,585,72969428,10415098,6590504453,585,1115,2,1,2,2,382,1,6565044636,6521076087,255272775,506395208,506411592,1,2,1,22281389152,73389,73389,2,2,2,506395208,5,3,284645,8467201,2937004,76994,50089,6565044636,2862805,70033749,4758
45055.83,6,262144,64,371977,24510731332,20,20,1023617,177,585,3259067,3,101232,8,23,877,133461360,1172,1,22,55046,116105,2,2883,585,82035646,12863030,7239876884,585,1115,2,1,2,2,382,1,7211884956,7168375035,341822165,556713780,556730164,1,2,1,24495406320,73389,73389,2,2,2,556713780,5,3,312039,9754904,3276703,87133,55024,7211884956,3171934,78759899,4758
50064.41,6,262144,64,400011,26358054732,20,20,1023617,181,585,3569092,3,109095,8,23,877,133992264,1172,1,22,59165,133124,2,2883,585,89844769,15247710,7781911029,585,1115,2,1,2,2,382,1,7751781110,7708485207,376564921,598689466,598705850,1,2,1,26342336504,73389,73389,2,2,2,598689466,5,3,334417,11067979,3644399,97414,59144,7751781110,3471678,86202629,4758
