event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,420,4480,4060,Total time spent analyzing index of patch parts
ArenaAllocBytes,1441792,5373952,3932160,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,212,1172,960,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,1957281,1957281,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,58,66,8,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,6,14,8,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,58,66,8,How many messages (accepted or dropped) have been sent to the async queue for the file log
CannotWriteToWriteBufferDiscard,1812,2084,272,Number of stack traces dropped by query profiler or signal handler because pipe is full or cannot write to pipe.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,6346723,7578217,1231494,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,416,480,64,Time spent resetting task for Common executor.
CompileExpressionsBytes,8192,24576,16384,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,12179,72118,59939,Total time spent for compilation of expressions to LLVM code.
CompileFunction,1,3,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,1915816,8518753,6602937,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,93795719585,523710214379,429914494794,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlSlotsAcquired,192,192,0,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,173,201,28,Total number of noncompeting CPU slot acquired
ConcurrencyControlSlotsGranted,173,201,28,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ConcurrencyControlWaitMicroseconds,315,315,0,Total time a query was waiting on resource requests for CPU slots.
ContextLock,37721,65616,27895,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,293,365,72,Context lock wait time in microseconds
CreatedReadBufferOrdinary,2904,13349,10445,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,71264121,213709072,142444951,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,231998,277260,45262,Total time spent waiting for write syscall. This include writes to page cache.
FailedQuery,1,5,4,"Number of total failed queries, both internal and user queries."
FailedSelectQuery,0,4,4,"Same as FailedQuery, but only for SELECT queries."
FairPolicyDequeue,192,192,0,Number of dequeues invoked at all FairPolicyNodes
FileOpen,3661,4209,548,Number of files opened.
FileSync,2,2,0,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,2503,2503,0,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
FilterTransformPassedBytes,1724416,1724416,0,Number of bytes that passed the filter in the query
FilterTransformPassedRows,25355,25355,0,Number of rows that passed the filter in the query
FilteringMarksWithPrimaryKeyMicroseconds,47,220,173,Time spent filtering parts by PK.
FunctionExecute,826361,3052945,2226584,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
