timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5027.31,8,262144,64,34836,2295271152,64,51,119,1,603,667193,10,6106,69,197,128250912,1208,1,68,5576,106527,4,2967,603,22200,61697776,11003688,4570038,724632354,603,1139,2,1,4,4,458,1,721641484,674384152,33242850,51821582,51821582,2,1,2280149608,73389,73389,4,4,4,51821582,12,3,383649,3401403,3088577,16486,5508,721641484,650707,7915312,7929
10053.03,8,262144,64,42603,2807209236,64,51,120,1,603,796273,10,8276,69,197,128516364,1208,1,68,6720,188523,4,2967,603,26776,63863792,15485187,11561888,875249754,603,1139,2,1,4,4,458,1,871587852,824044498,76433529,63455049,63455049,2,1,2791301260,73389,73389,4,4,4,63438665,12,3,392773,6177515,3262077,21137,6652,871587852,775136,12223374,7929
15073.11,8,262144,64,50624,3335528012,64,51,121,1,603,917200,10,10520,69,197,128516364,1208,1,68,7898,287839,4,2967,603,31488,66094000,18270768,17139932,1030344332,603,1139,2,1,4,4,458,1,1025990668,978587080,99521703,75451123,75467507,2,1,3319849412,73389,73389,4,4,4,75451123,12,3,400493,9010783,3383797,25728,7830,1025990668,891472,14887284,7929
20083.14,8,262144,64,62179,4097043724,64,51,123,1,603,1082966,10,13781,69,197,129035202,1208,1,68,9595,357233,4,2967,603,38276,69310896,22730240,23535304,1253723532,603,1139,2,1,4,4,458,1,1248419852,1201198807,153880606,92759043,92775427,2,1,4081397892,73389,73389,4,4,4,92759043,12,3,405943,11380159,3546573,31409,9527,1248419852,1051557,19184576,7929
25089.31,8,262144,64,91460,6026355968,64,51,128,1,603,1418084,10,21989,69,197,129566106,1208,1,68,13896,387947,4,2967,603,55480,77094512,33451110,27768231,1819787963,603,1139,2,1,4,4,458,1,1812160524,1765152516,206982268,136616730,136633114,2,1,6011136120,73389,73389,4,4,4,136616730,12,3,421013,12559939,3781940,38176,13828,1812160524,1379908,29671217,7929
30104.08,8,262144,64,105756,6968302212,64,51,131,3,603,1643347,10,26071,69,197,130097010,1208,1,68,15998,431298,4,2967,603,63888,81017008,39986109,33094017,2096461322,603,1139,2,1,4,4,458,1,2087673868,2040509424,254864260,158014173,158030557,2,1,6952623612,73389,73389,4,4,4,158014173,12,3,436406,14599431,4051304,45038,15930,2087673868,1598309,35935462,7929
35123.78,8,262144,64,118155,7785395760,64,51,133,3,603,1840953,10,29597,69,197,130362462,1208,1,68,17819,460064,4,2967,603,71172,84472432,47071591,40135982,2336162210,603,1139,2,1,4,4,458,1,2326355980,2279339447,339586281,176589694,176606078,2,1,7769946536,73389,73389,4,4,4,176589694,12,3,457064,16722126,4354432,52144,17751,2326355980,1788809,42717166,7929
40130.86,8,262144,64,143944,9484794484,64,51,137,3,603,2110494,10,36794,69,197,131158818,1208,1,68,21608,470691,4,2967,603,86332,108280888,56147075,43457536,2834849707,603,1139,2,1,4,4,458,1,2822987788,2776158005,377812310,215221329,215221329,2,1,9469738476,73389,73389,4,4,4,215221329,12,3,479834,17885031,4562096,58670,21540,2822987788,2051824,51584874,7929
45141.55,8,262144,64,165182,10884092774,64,51,141,3,603,2364948,10,42810,69,197,131424270,1208,1,68,24728,529977,4,2967,603,98824,148367984,63462163,46734790,3245627606,603,1139,2,1,4,4,458,1,3232063500,3185179077,478282945,247011373,247027757,2,1,10868500412,73389,73389,4,4,4,247011373,12,3,502111,19441822,4787026,65890,24661,3232063500,2299058,58676455,7929
50156.79,8,262144,64,174168,11476184694,64,51,142,3,603,2505123,10,45367,69,197,131689722,1208,1,68,26048,643075,4,2967,603,104100,150859120,66320718,51536739,3419273268,603,1139,2,1,4,4,458,1,3404947468,3358247074,495756595,260477689,260477689,2,1,11461018316,73389,73389,4,4,4,260477689,12,3,504765,22081192,4919821,71120,25980,3404947468,2434003,61401563,7929
