timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5230.88,30,262144,64,24756,1631217396,64,44,117,0,603,1995426,21,3247,23,69,17,188355,127985460,1208,1,68,4097,1914393,4,372591,603,16288,95214240,4366727,23889481,530207748,603,1490,2,1,4,4,835,1,527785996,480263397,38766492,36727217,36727217,2,1,1615997548,73389,73389,4,4,4,36727217,23,3,199528,21391043,1019504,13048,4029,527785996,1982378,3347715,9238
10257.92,30,262144,64,31604,2082396992,64,44,118,0,603,2087046,21,5164,23,69,17,188355,128250912,1208,1,68,5102,2015246,4,372591,603,20308,97114464,7750097,32537644,662539274,603,1490,2,1,4,4,835,1,659513356,612142204,81968327,46972362,46988746,2,1,2066783928,73389,73389,4,4,4,46972362,23,3,215510,24283445,1157564,29393,5034,659513356,2057653,6593144,9238
15312.27,30,262144,64,37960,2501067424,64,44,119,0,603,2165717,21,6956,23,69,17,188355,128250912,1208,1,68,6035,2154654,4,372591,603,24040,98882400,10115518,39026466,785389023,603,1490,2,1,4,4,835,1,781803532,734545031,117205543,56498770,56498770,2,1,2485945880,73389,73389,4,4,4,56498770,23,3,224761,27424620,1265195,37499,5967,781803532,2128218,8851147,9238
20329.69,30,262144,64,44841,2954675160,64,44,120,0,603,2243140,21,8888,23,69,17,188355,128516364,1208,1,68,7049,2277039,4,372591,603,28096,100809120,13260643,46207019,918895144,603,1490,2,1,4,4,835,1,914710540,867111632,163647171,66799100,66815484,2,1,2939160400,73389,73389,4,4,4,66799100,23,3,238098,30419050,1371783,40294,6981,914710540,2202846,11889907,9238
25342.82,30,262144,64,52335,3448456464,64,44,122,0,603,2324261,21,11006,23,69,17,188355,128769750,1208,1,68,8150,2387559,4,372591,603,32500,102896928,17352141,55556777,1063850251,603,1490,2,1,4,4,835,1,1059020812,1011520399,263874484,78025126,78041510,2,1,3433105544,73389,73389,4,4,4,78025126,23,3,259577,33267116,1533685,49616,8082,1059020812,2274645,15818861,9238
30354.53,30,262144,64,64133,4225631972,64,44,124,0,603,2458929,21,14315,23,69,17,188355,129035202,1208,1,68,9883,2452428,4,372591,603,39432,106143968,22277719,62622050,1291966993,603,1490,2,1,4,4,835,1,1286168588,1238798089,327448000,95695653,95695653,2,1,4210608732,73389,73389,4,4,4,95695653,23,3,281174,35823550,1711976,64647,9815,1286168588,2394282,20566885,9238
35363.54,30,262144,64,89212,5878234684,64,44,128,0,603,2783448,21,21374,23,69,17,188355,129566106,1208,1,68,13565,2455897,4,372591,603,54164,129727768,33231077,63186451,1776536288,603,1490,2,1,4,4,835,1,1768775692,1721838513,353416784,133256295,133256295,2,1,5862556084,73389,73389,4,4,4,133239911,23,3,304138,36568138,1987360,71746,13497,1768775692,2711702,31246248,9238
40371.47,30,262144,64,113955,7508817300,64,44,132,0,603,3094416,21,28344,23,69,17,188355,130362462,1208,1,68,17204,2459175,4,372591,603,68728,170417864,43844427,63474538,2255501901,603,1490,2,1,4,4,835,1,2245746700,2198552407,378538222,170309033,170309033,2,1,7492876556,73389,73389,4,4,4,170292649,23,3,322963,37289225,2270389,79594,17136,2245746700,3014822,41577161,9238
45381.02,30,262144,64,138932,9154469888,64,44,136,1,603,3440664,21,35374,23,69,17,188355,130893366,1208,1,68,20870,2465954,4,372591,603,83396,194150504,54257404,63904299,2738010140,603,1490,2,1,4,4,835,1,2726256652,2679574289,404958925,207699802,207716186,2,1,9138791288,73389,73389,4,4,4,207699802,23,3,340533,38140832,2582372,89040,20802,2726256652,3351624,51678959,9238
50389.68,30,262144,64,163047,10743377058,64,44,140,2,603,3797007,21,42170,23,69,17,188355,131424270,1208,1,68,24414,2472493,4,372591,603,97568,200562728,65492381,64823954,3204265577,603,1490,2,1,4,4,835,1,3190644748,3144036380,450909180,243814778,243831162,2,1,10727850232,73389,73389,4,4,4,243814778,23,3,352910,38978114,2947017,99313,24346,3190644748,3697694,62549468,9238
