timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5128.95,21,262144,64,25355,1670473460,64,58,117,0,603,508562,30,3382,6,68,41637,29199,127985460,1208,1,67,4183,1979316,3,179587,603,16636,96662134,5835368,23622893,541691049,603,1454,2,1,4,4,726,1,539189260,491682194,39727332,37611953,37628337,2,1,1654925932,73389,73389,4,4,4,37611953,19,3,259009,17688548,1513237,23703,4116,539189260,484859,4323137,10117
10205.27,21,262144,64,31275,2060835648,64,58,118,0,603,584027,30,5078,6,68,41637,29199,128250912,1208,1,67,5055,2066037,3,179587,603,20124,98317110,7725547,30900169,656508970,603,1454,2,1,4,4,726,1,653484044,605870175,76777477,46480842,46497226,2,1,2045157048,73389,73389,4,4,4,46480842,19,3,272108,20974578,1627566,26618,4988,653484044,557409,6098539,10117
15222.88,21,262144,64,36903,2431530420,64,58,119,0,603,652068,30,6666,6,68,41637,29199,128250912,1208,1,67,5882,2152737,3,179587,603,23428,99878518,10554687,39676375,765278578,603,1454,2,1,4,4,726,1,761749516,714211356,124311423,54903489,54919873,2,1,2415753516,73389,73389,4,4,4,54903489,19,3,295000,24107168,1773739,29314,5814,761749516,622754,8781111,10117
20260.00,21,262144,64,42580,2805701908,64,58,120,0,603,719768,30,8270,6,68,41637,29199,128516364,1208,1,67,6716,2206506,3,179587,603,26764,101456950,12786985,45679082,875104137,603,1454,2,1,4,4,726,1,871063564,823592829,145433611,63422281,63422281,2,1,2790580364,73389,73389,4,4,4,63422281,19,3,298266,27139011,1849073,32043,6648,871063564,687725,10938881,10117
25280.20,21,262144,64,49217,3242787956,64,58,121,0,603,798421,30,10138,6,68,41637,29199,128516364,1208,1,67,7692,2360022,3,179587,603,30668,103306742,15764694,53804787,1003612464,603,1454,2,1,4,4,726,1,998989836,951471360,214570357,73358289,73358289,2,1,3227764716,73389,73389,4,4,4,73358289,19,3,312373,30310344,1973220,35061,7624,998989836,763360,13792264,10117
30296.09,21,262144,64,56893,3748762264,64,58,122,0,603,888107,30,12282,6,68,41637,29199,128769750,1208,1,67,8819,2449787,3,179587,603,35180,105441206,18758657,60831874,1152124580,603,1454,2,1,4,4,726,1,1146839052,1099329357,248293191,84860684,84860684,2,1,3733870096,73389,73389,4,4,4,84860684,19,3,318486,33370020,2070020,40415,8752,1146839052,847692,16689833,10117
35315.98,21,262144,64,64133,4225631972,64,58,124,0,603,972672,30,14357,6,68,41637,29199,129035202,1208,1,67,9884,2600322,3,179587,603,39436,107450422,21686172,67597873,1292213341,603,1454,2,1,4,4,726,1,1286299660,1238798089,301247353,95695653,95695653,2,1,4210608732,73389,73389,4,4,4,95695653,19,3,321800,36140535,2186391,43945,9816,1286299660,928727,19501249,10117
40378.16,21,262144,64,71167,4689266716,64,58,125,0,603,1043632,30,16343,6,68,41637,29199,129300654,1208,1,67,10915,2805942,3,179587,603,43564,126374318,25879676,77158687,1427956416,603,1454,2,1,4,4,726,1,1421434892,1374271659,342364157,106225359,106241743,2,1,4673915796,73389,73389,4,4,4,106225359,19,3,336179,39068218,2312908,46848,10847,1421434892,996784,23568144,10117
45389.97,21,262144,64,77709,5120126844,64,58,126,0,603,1115994,30,18182,6,68,41637,29199,129300654,1208,1,67,11875,2919364,3,179587,603,47404,128198510,28855402,84383051,1554356198,603,1454,2,1,4,4,726,1,1547264012,1500268209,438039049,116013911,116030295,2,1,5104612084,73389,73389,4,4,4,116013911,19,3,350432,42527257,2414776,53288,11808,1547264012,1062706,26442102,10117
50402.87,21,262144,64,83890,5527593928,64,58,127,0,603,1201994,30,19884,6,68,41637,29199,129566106,1208,1,67,12786,3014667,3,179587,603,51048,129919342,32667046,94113548,1674313428,603,1454,2,1,4,4,726,1,1666670604,1619363651,515323289,125276016,125292400,2,1,5512144704,73389,73389,4,4,4,125276016,19,3,361486,45796783,2526116,71449,12718,1666670604,1130545,30142412,10117
55416.11,21,262144,64,90285,5948820264,64,58,128,0,603,1269239,30,21720,6,68,41637,29199,129566106,1208,1,67,13724,3086353,3,179587,603,54800,131697966,35187503,101557013,1797818262,603,1454,2,1,4,4,726,1,1789616140,1742436430,555571765,134851576,134867960,2,1,5933469344,73389,73389,4,4,4,134851576,19,3,370618,49060848,2601399,74103,13657,1789616140,1195136,32587402,10117
60430.13,21,262144,64,96833,6380339060,64,58,129,0,603,1341435,30,23545,6,68,41637,29199,129831558,1208,1,67,14686,3233335,3,179587,603,58648,133523054,37141014,106964884,1924484452,603,1454,2,1,4,4,726,1,1915707404,1868648136,593627056,144654353,144670737,2,1,6364791532,73389,73389,4,4,4,144654353,19,3,375399,52297596,2672077,76736,14618,1915707404,1264699,34470169,10117
65526.62,21,262144,64,103269,6804517824,64,58,130,1,603,1412067,30,25373,6,68,41637,29199,130097010,1208,1,67,15632,3406771,3,179587,603,62432,135316782,40413862,115884300,2049040730,603,1454,2,1,4,4,726,1,2039701516,1992555905,656420935,154301482,154317866,2,1,6789265208,73389,73389,4,4,4,154301482,19,3,380119,55351469,2757194,79736,15564,2039701516,1332331,37657646,10117
70559.93,21,262144,64,109068,7186684704,64,58,131,1,603,1478115,30,27007,6,68,41637,29199,130097010,1208,1,67,16483,3467578,3,179587,603,65840,153893598,42619146,123863912,2161100813,603,1454,2,1,4,4,726,1,2151243788,2104314443,753951748,162992306,162992306,2,1,7171661464,73389,73389,4,4,4,162992306,19,3,382825,58528869,2835643,84855,16416,2151243788,1393260,39785129,10117
75594.51,21,262144,64,116559,7680269400,64,58,132,1,603,1556100,30,29103,6,68,41637,29199,130362462,1208,1,67,17586,3537498,3,179587,603,70252,155983262,46557975,133274774,2306324789,603,1454,2,1,4,4,726,1,2295816204,2248654440,821574532,174193756,174210140,2,1,7664525264,73389,73389,4,4,4,174193756,19,3,398275,61677015,2989999,87893,17518,2295816204,1468207,43569353,10117
80861.27,21,262144,64,122130,8047228620,64,58,133,1,603,1615781,30,30680,6,68,41637,29199,130362462,1208,1,67,18403,3810778,3,179587,603,73520,157525470,48323158,139009621,2413913117,603,1454,2,1,4,4,726,1,2402902028,2355901531,846299280,182550867,182550867,2,1,8032238148,73389,73389,4,4,4,182550867,19,3,404074,64906746,3063662,90222,18335,2402902028,1525559,45261098,10117
