timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5070.83,29,262144,64,25202,1660446452,64,39,117,0,603,657433,36,3368,27,68,21836,11384,127985460,1208,1,67,4162,2078776,3,301446,603,16544,94579064,5431768,22221077,538756234,603,1736,2,1,4,4,29491,1,536305676,488781795,36727282,37382577,37398961,2,1,1644833388,73389,73389,4,4,4,37382577,19,3,274797,16904387,1543857,11159,4094,536305676,646274,3889921,16259
10112.05,29,262144,64,31326,2064177984,64,39,118,0,603,735054,36,5084,27,68,21836,11384,128250912,1208,1,67,5063,2161464,3,301446,603,20148,96292152,8475889,31264989,657393411,603,1736,2,1,4,4,29491,1,654401548,606794414,91334902,46562762,46579146,2,1,2048761528,73389,73389,4,4,4,46562762,19,3,291708,20087856,1653991,13756,4995,654401548,721298,6823850,16259
15121.73,29,262144,64,37233,2453157300,64,39,119,0,603,808704,36,6760,27,68,21836,11384,128250912,1208,1,67,5930,2271719,3,301446,603,23620,114714640,10387518,36843600,771559290,603,1736,2,1,4,4,29491,1,768040972,720528065,108993718,55411393,55411393,2,1,2438101292,73389,73389,4,4,4,55411393,19,3,293335,23039180,1730040,16463,5862,768040972,792241,8659580,16259
20169.94,29,262144,64,43944,2895623916,64,39,120,0,603,886647,36,8632,27,68,21836,11384,128516364,1208,1,67,6916,2375582,3,301446,603,27564,116581008,12459238,43056615,901378387,603,1736,2,1,4,4,29491,1,897277964,849881897,132175120,65465963,65465963,2,1,2880502372,73389,73389,4,4,4,65465963,19,3,298269,26045896,1803746,19185,6848,897277964,867462,10657740,16259
25183.50,29,262144,64,50864,3351256652,64,39,121,0,603,964658,36,10586,27,68,21836,11384,128516364,1208,1,67,7935,2508826,3,301446,603,31640,118507856,15393585,50385048,1035547860,603,1736,2,1,4,4,29491,1,1030840332,983196503,177951191,75811571,75827955,2,1,3335709124,73389,73389,4,4,4,75811571,19,3,303928,29009886,1895005,22185,7867,1030840332,942473,13501225,16259
30201.50,29,262144,64,59022,3889084764,64,39,123,0,603,1050288,36,12920,27,68,21836,11384,129035202,1208,1,67,9132,2549559,3,301446,603,36428,120770768,19931832,58763501,1193137493,603,1736,2,1,4,4,29491,1,1187733516,1140371943,250589153,88049087,88049087,2,1,3873438932,73389,73389,4,4,4,88032703,19,3,314129,31942532,2028590,25174,9064,1187733516,1025114,17905225,16259
35211.53,29,262144,64,66644,4391254676,64,39,124,0,603,1141076,36,15046,27,68,21836,11384,129035202,1208,1,67,10253,2843324,3,301446,603,40916,140382704,23266675,65522054,1340723922,603,1736,2,1,4,4,29491,1,1334665228,1287211174,287934762,99455337,99471721,2,1,4376034828,73389,73389,4,4,4,99455337,19,3,321728,34874924,2119983,27934,10185,1334665228,1113142,21148850,16259
40328.13,29,262144,64,73280,4828540640,64,39,125,0,603,1218804,36,16917,27,68,21836,11384,129300654,1208,1,67,11226,2921378,3,301446,603,44812,142227184,27541770,76115688,1468966081,603,1736,2,1,4,4,29491,1,1462329356,1415001846,388845234,109389186,109405570,2,1,4813124184,73389,73389,4,4,4,109389186,19,3,328877,37783160,2239266,35929,11159,1462329356,1182875,25305079,16259
45338.98,29,262144,64,79824,5259531840,64,39,126,0,603,1287738,36,18758,27,68,21836,11384,129300654,1208,1,67,12186,3092754,3,301446,603,48648,144044592,31228593,85552878,1595238887,603,1736,2,1,4,4,29491,1,1588027404,1541014327,452015087,119194122,119194122,2,1,5243820472,73389,73389,4,4,4,119177738,19,3,336789,41051404,2338147,38715,12118,1588027404,1249023,28895083,16259
50349.43,29,262144,64,87034,5734700920,64,39,127,0,603,1365496,36,20770,27,68,21836,11384,129566106,1208,1,67,13246,3193843,3,301446,603,52892,162829128,33553662,92388869,1734800369,603,1736,2,1,4,4,29491,1,1726963724,1679878671,488865282,129985972,130002356,2,1,5719382768,73389,73389,4,4,4,129985972,19,3,338611,44022545,2405483,41642,13179,1726963724,1323854,31151315,16259
