timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5049.78,17,262144,64,24678,1625840136,64,41,117,0,603,2068004,1,3214,60,69,66328,127985460,1208,1,68,4087,842082,4,123671,603,16252,130889352,4970690,25965676,528874396,603,1362,2,1,4,4,461,1,526475276,478674167,48087149,36606496,36606496,2,1,1610685824,73389,73389,4,4,4,36606496,10,1,3,261285,19824067,1267472,13451,4019,526475276,2054553,3703436,7867
10244.01,17,262144,64,31023,2044055124,64,41,118,0,603,2144666,1,5009,60,69,66328,128250912,1208,1,68,5018,930163,4,123671,603,19980,149606656,7412092,33520602,651456619,603,1362,2,1,4,4,461,1,648503308,600952130,90114351,46097977,46114361,2,1,2028310988,73389,73389,4,4,4,46097977,10,1,3,274081,22910445,1373561,25992,4950,648503308,2118674,6039395,7867
15302.35,17,262144,64,37189,2450273716,64,41,119,0,603,2206310,1,6746,60,69,66328,128250912,1208,1,68,5921,996828,4,123671,603,23592,151315072,9268105,39658631,770366069,603,1362,2,1,4,4,461,1,766861324,719684135,106735881,55345857,55345857,2,1,2435217708,73389,73389,4,4,4,55345857,10,1,3,276639,25779154,1457249,28521,5853,766861324,2177789,7812207,7867
20330.38,17,262144,64,43543,2869078528,64,41,120,0,603,2273257,1,8534,60,69,66328,128516364,1208,1,68,6857,1091054,4,123671,603,27336,153089344,12630032,47333315,893612517,603,1362,2,1,4,4,461,1,889544716,842100533,169942724,64853722,64870106,2,1,2853563768,73389,73389,4,4,4,64853722,10,1,3,292690,28934782,1569443,31044,6789,889544716,2242213,11062202,7867
25383.00,17,262144,64,48650,3205363592,64,41,121,0,603,2335446,1,9983,60,69,66328,128516364,1208,1,68,7608,1427868,4,123671,603,30344,171454888,14892472,54417071,992502105,603,1362,2,1,4,4,461,1,987979788,940473952,189825021,72500288,72516672,2,1,3190012672,73389,73389,4,4,4,72500288,10,1,3,299153,32337318,1662728,33156,7540,987979788,2302290,13231559,7867
30456.96,17,262144,64,55441,3653073088,64,41,122,0,603,2419038,1,11890,60,69,66328,128769750,1208,1,68,8606,1575450,4,123671,603,34336,173339112,17158028,60942719,1123903975,603,1362,2,1,4,4,461,1,1118789644,1071356298,220667583,82685930,82685930,2,1,3638180920,73389,73389,4,4,4,82685930,10,1,3,306413,35378003,1748234,41347,8538,1118789644,2377691,15411333,7867
35477.10,17,262144,64,62140,4094487820,64,41,123,0,603,2502841,1,13768,60,69,66328,129035202,1208,1,68,9589,1652432,4,123671,603,38268,175202216,21441166,70718397,1253330046,603,1362,2,1,4,4,461,1,1247633420,1200372836,290424169,92709891,92726275,2,1,4079235204,73389,73389,4,4,4,92709891,10,1,3,323671,38457494,1891235,51170,9521,1247633420,2451671,19551845,7867
40513.10,17,262144,64,69065,4550713688,64,41,124,0,603,2582346,1,15708,60,69,66328,129035202,1208,1,68,10608,1718469,4,123671,603,42344,177128104,23930281,77150021,1387495992,603,1362,2,1,4,4,461,1,1381195788,1333838894,377177324,103077916,103094300,2,1,4535428304,73389,73389,4,4,4,103077916,10,1,3,332917,41434944,1989352,56678,10540,1381195788,2525668,21943411,7867
45547.74,17,262144,64,76470,5038662288,64,41,126,0,603,2664020,1,17843,60,69,66328,129300654,1208,1,68,11697,1937580,4,123671,603,46700,179186344,27356473,85521578,1530875301,603,1362,2,1,4,4,461,1,1523933196,1476478305,468179381,114172870,114172870,2,1,5022885384,73389,73389,4,4,4,114156486,10,1,3,345667,44578616,2106052,60122,11629,1523933196,2603898,25252705,7867
50582.73,17,262144,64,86308,5686856332,64,41,127,0,603,2762712,1,20570,60,69,66328,129566106,1208,1,68,13142,2031638,4,123671,603,52480,181924008,31204827,92932667,1721099211,603,1362,2,1,4,4,461,1,1713332236,1665896306,511712612,128898595,128914979,2,1,5671538180,73389,73389,4,4,4,128898595,10,1,3,360364,47347845,2246943,63561,13074,1713332236,2699151,28960273,7867
