timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5062.32,18,262144,64,25600,1686795232,64,36,117,0,603,2362722,4,3476,55,68,2,122059,127985460,1208,1,67,4220,907376,3,147708,603,16772,81432608,4712840,22748887,546368775,603,2880,2,1,4,4,524,1,543907852,496486149,38153697,37978434,37994818,2,1,1671051096,73389,73389,4,4,4,37978434,12,3,224009,19471521,1147500,31194,4152,543907852,2331528,3567750,17027
10398.26,18,262144,64,32324,2129848364,64,36,118,0,603,2435317,4,5353,55,68,2,122059,128250912,1208,1,67,5207,1029110,3,147708,603,20720,83307104,6684915,29348179,676321490,603,2880,2,1,4,4,524,1,673275916,626035510,69978547,48059739,48059739,2,1,2114628516,73389,73389,4,4,4,48059739,12,3,233843,22641629,1234871,33877,5139,673275916,2401440,5452503,17027
15419.61,18,262144,64,39363,2593545336,64,36,119,0,603,2532207,4,7340,55,68,2,122059,128250912,1208,1,67,6241,1130818,3,147708,603,24860,85276064,10332065,37774016,812591885,603,2880,2,1,4,4,524,1,808935436,761554330,125820346,58591604,58607988,2,1,2578030576,73389,73389,4,4,4,58591604,12,3,248549,25775009,1346764,51424,6174,808935436,2480783,8987828,17027
20683.00,18,262144,64,46742,3079790000,64,36,121,0,603,2635793,4,9459,55,68,2,122059,128516364,1208,1,67,7327,1255280,3,147708,603,29200,87332128,12914007,44220448,955448161,603,2880,2,1,4,4,524,1,951148556,903784034,159614664,69653790,69653790,2,1,3064766760,73389,73389,4,4,4,69653790,12,3,261734,29215260,1454655,79374,7259,951148556,2556419,11462988,17027
25706.07,18,262144,64,52249,3442820368,64,36,122,0,603,2759434,4,11018,55,68,2,122059,128769750,1208,1,67,8137,1466126,3,147708,603,32440,88871200,16538754,54943089,1062101733,603,2880,2,1,4,4,524,1,1057316876,1009895487,237045256,77894054,77910438,2,1,3427338376,73389,73389,4,4,4,77894054,12,3,278324,32269156,1594823,145637,8069,1057316876,2613797,14947370,17027
30787.95,18,262144,64,58943,3883907420,64,36,123,0,603,2831067,4,12899,55,68,2,122059,129035202,1208,1,67,9120,1605306,3,147708,603,36372,90730272,19313561,61943229,1191531864,603,2880,2,1,4,4,524,1,1186160652,1138892701,280401780,87918015,87934399,2,1,3868392660,73389,73389,4,4,4,87918015,12,3,288068,35262380,1677726,148503,9052,1186160652,2682564,17639214,17027
35876.62,18,262144,64,65663,4326432956,64,36,124,0,603,2907896,4,14788,55,68,2,122059,129035202,1208,1,67,10107,1685440,3,147708,603,40320,92600352,22439781,70396616,1321487231,603,2880,2,1,4,4,524,1,1315528716,1268292637,323941292,97985095,97985095,2,1,4311344180,73389,73389,4,4,4,97985095,12,3,305532,38413611,1783402,151140,10039,1315528716,2756756,20659806,17027
40893.81,18,262144,64,72191,4756906484,64,36,125,0,603,2981775,4,16622,55,68,2,122059,129300654,1208,1,67,11069,1823248,3,147708,603,44168,94427360,24938487,76986454,1448154801,603,2880,2,1,4,4,524,1,1441619980,1394051082,391469764,107761137,107777521,2,1,4741490028,73389,73389,4,4,4,107761137,12,3,314676,41307145,1872908,153880,11001,1441619980,2827895,23069369,17027
45916.41,18,262144,64,80507,5304558380,64,36,126,0,603,3068753,4,18944,55,68,2,122059,129300654,1208,1,67,12289,1966258,3,147708,603,49048,96741088,27930875,83520531,1608768146,603,2880,2,1,4,4,524,1,1601527820,1554189394,436556231,120215963,120215963,2,1,5288781476,73389,73389,4,4,4,120199579,12,3,324064,44362086,1989155,156979,12221,1601527820,2911774,25945674,17027
50924.11,18,262144,64,94420,6221404336,64,36,129,1,603,3220549,4,22850,55,68,2,122059,129831558,1208,1,67,14332,2016900,3,147708,603,57224,117606848,34489996,90936148,1877702580,603,2880,2,1,4,4,524,1,1869307916,1822191540,512913160,141048158,141064542,2,1,6206118952,73389,73389,4,4,4,141048158,12,3,345896,46534028,2198891,161339,14264,1869307916,3059210,32295794,17027
