timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5014.73,4,262144,64,39785,2621466980,64,47,119,603,704357,18,7451,69,167,128250912,1208,1,68,6303,101699,4,614,603,25136,183098400,11580764,2826526,820303442,603,953,2,1,4,4,404,1,816930828,769727758,31023306,59236613,59236613,2,1,2605690076,73389,73389,4,4,4,59220229,10,3,431939,2812447,3103463,16803,6235,816930828,687554,8477584,6195
10026.40,4,262144,64,48465,3193239432,64,47,121,603,856897,18,9932,69,167,128516364,1208,1,68,7581,176176,4,614,603,30256,202292136,15573455,8866153,988684346,603,953,2,1,4,4,404,1,984571916,936975416,65195035,72221760,72238144,2,1,3177757440,73389,73389,4,4,4,72221760,10,3,452903,5617643,3343921,22014,7514,984571916,834883,12229029,6195
15053.63,4,262144,64,55558,3660740800,64,47,122,603,965737,18,11921,69,167,128769750,1208,1,68,8622,279968,4,614,603,34420,204270312,20638939,17419877,1125753290,603,953,2,1,4,4,404,1,1121017868,1073604942,101886526,82849770,82866154,2,1,3645389880,73389,73389,4,4,4,82849770,10,3,471263,8297938,3562919,26535,8555,1121017868,939202,17076362,6195
20064.00,4,262144,64,63314,4171957988,64,47,123,603,1080230,18,14089,69,167,129035202,1208,1,68,9764,348442,4,614,603,38984,206428456,23280309,22503246,1275975713,603,953,2,1,4,4,404,1,1270571020,1223122600,125634755,94475045,94491429,2,1,4156901980,73389,73389,4,4,4,94475045,10,3,478232,10839477,3681039,30455,9696,1270571020,1049775,19599665,6195
25069.49,4,262144,64,87094,5738633080,64,47,127,603,1375766,18,20741,69,167,129566106,1208,1,68,13256,376234,4,614,603,52956,229616512,31896986,26683834,1735561669,603,953,2,1,4,4,404,1,1728274444,1681048192,204500175,130084276,130084276,2,1,5723708144,73389,73389,4,4,4,130084276,10,3,502165,12315340,4011569,37449,13188,1728274444,1338317,27887269,6195
30085.89,4,262144,64,107078,7055471708,64,47,131,603,1663343,18,26465,69,167,130097010,1208,1,68,16191,403728,4,614,603,64700,252104264,40273710,31623725,2121872235,603,953,2,1,4,4,404,1,2112970764,2065990163,318816400,160008703,160008703,2,1,7039662036,73389,73389,4,4,4,159992319,10,3,529786,13930990,4316523,49771,16123,2112970764,1613572,35959884,6195
35102.20,4,262144,64,119503,7874269192,64,47,133,603,1853375,18,29964,69,167,130362462,1208,1,68,18016,457288,4,614,603,72008,289470040,45529324,37084990,2362099145,603,953,2,1,4,4,404,1,2352177164,2305320806,359183102,178616992,178633376,2,1,7859147648,73389,73389,4,4,4,178616992,10,3,544643,16116494,4580921,55974,17948,2352177164,1797401,40951844,6195
40109.16,4,262144,64,141080,9296037572,64,47,136,603,2092793,18,35957,69,167,130893366,1208,1,68,21187,496655,4,614,603,84696,312421864,52711106,40880441,2779459958,603,953,2,1,4,4,404,1,2767806476,2720984513,399240112,210929165,210929165,2,1,9280883260,73389,73389,4,4,4,210929165,10,3,569722,17645595,4856779,62248,21119,2767806476,2030545,47858103,6195
45125.14,4,262144,64,167264,11021335082,64,47,141,603,2394336,18,43417,69,167,131689722,1208,1,68,25034,515941,4,614,603,100084,319372520,61617753,42921382,3285742625,603,953,2,1,4,4,404,1,3272040460,3225277243,435770369,250126048,250142432,2,1,11005546112,73389,73389,4,4,4,250126048,10,3,605015,18805390,5150796,68646,24966,3272040460,2325690,56470221,6195
50137.78,4,262144,64,178117,11735801396,64,47,143,603,2558201,18,46498,69,167,131955174,1208,1,68,26624,590282,4,614,603,106444,322383464,67291831,50136430,3494451225,603,953,2,1,4,4,404,1,3479852574,3434103682,512756523,266381518,266381518,2,1,11720786792,73389,73389,4,4,4,266381518,10,3,618035,21215478,5445716,74215,26556,3479852574,2483986,61849311,6195
